"data","label","num_stars"
"Nhân viên từ cửa hàng tới nhân viên lắp đặt rất vui vẻ 10/10 điểm luôn. Chỉ không ưng hãng giao cái Tủ bị lỗi học ngăn đông, bị xệ 1 bên, kiểu đi đường ray không cân xứng. Chính mấy anh lắp đặt cũng công nhận là bị lệch. Nên mấy ảnh báo bảo hành dùm xuống 2 lần 2 người đều thấy lệch nhưng bảo là bình thường. Không ưng nổi cái câu trả lời như vậy. Đã bị lệch thì làm sao bình thường ạ. Kéo ra đẩy vô cành cành, giật mạnh mới ra và ấn mạnh mới vào và phát ra tiếng nghe khó chịu vô cùng, đã đến ĐMX xem kỹ ưng ý mới mua. Nhưng giao cái lỗi như vậy giờ bảo là bình thường. Bỏ 30 triệu ra mua cái tủ như vậy ức không chịu được.","0","2"
"Hôm trước ngày 29/08 tôi đánh giá 1 sao vì lúc đó tôi vẫn đang chờ ĐMX hỗ trợ vì tủ lạnh có trục trặc nghiêm trọng. Sau 19 ngày dùng tủ lạnh này, ngăn đông mềm có hiện tượng bất thường từ việc miếng thịt không đông mềm được trong vòng 5 ngày đầu đến lúc miếng thịt không ổn định, có lúc đông mềm, có lúc thì mềm nhũn và chảy nước.Nhưng ngày 01/09 ĐMX rất uy tín đã đổi cái mới cho tôi mặc dù phía hãng vẫn chưa xác nhận lỗi và tủ lạnh này vẫn đang tranh cãi.Tủ mới ngày đầu cắm điện đã thấy ok rồi, ngăn đông mềm lạnh ngay, miếng thịt chuẩn đông mềm. Hệ thống tự động làm đá đã cho ra đá viên rất nhanh chỉ sau mấy tiếng. Tủ có bề mặt gương sáng bóng, sang trọng.Rất cảm ơn siêu thị đã hỗ trợ đổi sản phẩm mới. Sản phẩm đúng là đắt sắt ra miếng. Tôi sẽ tiếp tục ủng hộ các sản phẩm mua tại ĐMX.","2","5"
"Sản phẩm tuyệt vời, ngoại thất sang trọng, nội thất thông minh, có ngăn đông mềm tiện lợi","2","5"
"Tủ nhiều chức năng, không bị lẫn mùi thực phẩm, rất tiện lợi","2","5"
"Tủ lạnh dùng rất tốt","2","5"
"Sản phẩm dùng tốt tôi thấy rất hài lòng","2","5"
"Tủ lạnh tốt, chạy êm tự động làm đá rất tiện lợi","2","5"
"Rất tuyệt hơn cả mong đợi ,ngoại thất sang trọng, nội thất thông minh, chỉ có là PANA SO NIC","2","5"
"Tủ lạnh trộm vía chạy khá êm, kiểu dáng sang đẹp, hiện đại, rất đáng để mua. Dịch vụ chu đáo.","2","5"
"Dùng tốt ngăn đông mềm ưu việt","2","5"
"Tủ sài okHút mùi tốt, đẹp sang trọng","2","5"
"Panasonic CW530XMMV dùng tốt tôi rất hài lòng","2","5"
"Sản phẩm dùng rất tốt, bảo quản thực phẩm tuyệt vời. Tôi không có gì phải hối hận khi đã chọn mua mẫu tủ lạnh này.","2","5"
"tủ lạnh tốt , sang trọng","2","5"
"Tủ lạnh dùng tốt, ngăn đông mềm ưu việt","2","5"
"Sang trọng, tiết kiệm điện","2","5"
"Tủ rất tốt. Hài lòng","2","5"
"Mình rất thích kiểu tủ lạnh này,bên ngoài cửa kính đẹp hiện đại,bên trong rộng rãi để được nhiều đồ.đặc biệt là khử khuẩn và thuốc trừ sâu","2","5"
"Máy rất êm tốt đạt được mọi yêu cầu của gia đình","2","5"
"Nên mua nha sử dụng tiện lắm","2","4"
"Tôi rất hài lòng về chất lượng sản phẩm","2","5"
"Vừa nhận ngày hôm qua 20/02/2024, nhưng khay giữ nước mát đã rò, rỉ nước.","0","1"
"Mình mua 2 con ở dmx minh khai dùng rất ổn Tự động làm đâ","2","5"
"E mới nhận tủ ngày 27/5/2023, khi đổ nước vào sử dụng, lấy nước bên ngoài, khi không lấy nữa hoặc đã khoá nhưng vòi vẫn bị rỉ nước là sao ạ?","2","4"
"Chính sách giảm giá không hợp lý j dáo.","2","4"
"Đẹp, sang, chạy êm, lạnh nhanh, lạnh điều và siêu tiết kiệm điện.","2","5"
"Tủ lạnh xài tốt, thích phàn đông mềm và làm đá tự động","2","4"
"Tu lạnh Sài ok nha bạn nên mua","2","5"
"Tủ lạnh rất tốt. Nhất là ngăn đông mềm. Rất tốt nhé","2","5"
"Máy rất tốt, đẹp mê ly. Rất đáng mua","2","5"
"Mình dùng rồi, máy chạy êm ,êm hơn cả cave tụt quần!","2","4"
"Hàng chất lượng đẹp ok","2","5"
"Đặt hàng 8 ngày mới nhận được hàng!! Ngoại thất sịn sò. Mặt gương sáng chảnh. Nói chung OK nhưng mà chưa gim điện nên chưa biết nội thất cũng như độ lạnh,khử mùi…này nọ như nào. Nói chung là đáng đồng tiền bát gạo","2","5"
"Tủ thiết kế đẹp, hoạt động êm Cấp đông nhanh chóng. Ngăn đông mềm tiện lợi Có cả làm đá tự động nên mùa này cực tiện","2","5"
"Tủ mát rất đều, không khí lạnh sạch sẽ. Ngoại thất đẹp, nội thất thông minh, để được rất nhiều thực phẩm.","2","5"
"Tủ cũ mình dùng Panasonic 255 lít. Thấy nhỏ quá nên đổi tủ mới CW530 này. Tủ chạy rất êm và thích. Mọi chức năng đều chạy tốt, dùng được cho gia đình 4-5 người.","2","5"
