"data","label","num_stars"
"Tủ lạnh Sài tầm 2 tháng mặt trước cửa tủ đông bị động mồ hôi, có sao không ạ","1","3"
"Tủ đẹp,sang trọng củng tiết kiệm điện nhưng để ở mức bình thường thì làm đá lâu quá để kem vào củng không cứng phải chỉnh về mức 3 mới ổn được nhưng mức 3 thì lại tốn điện hơn","2","4"
"mới mua đc 3 ngày ,tiếng chạy như máy cày .cả đêm ko đông đc đá","0","1"
"Ok lắm lúc đầu tưởng lỗi không à ai dè sài quá ok sao 1 tháng sử dụng...máy nén chạy quá êm không nghe tiếng luôn...rất ưng","2","5"
"Mình mới mua ngày 19/2025 .Mọi người là nên mua sài ok lắm vừa cho 2 vợ chồng . Mới cắm thì kêu tiếng nhỏ khoản 1 tiếng sau thì không còn nghe thấy gì . Mọi người mua nên nhớ là để ít nhất 1224 tiếng cho gas và dầu nó về chế độ ổn định đừng có háo hức quá cắm ngay thì hỏng hay kêu thì gọi bảo hành mất thời gian lắm . Ở trọ mà xài cái này thì dễ chở bỏ lên xe chở gọn ơ tủ có 35kg thôi . Khi nào tủ chạy ổn định thì mình quay lại sửa thành 5 sao .","2","4"
"Tủ lạnh dùng tốt, bền","2","5"
"Sản phẩm pana xài lúc nào cũng quá ok ,tủ chạy êm , tốt cho 10 điểm","2","5"
"Tủ thỉnh thoảng lại phát ra tiếng kêu cạch cạch khi xả tuyết nên cũng hơi khó chịu. Dịch vụ bảo hành kém, gọi cho Hãng Panaonic nhưng 3 ngày sau mới có nhân viên liên hệ, không có kỹ thuật đến kiểm tra mà chỉ bảo theo dõi thêm 1 tuần nữa. Sau 1 tuần cũng không liên hệ lại với khách hàng.","1","3"
"sản phẩm dùng rất tốt","2","5"
"Cứ kêu lục cục thật sự rất khó chịu sai lầm khi nghe nhân viên tư vấn hãng này lúc trước mua cái toshiba xài rất êm cùng giá tiền giờ ở phòng trọ ban đêm kêu nghe lớn khó ngủ luôn","0","2"
"Được cái mẫu mã đẹp sau vài tháng thì máy có dấu hiệu hơi ồn sau 1 năm thì nó kêu to hơn quạt điện vả lại còn ra mồ hôi","1","3"
"Máy chạy ồn lạy đông đá quá lâu gần 10 tiếng mới có nước đá uống","0","1"
"Dùng được 3 tháng thấy tủ chạy rất êm, tiết kiệm điện, chế độ khử mùi rất tốt để mít vào không hề ám mùi. Shipper giao tận phòng, chỉ việc cắm điện là dùng.","2","5"
"sản phẩm chất lượng , màu sắc kiểu dáng sang trọng phù hợp với không gian . máy nén chạy êm làm lạnh nhanh giúp thực phẩm luôn tươi ngon. rất lên mua","2","5"
"Chất lượng sản phẩm tốt, dễ sử dụng, độ hoàn thiện cao","2","5"
"Tiết kiệm điện, bền, tính năng hoạt động khá tốt, hài lòng","2","5"
