"data","label","num_stars"
"Sd 1 năm 1 tháng thì bị mất nguồn, bảo hành gọi từ tổng đài nhân viên CH nhân viên Hãng đều kêu theo dõi trong khi bị chập chờn hơn 50 lần trong tháng. Xong hãng báo thay bo mạch gì 3 tuần k thấy liên lạc lại. Có thật sự muốn BH không vậy Nếu KBH thì báo lúc mua luôn để khỏi phải mua. NV THẤY ĐƯỢC CMT NÀY LÀM XEM XÉT LẠI ĐI, đừng có ẩn cmt xấu để cmt tốt. Tks","0","1"
"Mình chọn km là Phiếu mua hàng, khi giao hàng nhân viên không nhắc khách là PMH sẽ gửi qua app. Lúc mình gọi lên tổng đài thì mới biết là đã gửi qua app và đã hết hạn luôn rồi. Gọi tổng đài thì chỉ báo là không làm gì khác đc. Thất vọng với ĐMX thật sự","1","3"
"Tôi thấy sản phẩm của panasonic rát tốt máy dùng bên bi tôi đã dùng rất nhiều sản phẩm của panasonic ròi rất tốt","2","5"
"Sản phẩm hữu ích, dễ sử dụng. Bảo quản thực phẩm tốt","2","5"
"máy chạy ổn, kiểu dáng đẹp, không gian sử dụng rộng rãi","2","5"
"Chất lượng sản phẩm tốt, khử mùi tốt. Sẽ mua thêm các sản phẩm của panasonic","2","5"
"Tu lanh panasonic rat tot","2","5"
"Tủ lạnh dỏm, gọi bảo hành thì sửa xong chả thèm tư vấn coi tủ lạnh bị gì, chở đi xong chở về, coi kh như trò cười, lúc chở tới còn giao không đủ dây, phiền phức khách hàng, ai rảnh ở nhà mà canh mấy người tới. Tệ hại","0","1"
"Tủ lạnh chạy êm bảo quản thức ăn tốt màu sắc sang trọng","2","5"
"Mới đầu dùng ổn, nhưng dạo này không thấy đèn econavy sáng nữa , bị mấy tuần nay rồi","1","3"
"Tủ mới mua được 26 ngày thì bị bám tuyết ngăn đá và mở ra lấy đồ trong 1 phút thì bị chảy nước +Lần đầu báo Hãng và ĐMX xuống kiểm tra nói bình thường,Hãng PANASONIC nói do khách khi mua hàng không đọc sách hướng dẫn sử dụng ủa mọi người đi mua hàng ĐMX có đưa sách hướng dẫn sử dụng cho đọc không ạ+Lần 2 xuống thì cũng báo bình thường như lần 1 và Hãng PANASONIC còn nói thêm là do khách mở máy quạt nên nó thổi vô nó mới chảy nước xuống+Lần 3 xuống thì niêm phong 24h rau chùi sạch sẽ cái bám tuyết, xong sau 24h mở niêm phong thì hãng chụp hình lại báo công ty bình thường,5 phút sau ĐMX mở ra chụp ảnh lại thì gặp chảy nước,ông bên hãng kêu ông ĐMX đóng cửa lại đi để nó bị nữa bây giờ ủa vậy là mua tủ lạnh về là phải niêm phong lại hả hãng Pana +Hôm nay mình gọi lên ĐMX thì trên đó báo Hãng PANASONIC nói do mình mở cửa nhiều lần nên mới bị hiện tượng đó ủa vậy lúc đồng kiểm với ĐMX rồi sau 5 phút là bên ĐMX mở cửa tủ lần 2 mà đã thấy chảy nước rồi mà nói mở nhiều hảGiờ thì Hãng PANASONIC và Điện máy xanh không ai chịu trách nhiệm đổ lỗi tại khách và không có ai gọi đưa ra kết quả sau đồng kiểm luôn +Nhân viên chăm sóc khách hàng của ĐMX cũng giọng bà nội lắm,mình hỏi kết quả thì hỏi ngược lại mình là nhân viên nào xuống nhà mình,xuống mấy giờ,ngày mấy trong hệ thống không có thấy nhân viên ĐMX nào gửi hình ảnh về hếtChắc là chỉ bán 1 lần thôi đủ tiền ăn rồi không cần khách quay lại đâu,làm ăn không có lương tâm.","0","1"
"Mua xài dc hơn 1 nam nay ko đông đổi mồ hôi thợ báo bi lỗi nhiệt gì đó Gio xài thay tủ lạnh yếu yếu","0","2"
"Chán gê, mới mua chưa đầy 1 năm. Lâu đông đá , bảo hành bên panasonic suống coi lần 1 bảo là do thời tiết nắng nóng. Lần 2 xuống thấy mở ra dàn lạnh bị bám tuyết thấy nhân viên cũng có chụp mà ko thấy ghi vô biên bản nên gia đình k ký, nói là đo thông số bình thường, đến khi điện cho bảo hành bên pana bảo là mua khay nhôm về sài, ủa tủ lạnh đời mới lúc đầu đông nhanh lắm. lúc sau là tới 3 ngày mới đông. R dàn lạnh bám tuyết mà trả lời là bình thường. lần 3 hẹn mà chưa thấy xuống. nên lên đánh giá cho chất lượng bảo hành v là kém nha.","0","1"
"Dòng tủ lạnh này rất kém nha mọi người. Mình mua tủ này từ tháng 1 năm 2022 tại điện máy xanh Phan Huy Ích, chạy ổn định được đúng 10 tháng đầu sau đó tủ lúc chạy lúc không, bên trong thực phẩm đổ mồ hôi. Gọi thợ bảo trì của hãng Panasonic xuống kiểm tra mấy lần rồi mà ko tìm ra được nguyên nhân, chỉ xã đá hệ thống bên trong tủ rồi bảo theo dõi kiểm tra. Sau đó vài tháng thì bị lại hiện tượng cũ, đến nay là lần thứ 4 bị rồi. Sáng nay lại gọi thợ bảo trì xuống kiểm tra tiếp. Nản thiệt....hixhix","0","1"
"Chạy tốt tiết kiệm điện","2","5"
"Tủ lạnh hoạt động máy lén dừng nghe có tiếng sủi ục ước bên trong tủ lạnh nghe khó chịu","1","3"
"Sản phẩm tốt","2","5"
"Sau khoảng 3 tuần sử dụng thấy ok, còn như thế nào thì thời gian sẽ biết. Cảm ơn đội ngũ nhân viên đã tư vấn nhiệt tình","2","4"
"Tôi dùng tủ lạnh Panasonic, tôi rất ưng ý","2","4"
"Mới sử dụng chưa thạo hết các tính năng trước mắt thấy ổn hihihi","2","4"
"Thiết kế đẹp, sang, nhiều tính năng,điều chỉnh dc cả nhiệt độ của ngăn đông mềm luôn. Làm lạnh nhanh, cài mức thấp mà vẫn rất lạnh","2","5"
"Tủ đẹp, sang trọng, lạnh nhanh, tiết kiệm điện","2","5"
"Tủ dùng rất tốt, thực phẩm để được tươi lâu không bị lẫn mùi. Tiếng máy hoạt động hơi lớn nhưng chấp nhận được. Sẽ giới thiệu cho người thân, bạn bè dùng.","2","5"
"Tôi rất hài lòng về sản phẩm","2","5"
"Tủ lạnh dùng rất tốt, không đóng đá, nhân viên rất nhiệt tình chu đáo, nhà mình rất ưng ý sẽ giới thiệu cho người thân sử dụng","2","5"
"Tôi rất hài lòng với sản phẩm Panasonic","2","5"
"Sản phẩm rất tốt","2","5"
"Tủ lạnh chạy êm , ko bị đóng đá ngăn lạnh , dùng rất tốt","2","5"
"Tủ lạnh panasonic dùng rất êm và tốt!","2","5"
"Sản phẩm rất tốt,uy tính","2","5"
"Sản phẩm ok","2","5"
"Tủ chạy êm ái tính năng ổn định rất tốt và phù hợp với gia đình","2","5"
"Sản phẩm rất tốt","2","5"
"Sản phẩm sài rất tốt tôi rất thích","2","5"
"Sản phẩm chất lượng tốt","2","4"
"Mình đã sử dụng đc 4 tháng chất lượng rất tốt, làm lạnh nhanh mà hết rất ít điện. Chắc chẵn sẽ giới thiệu cho bạn bè xài","2","5"
"Dùng tốt, máy vận hành êm, tiết kiện điện.","2","5"
"Tủ dùng rất tốt","2","5"
"Tủ lạnh chạy êm, tủ lớn, mẫu mã đẹp, thích nhất là ngăn đông mềm, bảo quản thực phẩm tốt, sử dụng ngay mà không cần rã đông. Lấy nước ngoài cũng rất là tiện lợi luôn. Nên dùng nha các bạn.","2","5"
"Sản phẩm dùng rất tốt , máy êm và tiết kiệm điện năng Rất ưng ý","2","5"
"Sản phẩm rất tốt","2","5"
"Sản phẩm tôi dùng thấy rất ok về dòng của hãng panasonic tôi luôn tim dùng","2","5"
"Sử dụng rất tốt. Mình thích nhất là ngăn đông mềm, không mất thời gian rã đông mà vẫn giữ đc độ tươi ngon của thực phẩm. Rất cần thiết cho các gia đình bận rộn","2","5"
