"data","label","num_stars"
"Tu lạnh kêu ồ ngoài hình đen ồ ạt","2","4"
"Máy hơi ồn khi hoạt động, về làm đá thì hơi chậm so với máy khác. Còn 1 vấn đề nữa là hôm nay mình dọn dẹp thì phát hiện ra phía sau tủ có u 1 cục và bị dán lại mình có để hình ảnh thực tế phía dưới. Ko bik là sp có đúng với kĩ thuật ko hay là hàng lỗi mà cố tình giao cho khách hàng.","1","3"
"Lần trước mua 1 cái tặng cho cha mẹ dùng. Tủ rộng, dùng ok, ba mẹ cũng thích. Nên mình mua thêm 1 cái nữa cho gì","2","5"
"Tôi sẽ giới thiệu sản phẩm cho bạn bè, người thân","2","5"
"Tôi rất hài lòng về sản phẩm. Tủ dùng ổn định ích hao điện","2","5"
"hàng dùng rất tốt và nên mua ae","2","5"
"Hàng dùng quá chất lượng. Panasonic luôn đỉnh","2","5"
"T mua hàng ở điện máy xanh rất nhiều nhưng có lẽ đây là lần cuối. Làm ăn như trò mèo","0","1"
"lạnh, nhanh đông, sử dụng rất tốt","2","5"
"Sau gần 1 năm sử dụng thấy tủ tốt. Nhưng hơi ồn về đêm.","2","5"
"Đẹp,chất lượng tốt,siêu tiết kiêm điện với cảm biến thông minh","2","5"
"Cảm ơn đmxanh đã có những sản phẩm tốt","2","5"
"Rất tin tưởng sản phẩm của Panasonic","2","5"
"Theo mình ko nên mua mặt hàng nào ở đây nữa quá thất vọng mua nhầm 1 moden thôi chưa đuoc 3 tiếng chưa sử dụng nữa muốn đổi lại 1 tủ khác nhiều chức năng hơn cũng mất 20% mình cũng chịu vậy mà cũng hành đt kêu đợi mẹ tụi này dễ ăn tiền người dân quá....gì mà kêu ...khách hàng thân thiết","0","1"
"Sài 1 năm sao nó ko đông nữa..yêu cầu dmx bảo hành gấp..con toshiba mua 6 năm nay vẫn tốt.con đây 1 năm là bị vậy","0","1"
"Sản phẩm quá tốt với giá tiền!","2","5"
"sản phẩm mới dùng thấy oke thời gian sau thế nào chưa biết","2","4"
"Sản phẩm tốt, tiết kiệm điện năng, rất đáng mua.","2","5"
"Sản phẩm tốt","2","5"
"Tủ lạnh dùng ổn định.","2","5"
"May chay em tiet kiem dien","2","5"
