"data","label","num_stars"
"Tủ mới mua. Bị lỗi đông tuyết tủ đá. Yêu cầu đổi mới nhưng chưa thấy giải quyết.Đợi khá lâu.","0","1"
"Tủ lạnh đẹp,dùng ổn.Tôi sẽ giới thiệu cho bạn bè,người thân.","2","5"
"Tốt nha bẹn","2","5"
"Tủ lạnh đóng tuyết ngay ngày đầu tiên sử dụng.","0","1"
"tủ bên ngoài đẹp còn tốt hay ko phải dùng 1 thời gian mới đánh giá dc cảm ơn sự nhiêt tình của DMX","2","5"
"Sản phẩm dùng rất tốt ngăn chứa đồ rộng gia đình khoảng 4 người như nhà mình dùng thoái mái. Máy chạy rất êm và ổn định ngăn đá không bị đóng đá.","2","5"
"Tủ lạnh rất tốt ngăn đá riêng biệt sạch dễ lau chùi","2","5"
"Tôi dùng rất ưng và đã giới thiệu cho cháu mua cả tủ lạnh và máy giặt hiệu Pana sonic","2","5"
"Sản phẩm tốt tiết kiệm điện chạy êm.","2","5"
"Sản phẩm rất tốt đáng mua","2","5"
"Sản phẩm dùng rất êm lạnh nhanh. Có ngăn đông mềm rất tiện ích. Sản phẩm chất lượng","2","5"
"Tủ lạnh dùng rất tốt","2","5"
"Sản phẩm tốt dùng thấy ok","2","5"
"Rất hài lòng","2","5"
"Rất hài lòng về sản phẩm","2","5"
"Tủ chạy êm tiết kiệm điện 3 tháng chưa thấy phát sinh vấn đề gì.","2","5"
"Rất hài lòng ngăn mát tự điều chỉnh nhiệt độ cho thực phẩm.","2","5"
"Mình đã sử dụng rất tốt máy vận hành êm ái. Đồ chứa được nhiều mình rất thấy hài lòng về tủ lạnh này mình sẽ giới thiệu người nhà mình mua.","2","5"
"Sp rất tốt ạ tiết kiệm điện nua","2","5"
"Tủ lạnh sài rất tốt","2","5"
"Mình đã mua và sử dụng tủ lạnh TV301VGMV thấy rất ưng ý tủ vận hành êm làm đá nhanh bảo quản thực phẩm rau quả chuẩn đạt trên sự mong đợi của mình xin cảm ơn Panasonic .","2","5"
"Sản phẩm tốt dịch vụ tôt","2","5"
"Sản phẩm dùng rất tốt đẹp sẽ giới thiệu sản phảm cho mọi người cùng mua.","2","5"
"Sản phẩm dùng tốt ngăn to khử mùi tốt mọi người nên mua","2","5"
"Sản phẩm rất tốt ngăn chứa đồ rộng thoải mái....","2","5"
"Rất tốt tiết kiệm điện năng tiêu thụ","2","5"
"Sản phẩm sài rất tốt nhân viên tư vấn nhiệt tình","2","5"
"Tu lạnh chạy êm mẫu đẹp","2","5"
"Máy êm, tủ đẹp","2","5"
"Hệ thống làm mát rất tốt, mặt kính tủ lạnh đẹp,rất ưng ý","2","5"
"Rất hài lòng","2","5"
"Tôi cảm thấy rất hài lòng","2","5"
"Hộc đựng thực phẩm rộng, Máy chạy êm","2","5"
"Sẵn phẩm rất tốt mình đã tin dùng và cả gia đình mình ai cũng tin dùng sản phẩm của DMX","2","5"
"Sản phẩm tốt","2","4"
"Êm tiết kiệm điện. Gia đình nhỏ dùng tẹt ga","2","5"
"sản phẩm tốt","2","5"
"Giao hàng nhanh, lắp đặt tận tình.","2","5"
"May dùng ok nha","2","5"
"Em ko bt sao tủ e chạy e cứ nhé khoảng 10 đến 15 phút là nghe tiếng bụp bụp e hơi sợ ko bt lí do vì sao vì tủ mới mua chưa đc 1 tháng mong đc hỗ trợ ạ","1","3"
"Sản phẩm ok. Tư vấn và giao hàng nhanh nhạy. Nhiệt tình","2","4"
"Toi mua được 6 ngày rồi, mỗi lần tủ chạy thì rất ồn , trong tủ nghe cụp cụp .lâu dài ko biết có bền ko","1","3"
"Sản phẩm rất tốt, công suất đủ dùng cho gia đình 3 đến 5 người, ngăn rau và ngăn đông lớn dữ trự được thực phẩm đa dạng, hoạt động êm ái và cực kỳ tiết kiệm điện.","2","5"
"Ít nhất 1 lần trên ngày tủ sẽ phát ra 1 tiếng “bụp” rất to như nổ cái gì bên trong. Ngăn đông bị đóng tuyết. Tuyết trắng trên cả mặt ngoài của hộp đựng lẫn bề mặt đồ ăn mặc dù đã để chế độ thấp nhất. Rau nếu để ở ngăn 1 hoặc 2 thì phần sát mặt trong tủ sẽ bị đóng đá. Rau để trong hộc thì bảo quản tốt. Tủ kêu liên tục hơi ồn.","0","2"
"tủ mình mới mua hôm qua mà cứ nửa tiếng máy lại chạy. song lại chạy 1 tiếng mới ngắt là sao","1","3"
"Hài lòng về sản phẩm","2","5"
"Tôi rất hài lòng ve sp nay . 👍👍👍","2","5"
"Tủ xài ok lại hợp túi tiền mình sẽ giới thiệu cho người thân và bạn bè","2","4"
"Máy bị đọng sương ở mặt kính ngoài ngăn đá, trên nóc, đằng sau và xung quanh đều bị đọng sương khi môi trường có độ ẩm cao. Vách tủ lạnh cách nhiệt ko tốt.","1","3"
"Tủ lạnh đẹp , sử dụng rất OK. Nhà dùng 3 cái tủ lạnh của hãng PAna cảm thấy rất hài lòng. Sẽ ủng hộ tiếp nếu như có nhu cầu.","2","5"
"Sản phẩm tốt tiết kiệm điện, tôi sẽ giới thiệu sản phầm này cho bạn bè người thân.","2","5"
"Thiết kế đẹp dễ vệ sinh , giá cả hợp lí , máy chạy êm tiết kiệm điện nhân viên tư vấn nhiệt tình sẽ giới thiệu cho bạn bè người thân","2","5"
"Hoạt động tốt,máy chạy êm,tiết kiệm điện giá cả hợp lý Nhân viên tư vấn nhiệt tình chu đáo .sẽ giới thiệu cho bạn bè và người thân sử dụng","2","5"
"Gia đình tôi dùng tủ lanh này giất thick chay giất em và làm mát giất nhanh và giất êm","2","5"
"Giá phù hợp,mẫu đẹp.ngăn tủ bên trong rộng thoải mái.động cơ chạy rất êm đềm.phần cánh tủ mở ra rất chặt chẽ không thoát hơi lạnh.","2","4"
"Máy dùng êm , rất tốt. Sau khi sử dụng mình cảm thấy rất phù hợp cho gia đình mình .","2","5"
"Tủ rất tốt, mau đông, giao hàng đúng hẹn. Nhân viên tư vấn nhiệt tình.","2","5"
"Tử lạnh chạy ổn, làm lạnh nhanh, bảo quản thực phẩm tươi sống không có mùi.... nên mua nha mọi người 😃😃😃","2","4"
"Dùng được 2 tháng rồi, chưa gặp vấn đề gì. Tủ làm đá nhanh, tiết kiệm điện, không bị nóng 2 bên mặt tủ. Sẽ giới thiệu cho bạn bè và người thân","2","5"
"Tủ lạnh chạy êm, mát nhanh, ngăn chứa rộng để được nhiều đồ.....................","2","5"
"Tôi mua gần 2 tháng rồi sử dụng thấy hài lòng chưa có gì bất thường. Mẫu mã đẹp ai cũng khen","2","5"
"Tủ lạnh dùng rất êm ạ. Không nghe tiếng động gì. Bảo quản thực phẩm rất tốt. Không có gì để chê ạ","2","5"
"Hàng ok lắm. Gđ tôi rất thích.mọi người nên mua sài thử nha.🤣🤣 🤣🤣🤣🤣🤣🤣😂😂😂😂😂","2","5"
"mua hôm 9 tháng 1 năm 2022 tủ làm lạnh tốt không có tiếng ồn mấy. nhưng giao hàng có một vết sướt sơn quá thất vọng điện máy xanh","1","3"
"Máy hoạt động êm. Tiết kiệm điện và bảo quản thực phẩm tốt. Giá đình tôi rất hài lòng","2","5"
"Hàng điện máy của hãng Panasonic dùng rất tốt. GĐ nhà mình chủ yếu dùng của Panasonic: tủ lạnh, máy giặt, điều hòa...","2","5"
