"data","label","num_stars"
"Sử dụng được 1 đem hom sau nge tiếng rè","0","2"
"Nói chung thì ok, dùng chưa lâu nên chưa dám nói nhiều, hàng giao tới nhanh, bữa nay mở tủ lấy đồ thì thấy có nước đọng ở ngăn mát, mọi khay ở ngăn mát đều đọng kha khá nước, lúc đầu ko thấy thế, chưa hiểu như thế là bth hay có vấn đề, kĩ thuật vui lòng gọi lại cho t","2","4"
"Máy chạy êm làm đá nhan mà cái nút chỉnh tăng nhiệt quá cứng gồng sức vặn mãi mới được","2","4"
"Tủ dùng tốt. Mình chọn DMX tuy giá cao hơn một số nơi nhưng mình rất thích cách bán hàng, giao hàng. Cực kỳ ưng ý","2","5"
"Just a few days ago received. Good products.","2","5"
"Hoạt động êm, lạnh nhanh.","2","5"
"Sản phẩm chạy êm làm lạnh nhanh","2","5"
"sản phẩm tốt","2","5"
"Máy bắt đầu chạy thì kêu lạch cạch rất to, xong thì nghe nhỏ hơn","1","3"
"Tiet kiem dien","2","5"
"Cũng thấy ok","2","4"
"Ngăn mát chưa lạnh lắm","1","3"
"Tôi rẩt hài lòng về dòng tủ lạnh panasonic , tủ hoạt động êm, nhìn rất sang trọng, ngăn chứa đồ rộng, soi được gương nhưng lại nhanh bám vân tay, hy vọng panasonic ra thêm nhiu mẫu mã với tính năng ưu việt hơn, giá cả bình dân hơn","2","5"
"Tôi vừa mua song nói chung là ưng ý , nhân viên đẹp quá lên mua 1 cái","2","4"
"Tủ chạy êm mà kiểu dáng đẹp tôi rất hài lòng về sản phẩm này","2","5"
"Sản phẩm tốt, tiết kiệm điện, kiểu dáng hiện đại trang nhã, giá cả hợp lie, rất hài lòng. Tôi sẽ giới thiệu sản phẩm này cho bạn bè và người thân","2","5"
"Sản phẩm dùng rất tốt và tiết kiệm điện nữa","2","5"
"Tủ lạnh dùng rất là tốt . Tiết kiệm điện . Tôi sẽ giới thiệu sản phẩm cho bạn bè và người thân","2","5"
"Rất hài lòng về sản phẩm của hãng banasonic","2","5"
"Giá cả hợp lí, máy chạy êm tiện lợi sang trọng và đẹp. Nhân viên tư vấn nhiệt tình. Nói chung là rất hài lòng nên sẽ tư vấn và giới thiệu cho người thân cũng như bạn bè dùng.","2","5"
"Tôi rất hài lòng với sản phẩm này,sẽ giới thiệu cho người thân 👍","2","5"
"Rất tốt, nhân viên tư vấn nhiệt tình, vận chuyển nhanh, nói tóm lại là ok","2","5"
"Tôi rất hài lòng khi sử dụng tu lạnh Panasonic","2","5"
"Tôi mới mua tủ lạnh chưa được 2 tháng tại điện máy xanh đông Hà quảng trị tuy nhiên máy chạy tuần đầu bình thường tuy nhiên tuần thứ 2 kêu phát ra tiếng ồn kinh khủng khiếp không thể nào ngủ được , nhân viên bảo hành panasonic xuống bảo dòng máy này lúc nào nó cũng kêu như vậy đó là bình thường, dòng máy này tuỳ tủ cái thì kêu cái không kêu theo hiểu hên xui, trao đổi với khách hàng không tìm cách tháo gỡ khó khăn mà cứ khăng khăng bảo máy này là vậy là kêu lo ma chịu, nếu máy không kêu to hơn bình thương thì khách hàng không có ý kiến tuy nhiên thái độ nhân viên bảo hành panasonic theo kiểu mua roii máy kêu ồn lo mà chịu hãng không biết. Tôi rất thất vọng về panasonic khi có nhân viên như vậy, dvkh điện máy xanh đến giờ vẫn im lăng chưa phản hồi bảo sẽ lam việc mua tủ lạnh xong vừa tốn tiền vừa bực mình vừa ảnh hưởng sức khỏe do tiếng tủ lạnh kêu quá ồn không ngủ được. Đề nghị điện máy xanh thu hồi máy về trong 30 ngày tôi chấp nhận mất phí vì tôi không chịu nổi nữa","0","1"
"Tủ lạnh sài rất tốt Rất đẹp và tốt lắm ạk","2","5"
"Tu hoạt dong êm, bảo quản thực phẩm tốt, tiết kiệm điện. Tôi sẽ giới thiệu bạn bè sử dụng.","2","5"
"Nhà tôi mới mua tủ lạnh này vào ngày 23/01/2022 tại điện máy xanh đông hà, quảng trị. Nhưng khi về sử dụng tủ lạnh phát ra tiếng ồn rất lớn, vào buổi tối còn không thể ngủ được, kỹ thuật của Panasonic về kiểm tra thì nói bình thường, tôi rất bực mình trong khi tiếng ồn quá lớn không ngủ được lại bảo bình thường không bảo hành. Mọi người nên cân nhắc khi chọn hãng Panasonic hay là mua hàng ở điện máy xanh","0","1"
"Nhân viên rất nhiệt tình tư vấn, phục vụ tốt, chất lượng sản phẩm ok. Cho 5 sao luôn","2","5"
"Mới mua chưa xài bị đóng tuyết. Đổi lại thì đổi cái trầy tùm lum. Trước giờ mua gì cũng vào điện máy xanh giờ thấy thất vọng.","0","2"
"Tủ mua về ngăn đá kêu tiếng lộp cộp, đóng tuyết trên ngăn kính ngăn đá. Để mức số 1 thì mở tủ ra kiểu ướt ướt mặt kính. Mức số 2 thì hơi bình thường, ngăn mát lạnh kém, dù không bỏ thực phẩm nhiều. Mức số 3 thì tủ kêu lộp cộp nhiều, tuyết dính nhiều hơn, mở tầm 1 phút là bắt đầu có nước.","0","1"
"Xài một tuần thì thấy bên hông góc trên bị phồng nhẹ 1 điểm, có nghiêm trọng không đmx?","2","4"
"Tủ làm đá khoản 12 tiếng mới đông. Làm đá không nhanh.thêm điểm trừ nút chỉnh nhiệt độ quá cứng trong khi sản phẩm khác nút bấm. Nút xoay nằm sâu bên trong.khi muốn chỉnh nhiệt phải dời đề ra.thiết kế đẹp .bên trong tủ có chỗ hở thông khí nhưng bằng mót không bắt mắt lắm.nói chung không êm bang tử NR-db418.tiết kiệm điên chưa thể đánh giá","2","4"
"Mới mua về cắm điện la hom sau xuất hiện những giọt tuyết liền Tối lau sáng lại xuất hiện những giọt tuyết như thế này. Hãng xuống kiểm tra thì nói bình thường. Tuyết bám càng ngày càng nhiều mà bảo bình thường thế nào. Mở ra một xí là những giọt tuyết này tan chảy . Mình cần đổi san rphaamr. Nhìn ghê quá. Chưa 1 tủ lạnh nào mình dùng tuyết đóng thế này","0","2"
"Sản phẩm rất tốt tôi rất hài lòng","2","5"
"Tủ lạnh bị đóng tuyết, tan chảy khi mở ra khoảng 1 phút, mua được 1 tuần mà nước trong khay phía sau hơn nửa khay, tủ lạnh mà chảy nước ghê quá, như cái máy lạnh","0","1"
"rất tốt và làm đá nhanh mặt kính rễ lau chùi làm lạnh nhanh để được nhìu đồ giữ được thực phẩm lâu","2","5"
"Dùng rất tốt.êm và tiết kiệm điện tôi rất thích,lau chùi rất dễ,làm đá rất nhanh,thực phẩm bảo quản tốt,tôi sẽ giới thiệu người thân dùng,tôi rất thích mẫu mã của tủ lạnh,chạy không gây ra tiếng ồn,","2","5"
"Máy dùng rất tốt êm ,ngăn đông và bảo quản tốt rộng rãi. Tôi rất hài lòng với sản phẩm","2","5"
"Máy hoạt động tốt,máy chạy êm,tiết kiệm điện,giá cả tốt,nhân viên tư vấn nhiệt tình,mình sẽ giới thiệu sản phẩm cho bạn bè và người thân sử dụng.","2","5"
"Tủ xài êm rộng thoả mái thích nhân viên chăno sóc khách hàng tốt phục vụ hướng dẫn tận tình","2","5"
"Tủ lạnh đẹp, chạy êm. Xe giao hàng chỉ có duy nhất một tài xế, khách hàng phải tự xử việc khui thùng, lắp đặt. Rất thông cảm vì giao hàng mùa dịch nên dịch vụ ở mức tối thiếu. Tuy nhiên, tủ lạnh đã bị nằm ngang trên xe, nhìn rất đáng ngại (trong khi nguyên tắc vận chuyển tủ lạnh là phải đặt đứng). Khi khui thùng còn phát hiện có vài vệt (giống mỡ bôi trơn) ở một bên hông tủ. Tuy đã chùi sạch nhưng tôi cảm thấy lo lắng. Chờ theo dõi một thời gian xem sao.","1","3"
"Tủ lạnh chạy êm ru, tráng gương sáng bóng làm con gái mình ăn cơm cũng soi.😂😂😂 Làm lạnh khá nhanh. Bảo quản thực phẩm tốt. Lúc đầu mới mua mình không biết nên nhiệt độ thấp quá nên thực phẩm ngăn đá bị tuyết, sau mình tăng nhiệt độ cao hơn thì thấy ổn. Mình dùng đuọc hơn 1 tháng, thấy so với bình thường thì tiền điện cũng không tăng nhiều. Nói chung là mình hài lòng.","2","5"
