"data","label","num_stars"
"làm đá chậm. liên hệ hảng hẹn ngược xuôi cuối cùng đến ngày thứ 5 mới có người kiểm tra nhưng lại bảo hoạt động bình thường. Trong khi bỏ nước vào cốc làm trực tiếp thì đá nhanh đông hơn so với máy làm đá","0","2"
"mình mua nhân viên tư vấn bảo model 2024 nhưng về xem lại là sản xuất 2021","2","4"
"Mua từ năm 2023 , máy êm , tiết kiệm điện, thích nhất chức năng làm đá tự động","2","5"
"Mới dùng chưa dc 1 tháng có hiện tượng như này quá buồn","1","3"
"mới dùng được 4 ngày tủ chạy ko nghi .goi nhân viên DMX xuống phán câu tủ lạnh bây giơ chạy ko nghỉ .có phải thiếu hiểu biết quá ko","0","1"
"Sử dụng rất tốt ạ hiện tại nhà mình sài 2 máy này lunnn","2","5"
"Lúc mua hỏi nv báo bảo hành 2 năm giờ hơn tháng hư bơm nước làm đá tự động lên xem bảo hành đã hết hạn rồi là sao","0","2"
"Chào ac. Tủ hoạt động nhưng k làm lạnh được. Đổ mồ hôi. Ac cho phương án sử lý để máy hoạt động tốt.","0","2"
"Mới mua ngoại hình đẹp chất lượng thì cần thời gian kiểm chứng","2","5"
"Tủ đổ mồ hôi, sài không lạnh, không nói đến dịch vụ của điện máy xanh nhưng sản phẩm của Samsung hãng tủ này rởm quá ạ","0","2"
"Hãng lớn mà rất chi là tệ. Để 3 độ ngăn mát đông tuyết. Mà ngăn đông mềm vẫn chỉ mát. Gọi bảo hành thì đùn đẩy trách nhiệm. Đổi lỗi cho người dùng. Báo tủ k lỗi. K lỗi mà 1 tháng gọi bảo hành 3 lần. Mua tủ trưng bày mà tới lúc đổi bắt chịu phí 20%. Đồ ăn để ngăn rau củ cũng bị đông cứng. Hãng tệ. Hệ thống là việc k có trách nhiệm. Quá tệ","0","1"
"Chỗ lấy nước ngòi cứ bị rỉ nước dù đã khoá van","1","3"
"Rủ rất tốt tiết kiệm điện..Nên dùng nhà mọi người","2","5"
"Mới dùng 2ngày thấy rất ưng ý","2","5"
"Tủ lạnh bị chảy nuoc chỗ lấy nuic","0","2"
"sản phẩm tốt, nhiều chức năng hữu ích","2","5"
"liên hệ mình cần tư vấn thêm xxxx559993","2","4"
"Không ai qua được Điện Máy Xanh","2","5"
"Sản phẩm rất ok","2","5"
"Tủ lạnh làm lạnh nhanh, chất lượng tối","2","5"
"Dùng tốt nè","2","4"
"Tủ lạnh dùng tốt mình rất thích","2","5"
"giao hàng nhanh gọn chu đáo và cân than","2","5"
"Sản phẩm tốt, đẹp, tiện nghi","2","4"
"Hàng tốt. Bền hay ko phải chờ vài năm nữa","2","5"
"Cảm thấy rất ok","2","5"
"sản phẩm tốt","2","5"
"Tu chay tot.","2","5"
"Phục vụ nhiệt tình","2","5"
"Tủ không tự làm rớt đá xuống khay , nước từ trên chảy xuống ngăn đông đến khi hết nước thì ở dưới đông lại 1 khối .","0","2"
"Tủ sài rất tốt và giá cũng hợp lí ⭐️⭐️⭐️⭐️⭐️","2","5"
"Sản phẩm oke","2","5"
"Tủ mua về không lạnh phải gọi bảo hành","0","2"
"Đang sử dụng Ok, chế độ bảo hành đáng tin cậy","2","5"
"Tôi thích sản phẩm . Nhưng cảm thấy nếu có dung lượng to hơn thì tốt hơn","2","4"
"Sử dụng ổn định","2","4"
"Dịch vụ tốt nhưng giao hàng còn chậm","2","4"
"Vừa sử dụng sau 6h. Vòi nước ngoài quá tệ, lấy nước bị chảy ra ngoài và lúc lấy ly ra van đóng chậm làm nước lại chảy thêm lần nữa nhìn rất dơ!!!! Làm lạnh tạm ổn, độ ồn máy nén êm ái!","0","2"
"Làm lạnh lâu","1","3"
"Tủ rất oki nha","2","5"
"Sản phẩm tốt trong tầm giá, 2 tuần sử dụng rất tốt, không có có gì sảy ra trong quá trình sd. Mn nên mua","2","5"
"Tôi rất hài lòng khi mua và sử dụng sản phẩm này.","2","4"
"Rất đáng mua.","2","5"
"Tủ mới cảm nhận ban đầu tạm ổn","2","4"
"Sản phẩm tốt, kiểu dáng đẹp","2","5"
"Sản phẩn ok","2","5"
"Sản phẩm tốt phục vụ nhiệt tình","2","5"
"Sản phẩm rất đẹp và tốt ạ","2","5"
"tủ lạnh khử mùi tốt, bảo quản thức ăn rất okey","2","4"
"tủ lạnh tốt,khử mùi ổn và bảo quản thức ăn ngăn đông không bị đông đá","2","4"
"khử mùi và bảo quản tốt, thức ăn bảo quản ngăn đông không có tình trạng đông cứng","2","4"
"Làm lạnh nhanh, nhiệt độ tỏa đồng đều trong tủ lạnh, bảo quản và khử mùi rất tốt, để thịt cá vẫn tươi ngon nhưng không đông đá","2","4"
"tủ lạnh bình thường, bỏ thức ăn vào ngăn mát vẫn hư","1","3"
"Làm lạnh nhanh, nhiệt độ tỏa đồng đều trong tủ lạnh. thức ăn bỏ tủ lanh rất tươi, khử mùi tốt, đáng để mua","2","5"
"Làm lạnh nhanh, nhiệt độ tỏa đồng đều trong tủ lạnh, bảo quản thức ăn va khử mùi rất tốt, tiện nghi","2","5"
"tủ lạnh êm, thức ăn bảo quản và khử mùi rất tốt","2","5"
"khử mùi tốt, Ngăn đông mềm để trữ thịt cá, để thịt cá vẫn tươi ngon nhưng không đông đá nhưng ngược lại ngăn mát bỏ trái cây thì bị đông","1","3"
"tủ lạnh rộng rãi thoải mái, Khử mùi tốt, không nghe mùi khó chịu trong tủ lạnh, bảo quản thức ăn tốt","2","5"
"tủ lạnh hoạt động tốt, bảo quản thức ăn và khử mùi rất okey","2","5"
"tủ lạnh khử mùi tốt, Làm lạnh nhanh, nhiệt độ tỏa đồng đều trong tủ lạnh, sp rất ổn okey","2","4"
"tủ lạnh hoạt động tốt, khử mùi tốt, bảo quản rau củ rất tươi, tủ rộng rãi","2","5"
"tủ lạnh ổn, làm lạnh và khử mùi bình thường","2","4"
"tủ lạnh hoạt động tốt, rất êm, khử mùi tốt và lạnh nhanh chóng","2","5"
"tủ lạnh khử mùi và bảo quản tốt, lạnh nhanh, đều nhưng lạnh hơi nhiều một xíu","2","5"
"Làm lạnh nhanh, nhiệt độ tỏa đồng đều trong tủ lạnh, khử mùi tốt","2","5"
"tủ lạnh êm, thức ăn bảo quản và khử mùi rất tốt,","2","5"
"tủ lạnh hoạt động tốt, Khử mùi tốt, không nghe mùi khó chịu trong tủ lạnh","2","5"
"Làm lạnh nhanh, nhiệt độ tỏa đồng đều trong tủ lạnh, Khử mùi tốt, không nghe mùi khó chịu trong tủ lạnh","2","5"
"tủ lạnh khử mùi ổn, làm lạnh và làm đá bình thường, ngăn đông bảo quản thức ăn bị đông cứng","1","3"
"Khử mùi tốt, không nghe mùi khó chịu trong tủ lạnh,Làm lạnh và làm đá nhanh","2","5"
"sp tủ lạnh khử mùi tốt, Làm lạnh nhanh, nhiệt độ tỏa đồng đều trong tủ lạnh","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt, nhưng bị tình trạng hấp hơi nước","1","3"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","4"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","4"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh","2","4"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","4"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","1","3"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt nhưng để rau củ quả bị đông đá nhẹ","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt nhưng tủ quá lạnh, để thực phẩm bị đông đá","2","5"
"Ngăn đông mềm không bị tình trạng đông đá, làm lạnh nhanh, khử mùi tốt","2","5"
