"data","label","num_stars"
"Mới dùng vài tháng đã hư 3 lần gọi cho bên bảo trì xuống kiểm tra thì hẹn mãi chẳng thấy ai Tủ mua mười mấy triệu giống như đồ chơi quá ha","0","1"
"Rất buồn mới mua được mấy tháng đã hỏng, bảo hành thi cham","0","1"
"Làm ăn thiếu trách nhiệm, lừa dối khách hàng trắng trợn, mua hôm 28 tết về hỏng gọi lên tổng đài nhưng được báo 26 bảo hành nghỉ. Vậy đợi qua tết vào bảo hành xong như không, sử dụng không nổi. Ngày 14/2 tiếp tục hỏng, gọi điện lên hẹn trước 18h qua bảo hành, 18h10 gọi điện báo sẽ đến còn báo để ý điện thoại cơ, đợi nửa ngày rồi chờ cả tối phải đến lúc điện khiếu nại mới phản hồi. Rốt cục vẫn hỏng.","0","1"
"Máy mua về chưa được 1 tháng đã đóng tuyết ngăn trên làm ngăn dưới k mát . Khắc phục tạm , bị đi bị lại hoài . Mình thấy nhiều người bị lỗi này mong hãng đưa ra đề xuất khắc phục cho người tiêu dùng","0","2"
"Chất lượng thựa sự quá tệ, mới mua được 1 tháng ngăn đá đã đóng tuyết vào htro sử dụng được vài tháng lại bị tủ đá đóng tuyết ngăn mát ko lạnh. Gọi báo bảo hành thì chậm chạp mái không co người vào sửa","0","1"
"Mới mua máy mà cần gạt lấy nước đã hưKêu bảo hành thì chậm trễ","0","1"
"Mua dc tháng lỗi ngăn mát k lạnh. Nv bh đến sửa dc dc ngày lại bị","0","1"
"Chưa biết sao nhưng tạm ổn","2","5"
"Mới Sài có 4 tháng thôi mà ngăn mát bị trục trặc rồi, để xem xu ly thế nào sẽ quay lại đánh giá lại","0","2"
"Bị hư phần vòi nước mát không nhấn ra dc","1","3"
"Hài lòng với sản phẩm","2","4"
"thấy chán cho 1 hãng lớn,mà sản xuất cho người tiêu dùng hàng quá kém chất lượng,dùng được hơn tháng thì hỏng,giờ đổi trả còn mất rõ nhiều phí,mn nên né hãng này ra","0","1"
