"data","label","num_stars"
"Cho hoi tủ có lấy nước thải bên ngoai không","2","4"
"Sản phẩm sử dụng ok","2","5"
"Tủ xài êm, chỗ rót nước Lấy nước ra không được nhiều.","2","4"
"Mới xài dc 3 ngày đã có hiện tượng tan chảy đá ở ngăn đông, tính ra là tan cực nhanh. Vì nếu bình thường nhà bị cúp điện thì ngăn đông cũng k tan nhanh như vậy Gọi hotline đmx k ai nghe máy Ra cửa hàng đmx yêu cầu hỗ trợ trên hệ thống thì tổng đài gọi lại hẹn tận 20 tiếng sau mới có nhân viên tới hỗ trợ Quá lâu để giải quyết vấn đề, trong thời gian đó thực phẩm trong tủ lạnh bị hư thì ai chịu trách nhiệm Khách hàng bị thiệt à","0","1"
"Mới dùng thấy cảm quan máy rất ok. Chờ thời gian mới nhận xét dc chi tiết tủ","2","5"
"mình sài đc một tuần thấy ngăn đá có như kiểu giọt nước bám vô thành tủ. Cho hỏi tủ nhà các bạn có vậy ko ạ","1","3"
"Sản phẩm rất tốt","2","5"
"xài thấy tốt","2","5"
"mới xài 1 tháng,thấy ok","2","4"
"sp tốt,dùng ok","2","5"
"nhiệt độ k vừa ý.","2","4"
"Tủ hoạt động tốt","2","5"
"sp bình thường","2","5"
"Tủ dùng êm, làm lạnh nhanh và bảo quản thực phẩm lâu","2","5"
"sp ok, tiện lợi cho gia đình sd","2","5"
"Ngăn đông mềm tốt, dễ dùng, làm lạnh nhanh, cho sản phẩm 5 sao","2","5"
"Tủ làm lạnh nhanh và bảo quản thực phẩm lâu, dùng bình thường","2","5"
"sản phẩm rất tốt, ngăn đông làm đá tốt","2","5"
"Sp bình thường","2","5"
"sp ok, ngăn đông","2","5"
"Tủ tốt, lạnh nhanh, làm đá nhanh","2","4"
"thiết kế ổn, tủ làm đá cũng được, khi hoạt động không phát ra tiếng ồn","2","4"
"dùng thấy ok, k vấn đề gì.","2","5"
"sp tốt, lấy nc ngoài tiện lợi","2","5"
"Sản phẩm tốt, ok","2","5"
"Tủ dùng tốt nhưng ngăn để nước hơi nhỏ, nhanh hết","2","5"
"sp tốt , ok","2","5"
"không hiểu sao tủ lạnh để đồ ngọt là kiến bò vào, làm đá lâu, còn lại cũng ổn","1","3"
"Tủ dùng tốt, làm lạnh nhanh và bảo quản thực phẩm lâu","2","4"
"Tủ dùng tốt, làm lạnh nhanh và bảo quản thực phẩm lâu, thiết kế đẹp nhưng ngăn đá cửa tủ mở hơi cứng","2","5"
"cấp ngăn đông mềm tiện dụng cho gia đình","2","5"
"sp ok tính năng cấp đông mềm tiẹn dụng","2","5"
