"data","label","num_stars"
"Dùng rất ok","2","5"
"Sản phẩm tốt , có lấy đá tự động lâu lâu nó kê rè rè sau khi lấy đá xong chỉ cần mở ra khều cánh quây nó đang rung là bình thường lại.","2","5"
"sản phẩm rất tệ. dùng chưa được 1 năm là hư. gọi bảo hành thì từ điện máy xanh đẩy về sam sung. sam sung thì 1 tuần k ai đến bào hành. không nên mua","0","1"
"Lấy đá, lấy nước bị rò rỉ.","1","3"
"Mua dc vài 5 tháng máy không chạy, quá đáng tiếc cho 1 sp đắt tiền","0","1"
"Tủ lạnh sài rất tốt.sàn phẩm ok","2","5"
"Máy hoạt động tốt ,tiếng ồn nhỏ","2","4"
"Tủ lạnh tốt","2","5"
"Rất vừa ý. Dùng ok","2","5"
"Rất tốt rất ưng","2","5"
"Tủ lạnh dùng êm, hình thức đẹp, phù hợp cho gia đình có trẻ nhỏ, rất hài lòng về sản phẩm . Đội ngũ nhân viên tư vấn bán hàng vui vẻ nhiệt tình , giao hàng nhanh nhiệt tình, hỗ trợ sau mua cũng rất ok. 😊😊👌","2","5"
"Giao hàng nhanh. Sp đẹp, sang. Ưng ý","2","5"
"Mới mua hôm qua, sáng nay cắm điện không lên luôn; vừa gọi cho nv xuống kiểm tra, kh biết thế nào","0","1"
"Tủ lạnh đẹp, dùng rất thích","2","5"
"Thái độ nhân viên giao hàng quá tệ","0","1"
"Sp nay rất tot","2","4"
"Hàng mẫu mã đẹp Hiện đang dùng không có vấn đề gì","2","4"
"máy tốt , dùng ổn , to thoải mái","2","5"
"không gian rộng, lấy đá khá chậm","2","4"
"lưu trữ nhiều, tốt","2","5"
"tốt, dể dùng","2","5"
"máy tốt , rộng êm okeee","2","5"
"rất rộng, tốt","2","5"
"rộng , tốt , sẽ giới thiệu","2","5"
"tốt dùng ổn","2","5"
"Rất êm , dùng ổn","2","5"
"rất rộng , tốt , sẽ giới thiệu","2","5"
"tốt, rộng , dùng ổn","2","5"
"máy rất tốt, dùng ổn, rộng","2","4"
"rất tốt, rộng","2","5"
"tốt, lưu trữ nhiều","2","5"
"tốt , dể dùng","2","5"
"Rất tuyệt vời","2","5"
"tủ lạnh bảo quản tốt, tiện nghi","2","5"
"sp bảo quản tốt, làm đá tốt nhưng ngăn đựng đá hơi nhỏ xíu, còn lại không vấn đề gì","2","5"
"tủ lạnh bảo quản thực phẫm tốt, tiện nghi","2","5"
"tủ lạnh bảo quản tốt","2","5"
"tủ lạnh tốt","2","5"
"sp xài êm, không gian rộng, làm lạnh tốt","2","5"
"sp xài tốt, không gian tủ rộng thoải mái","2","5"
"tủ bảo quản thức ăn tốt, không gian rộng","2","5"
"tủ xài tốt, không gian tủ rộng bảo quản tốt","2","5"
"Tủ bảo quản thực phẩm lâu, chạy êm nhưng tủ mát làm lạnh chưa được tốt lắm","2","4"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, dùng ổn","2","4"
"Tủ bảo quản thực phẩm lâu, chạy êm, hoạt động tương đối ổn","2","4"
"Tủ dùng tương đối tốt, khả năng làm đá nhanh, chạy êm, giữ lạnh lâu","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng làm lạnh nhanh, chạy êm","2","4"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, chạy êm, dùng tốt","2","5"
"Tủ bảo quản thực phẩm lâu, chạy êm, dùng ổn","1","3"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, dùng tốt","2","4"
"Tủ dùng tốt, bảo quản thực phẩm lâu, nhưng khi mất điện đá chảy từ tủ ra ngoài nhà","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, dùng tốt","2","5"
"Tủ bảo quản thực phẩm được lâu, khả năng làm lạnh tốt","2","5"
"Tủ dùng tốt, bảo quản thực phẩm lâu, chạy êm","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, chạy êm","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng làm lạnh nhanh, chạy còn hơi ồn","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, chạy êm","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, chạy êm","2","4"
"Tủ dùng tốt, bảo quản thực phẩm lâu, khả năng làm đá nhanh","2","4"
"Tủ dùng tốt, bảo quản thực phẩm lâu, chạy êm","2","5"
"Tủ bảo quản thực phẩm lâu, chạy êm, dùng tốt","2","5"
"Tôi thấy hài lòng với tủ lạnh này","2","4"
"Nhân viên nhiệt tình , quá ok","2","5"
"sản phẩm tốt, chức năng dễ sử dụng","2","4"
"mẫu mã đẹp, chức năng tốt, máy hoạt động êm","2","5"
"mẫu mã đẹp, chức năng tốt, đối với tầm giá này thì sản phẩm tốt","2","5"
"tốt, chức năng dễ sử dụng","2","5"
"mẫu mã đẹp, chức năng ổn, giá cả","2","5"
"mẫu mã đẹp, chức năng dễ sử dụng, tiện lợi","1","3"
"hiện đại, tiện lợi, thiết kế đựng được nhiều đồ","2","5"
"trữ được nhiều đồ, chức năng sử dụng, ok tốt","2","5"
"sản phẩm tốt, chức năng dễ sử dụng, mẫu mã đẹp","2","4"
"mẫu mã đẹp, chức năng dể sử dụng, mặt kính dễ in dấu tay mất thẩm mỹ nhưng sản phẩm vẫn ổn, tốt","2","4"
"phần khay đá khó lấy ra, cái nút bấm để lấy đá thì phải 1 lúc mới ra, ngoài ra thì vẫn tốt, bình thường, vẻ ngoài được, bên trong tiện trữ nhiều đồ, đồ ăn tươi lâu, bảo quản thực phẩm tốt, làm đá không để ý, hoạt động êm","2","4"
"sản phẩm tốt, cũng được, vẻ ngoài nói chung là được, hệ thống tự động làm đá dở, bị kẹt, thiết kế bên trong tiện trữ đồ, bảo quản thực phẩm tốt, làm đá cũng được, đạt yêu cầu, hoạt động êm","2","4"
"vẻ ngoài cũng được, bên trong tiện trữ đồ, bảo quản thực phẩm chế độ tốt, ít xài đá nên thấy làm cũng nhanh, hoạt động êm","2","5"
"sản phẩm cũng được, vẻ ngoài màu sắc nhìn sạch, bên trong tiện trữ đồ, phù hợp, bảo quản thực phẩm nhiều khi lạnh quá, ngăn mát để đồ ăn rồi bị đông đá mỏng mỏng, sản phẩm nói chung xài cũng được","2","5"
"bị bám vân tay, bên trong tủ rộng rãi, làm đá hơi lâu, bảo quản phần ngăn đông mềm nhưng bị cứng, chỉnh chế độ thấp nhất, làm đá cục bự thì nhanh, đá làm tự động thì lâu, hoạt động êm","1","3"
"sản phẩm bình thường,.vẻ ngoài cũng ok, thiết kế bên trong tiện trữ đồ, bảo quản thực phẩm tốt, làm đá nhanh, hoạt động êm","2","4"
"sản phẩm xài ổn, thích vẻ ngoài, thiết kế bên trong tiện, bảo quản thực phẩm tốt, làm đá nhanh, hoạt động êm","2","4"
"sản phẩm xài tốt ổn, thiết kế ngoài thích, bên trong tiện trữ đồ, bảo quản thực phẩm oke, làm đá nhanh, hoạt động êm","2","4"
"sản phẩm ổn, thích vẻ ngoài, hiện đại, bên trong tiện trữ đồ, bảo quản thực phẩm oke, làm đá nhanh, hoạt động không bị ồn","2","5"
"xài sản phẩm ok, đến bây giờ chưa có hỏng gì, rất thích vẻ ngoài, tiện hơn dòng Panasonic, bên trong nói chung là ok, nhưng chưa hài lòng về chức năng diệt khuẩn, vẫn có mùi bên ngăn mát, thiết kế tiện lợi","2","5"
"sản phẩm tốt hết, không có vấn đề gì","2","5"
"nói chung là tiện, ổn không có vấn đề gì, vẻ ngoài thích, bên trong tiện trữ đồ, bảo quản thực phẩm tốt, làm đá cũng ổn, không quá chậm, hoạt động êm không có tiếng ồn","2","5"
"Tủ dùng được khoảng 4 ngày thì kêu rất to và kêu liên tục, sau đó thêm khoảng 5 ngày thì đèn ở bảng tính năng cũng không hoạt động, không thể chỉnh nhiệt độ hay tắt mở hệ thống làm đá, cũng không còn báo cửa mở, mình đã liên hệ cho tổng đài mỗi ngày từ ngày đầu tiên máy bị sự cố, mình gọi liên tục thì bên tổng đài cứ hẹn lịch lên xem nhưng ko lên, đỗ lỗi do dịch mặc dù chỗ mình đã đi lại bình thường, cứ hẹn lần hẹn lượt đến nay sắp hết 30 ngày đổi trả nhưng vẫn không giải quyết cho mình, đây là lần đầu mình mua ở điện máy xanh nhưng thực sự rất không hài lòng về thái độ phục vụ khách hàng trong việc đổi trả mà phủo bỏ trách nhiệm, mặc dù trước khi mua đã cam kết đổi trả trong 30 ngày nếu có vấn đề nhưng nay gần hết hạn rồi. Vô cùng thất vọng !","0","1"
"Tủ mới mua đc 2 ngày tại dmx. Có hiện tượng tuyết và mồ hôi trong ngăn mát cả ngăng đông","1","3"
"Tủ đổ mồ hôi bên ngăn mát, nv bảo hành Samsung đổ lỗi do gió nóng bên ngoài. Có tiếng kêu cọc cọc khá to ngày vài lần.","0","2"
"Tủ lạnh bị ra mồ hôi, đổi đến cái thứ 2 vẫn bị. Gọi bảo hành Samsung thì cứ đổ lỗi cho trời nồm.","0","1"
"Dùng được, chưa phát hiện ưu nhược điểm so với tủ rẻ hơn. Giá có lẽ hơi cao. Kính bám dấu tay.","2","4"
