"data","label","num_stars"
"Máy ồn như máy cày. Thất vọng. Gọi samsung thì họ báo cái đó là tính năng của máy.","0","2"
"Tủ đổ mồ hôi Đồ dùng trong tủ bị hỏng ( hoa quả thối, thức ăn thiu, sữa chua hỏng) Tủ mua dc 40 ngày","0","2"
"Moi sử dụng đc gân 10 ngay noi chung tốt,,, không pit sau nay ntn","2","5"
"Máy chạy ôn áp để tg xem co ok minh đánh giá thêm","2","5"
"Tôi mua cái tủ lạnh chị giá hơn hai mươi lăm triệu chỉ vi tin tửơng bên điện mấy xanh vi tui đã mua rất nhiều sản phẩm kg say ra vấn đề gi nhưng nay đã xay ra sự cố kg kiểm tra kỷ sản phảm khi nhân viên đến giao hàng may ngay sau thi moi phat hiện ra cach mặt đất lên la khoan 20cm có 1 lo thủng nhỏ và tui da goi bên điện may xanh va ho da cho nguoi xuong xem roi đổi qua đổi lai roi keu kg co chinh sach do loi nhu vay ma tui chỉ muon giai quyet sao cho hộp tinh hộp ly thôi còn kg thi thôi mà gọi di goi lai ma nhan viec nao cũng 1 cau noi de xem set va chao doi ben nay ben kia tui thay qua met mõi","0","1"
"Chất lượng tốt","2","4"
"Lấy nước ngoài,nước mát ít Lấy đá tự động ko làm việc","0","2"
"Nhiều tính năng thông minh","2","4"
"Sản phẩm dùng rất tốt.ak","2","5"
"Hàng giao về thì phát hiện ra cửa bị vênh, liên hệ lại với siêu thị thì hẹn giải quyết đến nay được 20 ngày vẫn chưa có câu trả lời cụ thể","0","1"
"Mình mới dùng được ít ngày thì thấy rất OK còn nâu dài chưa biết","2","5"
"Nói chung là tốt","2","4"
"Sản phẩm sử dụng tốt","2","4"
"mình rất ko hài lòng vì bên điện máy xanh bán thông tin của mình cho bên khác mình mua tủ đc mấy hôm thì có bạn gọi điện đến nói bên đmx và tư vấn kiếm thêm thu nhập","2","5"
"Rất hài lòng","2","5"
"Hiện tại chạy êm tiện lợi cho người sử dụng","2","4"
"Ngăn đông, đông đá hơi chậm.","1","3"
"sản phẩm tốt","2","5"
"khung tủ rộng, đựng đồ thoải mái","2","5"
"tốt dể dùng, rộng","2","5"
"máy tốt, rộng , êm","2","5"
"tốt , okeee","2","5"
"máy tốt, dể dùng","2","5"
"máy tốt, rộng","2","4"
"máy tốt, rộng","2","5"
"tốt, rộng dể dùng","2","5"
"máy chạy êm","2","5"
"máy tốt. không gian lưu trữ rất rộng, mát","2","5"
"tốt , dể dùng , rộng","2","5"
"máy rất tốt, chạy êm","2","5"
"máy tốt, êm , dể dùng","2","5"
"máy tốt, chạy êm, rộng","2","5"
"Chất lượng sản phẩm tốt","2","5"
"tủ lạnh xài êm, tủ khử mùi và bảo quản thức ăn tốt, tiện nghi rộng rãi","2","5"
"tủ lạnh tốt, khử mùi okey, làm lạnh và đá nhanh","2","5"
"thức ăn bảo quản tốt, tủ chứa nhiều đồ tiện nghi, khử mùi okey","2","5"
"Khử mùi tốt, không nghe mùi khó chịu trong tủ lạnh,Làm lạnh nhanh, đông đá nhanh, Không gian bên trong tủ rất rộng, đủ chỗ chứa nhiều thực phẩm","2","5"
"tủ lạnh hoạt động tốt, chứa nhiều đồ, làm mát và làm đá nhanh, khử mùi okey","2","5"
"tủ làm lạnh nhanh, chưa được nhiều thực phẩm , tủ k có bị lẫn mùi với nhau","2","5"
"tủ lạnh to chưa nhiều thực phẩm, ngân đông và ngăn mát lạnh nhanh, tủ chưa vẫn thấy ít đồ , khử mùi tốt","2","4"
"tủ lạnh bị chay nước nhiều , hộc nước đá bị chảy nước ,làm lạnh lúc được lúc không","0","2"
"tủ rộng chưa nhiều thực phẩm , làm lạnh và lm đá nhanh , tủ khử mùi tốt","2","4"
"ngăn mát và ngăn đông tách biệt nên k bị lẫn mùi với nhau, nhà 4 người sử dụng nên tủ chứa đựng được nhiều thực phẩm","2","4"
"ngăn đông và ngăn mát k bị lẫn mùi với nhau, tủ rộng đựng được nhiều thực phẩm","2","4"
"tủ lạnh ngăn mát với ngăn đông k bị lẫn mùi , tủ to đựng nhiều đồ","2","5"
"tủ ngăn mát và ngăn đông k bị lẫn mùi với nhau, tủ đựng được nhiều đồ","2","4"
"tủ lạnh to luu trữ được nhiều thức ăn , tủ dùng tốt k bị lẫn mùi giữa ngăn mát và ngăn đông","2","5"
"khu uống nước mát thì vẫn còn nghe mùi , tủ vẫn bị lẫn mùi với nhau, tủ đựng được nhiều thức ăn","2","5"
"tủ lạnh ngăn đông và mát k lẫn mùi vs nhau , tủ đựng được nhiều thực phẩm","2","4"
"dùng 1 tháng đầu là ngăn mát k vô điện, ngăn to đựng nhiều thực phẩm , tủ lạnh k bị lẫn mùi","1","3"
"sử dụng ok, tủ bảo quản tốt, làm lạnh nhanh","2","5"
"làm lạnh nhanh , chạy êm.","2","5"
"Tủ dùng ổn, khả năng làm lạnh nhanh, chạy êm","2","5"
"Tủ ổn k có vấn đề gì, khả năng làm đá nhanh, chạy êm","2","5"
"Tủ dùng tốt khả năng làm đá nhanh, chạy êm","2","5"
"Tủ khả năng làm đá nhanh, chạy êm nhưng lúc cúp điện nước bên cánh tủ chảy ra ngoài","2","4"
"Tủ dùng tốt, khả năng làm lạnh nhanh, chạy êm","2","5"
"Tủ bảo quản thực phẩm lâu, chạy êm, dùng ổn","1","3"
"Tủ dùng ổn, chạy êm, nhưng đã khóa chế độ làm đá nhưng vẫn hoạt động.","1","3"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, chạy êm","2","4"
"Tủ bảo quản thực phẩm tương đối lâu, khả năng làm đá chưa nhanh lắm, chạy êm","2","4"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá chưa nhanh lắm, chạy êm","2","5"
"Tủ dùng tốt, khả năng làm đá nhanh, chạy êm","2","5"
"Tủ dùng tốt, khả năng làm lạnh nhanh, chạy êm","2","5"
"Tủ bảo quản thực phẩm tương đối, khả năng làm lạnh chậm","1","3"
"Tủ dùng tốt, khả năng làm đá nhanh, chạy êm","2","5"
"Tủ dùng tốt, khả năng làm đá nhanh, chạy êm","2","4"
"Tủ bảo quản thực phẩm lâu, khả năng làm lạnh nhanh, dùng tốt","2","4"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, chạy êm","2","4"
"Tủ dùng tốt, bảo quản thực phẩm lâu, khả năng làm lạnh nhanh","2","4"
"Tủ dùng tốt, khả năng làm đá nhanh, chạy êm","2","5"
"Tủ dùng ổn, khả năng làm đá tương đối nhanh, chạy êm","2","5"
"Tủ dùng bình thường, bảo quản thực phẩm tương đối lâu, nhưng đá bị nghẹt bấm k ra đá","1","3"
"Tủ bảo quản thực phẩm lâu, khả năng làm lạnh nhanh, dùng tốt","2","5"
"Tủ dùng tốt, bảo quản thực phẩm lâu, nhưng còn đọng hơi nước ra ngoài","2","4"
"Tủ bảo quản thực phẩm tương đối lâu, khả năng làm đá nhanh, chạy êm","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, chạy êm","1","3"
"Tủ bảo quản thực phẩm lâu, nhưng chạy còn hơi ồn, giai đoạn đầu sử dụng còn tích nước trên thực phẩm","2","4"
"Tủ bảo quản thực phẩm lâu, khả năng làm đá nhanh, chạy êm","2","4"
"Tủ bảo quản thực phẩm lâu, khả năng làm lạnh nhanh, chạy êm","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng giữ lạnh lâu, dùng tốt","2","5"
"Tủ bảo quản thực phẩm lâu, chạy êm, dùng tốt","2","5"
"Tủ bảo quản thực phẩm lâu, khả năng làm lạnh chưa nhanh, chạy êm","2","5"
"Mới xài thấy tốt, thấy vừa ý","2","5"
"Máy chạy êm","2","5"
"Máy hoạt động tốt, êm","2","5"
"Sản phẩm bình thường","2","5"
"Sản phẩm rất tốt","2","4"
"Tủ lạnh tôi bị méo bên trong dù mua mới","0","1"
"Tủ Sam Sung này dùng rất êm,nhà mình dùng một thời gian thấy hài lòng quá,dạo này thấy các mẹ bên yêu bếp nghiện nhà review tốt tủ này ghê.Các bạn tư vấn nhiệt tình","2","5"
"màu sắc cũng được, nhưng mình thấy không bằng con LG D247JDS nhà mẹ mình sử dụng nữa, lâu lâu máy lại kêu như em bé đang khóc","0","2"
