"data","label","num_stars"
"Mua được 4 tháng cảm thấy ok làm lạnh nhanh nhân viên lắp ráp nhiệt tình","2","4"
"Cho hỏi Tủ lạnh mới lấy lúc tối Mà máy kêu re re.xin đc hỗ trợ đổi","1","3"
"Sản phẩm mẫu mã đẹp","2","5"
"Mua về 1 ngày mà cắm điện vô kêu e e,hai bên hông tủ lạnh nóng","1","3"
"Mua ngày 23/05Dùng 2 ngày sao kêu re re suốt ngày vậy","0","2"
"Tủ mới dùng 2 ngày hai bên tủ nóng ran có sao không ạ , tủ kêu re re như tủ cũ vậy","0","2"
"Mới mua tủ lạnh ngày 25 nay mới 2 ngày, cấm điện máy kêu e e luôn, mình tưởng mới cấm chưa ổn định nên kêu nhưng sau 2 ngày vẫn kêu.","0","2"
"Tặng chảo chống dính nhưng không thấy","2","4"
"Kêu re re cả ngày, rất ồn","1","3"
"Tui trãi nghiệm dc ngày thứ2 thì tủ lạnh kêu re re ,k lớn nhưng đủ nge, thợ xuống xem thì bảo mô tơ hoat động nên kêu như z là bình thường..tu lạnh mới mua mà kêu như tủ lạnh cũ sài nhiều năm vậy mà nói là bình thuờngtui thay tủ lạnh cô dì chú bác tui sài k có phát ra âm thanh nào êm ái vô cùng..tại tui tin tưởng nhân viên tư vấn sài bền, sai êm.. từ đầu nói thẳng mô tơ chạy có phát ra âm thanh nhỏ thì tui k mua rồi..nản quá trời..","0","2"
"Vừa hết bảo hành 2 năm là bị hư, mọi người cân nhắc, ai muốn 2 năm thay tủ lạnh 1 lần thì mua","0","1"
"nhân viên thân thiện, nhiệt tình..giao hàng nhanh..máy ok..làm lạnh nhanh..mình mới mua hôm nay..cắm điện vào 1tiếng hơn là khây làm đá đã có đá bi..có điều 2 bên máy nóng đụng vào thì hơi nóng có kêu e e,buông ra thì k kêu thế có sau không ạ","2","5"
"Tủ lạnh rất ồn, kêu re re cả ngày","0","2"
"máy ồn quá máy chạy kêu rè rè cả đêm cực kì khó chịu ...nhân viên đã đến xem máy này lỗi của nhà sản xuất cần khắc phục","0","2"
