"data","label","num_stars"
"Sản phẩm tốt, cảm ơn bạn Trịnh lan Anh rất nhiệt tình tư vấn giúp mình mua đc nhiều sp tốt","2","5"
"Giao hàng nhanh trong ngày, tủ lạnh chạy êm ái.","2","5"
"Ai thích mùa hè thì nên mua... kêu eee cả ngày lẫn đêm","0","1"
"Tủ kêu eee rất to và ồn tủ chạy cả ngày không tự ngắt","0","1"
"Nhan được sản phẩm như khong có quà khuyến mãi la chảo chống dính như quảng cáo.","2","4"
"Tôi đã quá thất vọng với tủ lạnh samsung 256 lít, mua mới mà chạy kêu eee to cả ngày không ngắt đủ lạnh cũng không ngắt kêu điện máy xanh kiểm tra đổi lại sản phẩm khác nhưng lại nói không có chuyên môn đẩy cho hãng. Tôi xem thử hãng và điện máy xanh xử lý thế nào đây. Nào là chính sách đổi 1 đổi 1 khi có lỗi từ nhà sản xuất. Hãy làm cho khách hàng tin tưởng trước khi mất hết lòng tin. Quá bức xúc rồi.","0","1"
"tủ có nhược điểm đá mới đông có 80% chưa hề có tuyết mà vẫn kích hoạt xã đá nhà sảng xuất công bố 100w nhưng tủ chay ổn định rồi vẫn ăn hơn 100w","1","3"
"Tủ sd ổn, lúc mua có quà tặng cửa hàng báo hết khi nào có thì báo lại, tới khi có thì bắt nhận trong thời gian ĐMX quy định mới được, nhận trễ đã bị hủy quà tặng. Thật đáng trách.","2","4"
"Nhân viên giao hàng nhiệt tình , trừ một sao móp méo nhỏ không đáng kể nhưng mất thẩm mỹ rất nhiều , nhưng so với người dễ tính như mình thì không muốn làm khó ae giao hàng thôi Mong cửa hàng khoán triệt nhân viên triệt để hơn về những sự cố này Còn bền hay không thì để một thời gian rồi mới biết được","2","4"
"Mới cắm vào có tiếng nổ nhỏ 30s 1 lần tầm 4 lần thì hết có bị sao k","1","3"
