"data","label","num_stars"
"Tủ dùng ok lam lạnh nhanh đá đông nhanh nói chung ok .nhân viên nhiệt tình vui vẻ","2","5"
"Tủ chỉ có 1 bản điều khiển ở ngăn mát, vậy thì chỉnh ngăn đông thế nào ạ hay cứ để mặc định như vậy khổng thể tăng giảm","1","3"
"Tủ của mình mua về sao quạt ở ngăn đông phát ra tiếng quạt không đều và dàn lạnh kêu è è","2","4"
"Khoá trẻ em nằm ở đâu ạ","2","5"
"Tủ làm lạnh tốt, tuy nhiên ngăn đông có đóng tuyết nhẹ, ngăn mát có hiện tượng đổ mồ hôi, mờ kính.Cần hỗ trợ kỹ thuật kiểm tra.","1","3"
"Sản phẩm dùng rất tốt, không có phát sinh gì cả, rất hài lòng về chất lượng sản phẩm.","2","5"
"Tủ lạnh dùng tốt, làm lạnh nhanh, bảo quản thực phẩm được lâu","2","4"
"tủ lạnh êm, làm lạnh cũng được, ổn, chưa có gì phát sinh","2","4"
"tủ lạnh êm, ngăn mát ngăn đông hoạt động tốt","2","5"
"Tủ lạnh dùng tốt, bảo quản thực phẩm được lâu, tủ mới nên chưa có vấn đề gì","2","5"
"tủ lạnh chạy êm, hãng Toshiba người nhà mình dùng nhiều, ngăn mát tủ lạnh bảo quản đồ ăn tốt","2","5"
"Tủ lạnh dùng tốt, làm lạnh nhanh, bảo quản thực phẩm được lâu","2","5"
"Tủ lạnh dùng tốt, làm lạnh nhanh, bảo quản thực phẩm được lâu","2","5"
"tủ lạnh làm đá làm lạnh nhanh, chạy êm, mình cũng giới thiệu cho mấy người nữa rồi, tủ lạnh tốt","2","5"
"Tủ lạnh dùng khá tốt, không có vấn đề gì phát sinh, khá hài lòng về sản phẩm.","2","4"
"đồ ăn để chỗ hơi thổi gió ra ở ngăn mát bị đông đá, chỉ bị vấn đề đó, chắc là do nhiệt độ, sản phẩm dùng ok","2","5"
"Tủ lạnh dùng tốt, làm lạnh nhanh, bảo quản thực phẩm được lâu","2","4"
"tủ lạnh làm đá làm lạnh nhanh, máy chạy êm","2","4"
"sản phẩm ổn, ngăn mát và đông ổn, do là máy mới nên còn đang theo dõi","2","5"
"Tủ lạnh chạy êm, tốt, làm lạnh rất nhanh, cho máy 5 sao","2","5"
"Tủ lạnh dùng tốt, làm lạnh nhanh, bảo quản thực phẩm được lâu","2","5"
"Tủ dùng rất tốt, thương hiệu đáng tin cậy nên cũng rất an tâm sử dụng.","2","5"
"Máy làm lạnh nhanh, tốt lắm, chạy êm, không có phát sinh gì hết","2","5"
"sản phẩm tốt, được","2","5"
"Tủ lạnh dùng tốt, ngăn đông lạnh dùng tốt, nhưng dùng hơi hao điện","2","4"
"tủ đông, tủ mát dùng ok, mà tủ còn kêu hơi to","2","5"
"Tủ lạnh dùng tốt, làm lạnh nhanh, bảo quản thực phẩm được lâu, chạy êm","2","4"
"sản phẩm tốt, tủ đông tốt","2","5"
"Tủ dùng rất tốt, vận hành ổn định, không có gì không hài lòng cả.","2","5"
"Tủ lạnh dùng tốt, nhưng ngăn đông mềm chưa được ổn","2","4"
"Máy tốt, chạy êm, làm lạnh nhanh","2","4"
"Tủ lạnh dùng tốt, làm lạnh nhanh, bảo quản thực phẩm được tươi và lâu","2","5"
