"data","label","num_stars"
"Lỗi ngăn mát k làm lạnh, điện thoại bảo hành đổi máy mới thì hẹn tới hẹn lui, nhân viên dmx thì báo chờ hãng kt, trc đó nhân viên bảo trì dmx kiểm tra r, dt lên hãng thì hãng đòi số seri tùm lum tùm la, hãng thì bảo nhận dc thông tin sẽ xử lí trong vòng từ 2448 h mà đến 45 ngày chưa giải quyết xong, trước giờ mua đồ rất tin tưởng hay mua đồ ở dmx, làm điện thoại tới điện thoại lui mấy ngày trời vừa tốn tiền điện thoại vừa mất thời gian của mình. Vừa thấy phiền vừa thấy tệ nha","0","1"
"Sản phẩm bị đóng tuyết nhân viên chỉ nói lỗi đó bình thường không sao nhưng mình chưa thấy có tủ đóng tuyết như vậy bao giờ cả","0","1"
"Tôi mới mua tủ này đc 2hôm , nay đã thấy ngăn đá có đóng tuyết","0","2"
"Khá tốt. Chỉ có đều khay trứng không như trong hình nha mn. Khay làm đá nếu không làm đá thì choáng chỗ. Còn lại chạy êm ít hao điện...","2","4"
"Tủ mới giao đến đã bị vậy, mãi vẫn k thấy đề cập vấn đề này","0","2"
"tủ đông tuyết ngăn đá.","1","3"
"Lâu lâu máy chạy kêu ồn quá","0","1"
"Ngăn đá đông tuyết, đông tuyết cả thực phẩm, gọi bảo hành xuống, bảo hành đùn đẩy cho hãng, hãng xuống vặn linh tinh xong bảo tủ k vấn đề. Trong khi vẫn đông tuyết, ý định lừa lọc khách hàng.","0","1"
"Tủ lạnh đóng tuyết ngăn đá","0","2"
"Tủ lạnh không lạnh , xì nước ống đồng , ngăn đá k đông . Mới mua được 1 ngày. Hổ trợ đổi gấp dùm , k có tủ lạnh xài .","0","2"
"làm ăn cực kì chán ns là liên hệ bảo có ng đến sửa nhưng mấy ngày chả thấy ai làm ăn kiểu này thì sau không bao giờ đến mua hàng nữa tủ lạnh kiểu gì mới mua đc tháng kêu như máy bơm yêu cầu có ng đến đổi hàng lại ngay chứ bán hàng này thôi đừng có bán","0","1"
"Tủ rất tệ, dịch vụ bảo hành càng tệ hơn. Mua sử dụng đc 1 ngày tủ ko lạnh, ko đông đá, gọi bh thì hẹn 34ngày mới xuống, xuống k ktra chỉ coi coi rồi chỉnh nút rồi về kêu tủ bth, qua hôm sau thì tủ bị chảy nước bám tuyết luôn, gọi lại thì lại kêu để kêu bên hãng xuống thẩm định, hãng xuống đo đo xong cũng kêu bth, ko hiểu bth là bth kiểu gì nữa trong khi mua cả tuần mà chả xài được ngày nào, lúc mua thì nói hay lắm, hư đổi mới này nọ, h thì kiếm chuyện ko đổi cứ nói bth, bỏ tiền ra mua cục tức vô người, giờ ko biết giải quyết sao","0","1"
"Chỗ cửa tủ lạnh nó bị giật tê tê","1","3"
"Tủ lạnh sài tốt,","2","5"
"Không lạnh ngăn mát","0","1"
"Được gần nửa tháng mọi thứ ổn. N 2 hôm nay bị côn trùng không biết bay vô kiểu gì a","1","3"
"chạy rất êm làm lanh sâu","2","5"
"Thiết kế sang trọng, tiện lợi, sử dụng rất vừa ý, nhân viên nhiệt tình, chỉn chu.","2","5"
"Làm lạnh nhanh, có cái chạy hơi ồn","2","4"
"Tủ làm đá rất chậm , làm lạnh cũng rất kém so với samsung. Mình đã dùng 2 loại tủ nên cảm thấy loại này rất tệ","1","3"
"Mua 2 ngày tủ lỗi .khách yêu cầu đổi mới mà 7 ngày vẫn chưa đổi mới cho khách. Thế mà kêun1 đổi 1 cái quai gi","0","1"
"Đang dùng và cảm thấy ổn","2","4"
"Rất tốt, mẫu mã đẹp chạy rất êm, ngăn đá làm lạnh cực nhanh, độ lạnh sâu.Tốt trong tầm giá.","2","5"
"Sao mình thấy ..ngan lanh thì làm lanh không được tốt cho lắm ..con ngan da thì ok","1","3"
"Tủ chạy êm, làm lạnh tốt","2","5"
"Sử dụng yêm và ok lắm","2","4"
"Tủ lạnh xài rất tuyệt vời, chạy êm","2","5"
"Mình cảm thấy hài lòng tốt mọi người nên mua","2","5"
"OK sử dụng rất tốt","2","5"
"Tủ ổn không có vấn đề gì","2","5"
"tủ xước nhiều không hiểu sao trong hộp mới nguyên mà bị vậy... không biết liệu có phải sản phẩm trả bảo hành không nhỉ","1","3"
