"data","label","num_stars"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh dùng ok","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","4"
"tủ tiết kiệm điện","2","5"
"tủ lạnh dùng ok","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng êm","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng êm","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh sử dụng tốt","2","4"
"sản phẩm sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh xài ok","2","5"
"tủ lạnh sử dụng tốt","2","5"
"sản phẩm sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
