"data","label","num_stars"
"Mình ở trọ,tủ này tiết kiệm điện thật,tháng dùng có 6 đến 8 kwh điện","2","5"
"sau khi nhận tủ tôi đã làm theo hướng dẫn của nhân viên nhưng sao bỏ đồ ăn vào 34 ngày mới đông có thể giải đáp vấn đề này giùm tôi không","1","3"
"Làm Lạnh Nhanh.Mọi thứ đều ổn.Nhưng theo thông số ghi là 296 kw nhưng theo mình nghĩ chắc phải hơn 296 Chắc Cũng uống điện Như uống bia Là Cái Chắc","1","3"
"Tủ bị kêu ọc ọc như nước sôi là bị gì vậy","1","3"
"Tủ đem về ngày đâu chạy mức trung bình thì đông đá bình thường, đến ngày 2 và ngày 3 thì máy có dấu hiệu chạy nhưng không lạnh nữa, không đông đá nữa, yêu cầu được giải đáp hoặc đến kiểm tra giúp, thank.","0","2"
"Hỗ trợ khách hàng nhiệt tình , tận tâm và xứng đáng","2","5"
"Mua bảo có tặng chảo mà đến lúc giao hàng thì k thấy đâu","2","4"
"Tủ mình mới mua. Làm theo hướng dẫn của thợ giao hàng. Mà s làm đá không đông. Để từ 22h 22h hôm sau 24 tiếng mà vẫn không đông được. Nó đông r lát nó tan đá ra. Là bị gì vậy ạ. Tủ im re lun k có lạnh lắm cũng k có tiếng ồn. 2 bên hông tủ k có nóng. Ngăn mát cũng k lạnh. Thợ chỉnh med. Bây giờ mình chỉnh max được không. Cần phản hồi","0","2"
"TGDD làm ăn lừa đảo, bán tủ lạnh hư, Khách báo nhiều lần không xử lý cho khách, khách phản hồi đánh giá 1 sao thì xóa tin nhắn, làm ăn quá lom com.","0","1"
"Mình mua ba tháng bị đông cánh quạt kêu è è ngăn mát không hoạt động, điện bảo hành thì hẹn ba ngày ý là sát bên đmx","0","1"
"Sản phẩm sài rất ok","2","5"
"Tủ lạnh mới nghe tiếng như nước sôi nhẹ thì có sao k ạ","2","4"
"Mình mua rất hài lòng","2","4"
"Tủ làm mát nhanh .Mới dùng nên sau không biết thế nào","2","4"
"Tủ ok .chạy êm","2","5"
"Tủ mới mua chạy nge ọc ọc chạm tay vào bên hông nge tiếng rú không biết có bị trạm gì không nhờ kiếm tra để đổi chả trách trường hợp chập cháy","2","4"
"Sử dụng 2 tuần em thấy sản phẩm rất tốt ạ","2","5"
"Xài im và tốt ạ, giá cả hợp với túi tiền, tôi rất hài lòng.","2","5"
"Tủ mới mua về thì vân hành êm mà sài được 3 tháng nó quá ồn","2","4"
"Rất hài lòng...","2","5"
"Túi rất tốt giao hàng nhanh","2","5"
"Bình thường 1 ngày dùng khoảng 0,7 kg điện.Tủ lạnh hãng để khoảng 0.8 Nhưng lắp tủ lạnh thì 1 ngày tốn 3 kg điện.mặc dù tủ lạnh chỉ để có 2 chai nước và vỉ đáHàng chất lượng kém.Nên cân nhắc khi muaSp kém chất lượngTệ Không giới thiệu sp cho ai,vì chất lượng quá là tệVà thấy đmx,tgđ thái độ phục vụ và chế độ bảo hành ngày càng tệ,luôn đuồn đẩy trách nhiệm qua cho khách.kéo dài thời gian bảo hành của kháchNhất là nhân viên online luôn kiểu mình không biết hoi là ai rất là thái độ,khi hỏi tên thì không trả lời để mình đi nói cũng đặt để không biết tên của họ.khi nói bảo hành thì cứ lòng vòng trong khi lỗi của hãng mà từ chế độ 1 tuần mà đmx nhây không bảo hành qua 4 thángRất rất rất là tệQuá tệ","0","1"
"Hàng tốt. Sử dụng êm","2","5"
"Tủ hơi ồn. Mọi thứ ổn","1","3"
"Sản phẩm không lạnh sâu như những dòng tủ lạnh 2 cửa","2","4"
"Nhờ bên bảo hành lại xem tủ giúp ạTôi mới mua chưa được 1 ngày sao cánh cửa tủ lạnh rất khó mở. Mỗi lần mở tủ mà như kéo cả cái tủ vậy","0","2"
"Tạm thời ổn ko bt sau 1 tháng sao thui","2","4"
"Tủ mát thì k thấy mát được bao nhiêu . K biết có bị lỗi hay k . Xài chưa được 1 tháng nữa bây giờ thì cách 1 2 phút thì nghe tiếng cọc cứ 1 2 phút là nghe tiếng cọc rất lớn","0","2"
"Tủ rất ít mát làm mát thì chậm dù để mức khá cao ko biết có phải do lỗi ko","1","3"
"Đẹp xịn mịn","2","5"
"Đã xài được mấy tháng nên vô đây đánh giá, làm lạnh ổn, cửa tủ mát hít quá chặt không biết phải lỗi không hay do nó vậy, có lúc kéo cửa mà cái tủ di chuyển theo, giờ mở tủ phải lấy tay vịnh tủ đông, nên chỉ cho 3","1","3"
"Tiết kiệm điện, làm lạnh nhanh, tủ chạy êm,","2","5"
"Mới dùng chưa biết đc","2","4"
"Sản phẩm dùng tốt","2","5"
"Sài ok lắm ạ","2","5"
"Sp sử dụng rất tốt. Làm lạnh nhanh.","2","5"
"Rất tốt,giao hàng nhanh","2","5"
"Tủ mua xài được 4tháng thì không đông đá gọi nhân viên điện máy xanh thì nói thứ 6 xún kiểm tra rồi tới thứ 6 thì nói để liên hệ bên bảo hành xún làm việc sớm nhất là sáng thứ 7 trễ nhất là chủ nhật , đợi cả ngày chủ nhật không thấy đâu tới sáng thứ 2 gọi thì nói do chủ nhật bên bảo hành không làm việc . Hẹn chiều thứ 2 rồi ngta xin xún ca về thì nói không có người để qua sửa chửa hẹn lại thứ 7 . Rồi giờ cái tủ k để được cái gì lên ngăn đông luôn. Lúc mua thì nói có trục trặc máy móc gì của tủ là liên hệ bảo hành được ngay giờ thì lơ là hẹn lần hẹn lựa rồi giờ gọi bên điện máy xanh cũng k bắt máy luôn","0","1"
"Tủ lạnh k có hơi, tủ đông p để đến tận gần 2 ngày mới đông được nước hoặc thịt. Đông đc vài tiếng là nó xả ra lại thúi hết cả đồ ăn ở trong.. tủ máy ở dưới thì k một chút mát nào.. cả ngăn đông và mát kiến đều bò vô ăn đc đồ ăn.. giờ tủ mình ám mùi đồ hư luôn ấy","0","1"
"Có ai giống mình lâu lâu mở tủ ra, khi đóng lại thì nghe ọc ọc ọc,","1","3"
"Tủ đông hở, đổi 1 cái, cái thứ 2 vẫn hở, hãng vào bảo do thiết kế bề mặt tủ có họa tiết vân nổi nên tủ bị hở như vậy, sản xuất 100 cái thì cái nào cũng bị như vậy, bảo dùng vài ngày thì tủ nó khít lại, sau 7 ngày thì tủ đông đá ở chổ bị hở.Tủ mát quá khít, mỗi lần mở phải tay vịn, tay kéo mới mở được.Lâu lâu tủ kêu rất ổn.","0","1"
"Mình mới mua chưa tới 10 ngày thì nó kêu như có tiếng xào đồ hoặc cào đồ í, nửa đêm ồn quá","0","2"
"Mua tủ được 3 ngày thấy êm, đến ngày thứ 4 bị kêu to bất thường. Tôi không biết cách như thế nào để khắc phục tình trạng, chứ đêm ngủ mà bị kêu không ngủ được","0","2"
"Tủ chạy êm chưa có phát sinh lỗi gì trộm vía","2","5"
"Tốt lắm, bền","2","5"
"Sản phẩm tốt","2","5"
"Chay êm được một tháng giờ kêu to quá","0","1"
"Hiện tại máy dùng ổn","2","4"
"Tu lạnh chạy rất êm","2","5"
"Tủ thiết kế đẹp, nhìn sang, chạy êm, tiết kiệm điện.","2","5"
"nhân viên giao hàng thân thiện","2","5"
"Tủ chạy tốt, lạnh đều","2","5"
"Hoạt động ổn","2","5"
"Tủ lạnh dùng rất tốt","2","5"
"Tủ chạy êm. Giá sale giảm còn 4990k ráng đáng mua. Tủ to thích hợp dùng 23nguoi.","2","5"
"Tủ chạy rất êm.","2","5"
"tủ lạnh dùng rất tốt, chạy êm, làm đá nhanh.rất đáng mua trong tầm giá 5tr","2","5"
"tủ làm lạnh nhanh, máy êm.","2","5"
"Dùng ok lắm tủ đông và lạnh ,tạm thời mới dùng nên chưa bt độ bền ,nhưng tủ cũng ok,giá tiền hợp lý.","2","5"
"Thanks các a lắp đặt","2","5"
"Hiện tại dùng oki","2","5"
"Tủ lạnh sài rất ok tiết kiệm điện","2","5"
"tủ lạnh phù hợp với gia đình ít người như nhà mình. nhà có 23ng lớn và 2 trẻ con. rất là ok. giá tiền phải chăng.","2","5"
"Máy chạy êm. Làm lạnh nhanh.","2","5"
"Hệ điều hành dễ sai.Mới mua ko biết như thế nào.đánh giá trước xem sau này ổn không.","2","4"
"Tủ lạnh xài ok rất tiện tiết kiệm điện lắm ạ giá thành rẻ","2","5"
"Cũng rất ok","2","4"
"Nhờ bộ phận bảo hành liên hệ lại với mình với ạ. Mua được 1 tháng bỗng dưng không biết bị sao như rò nước cứ nghe tiếng nhỏ giọt trong tủ lạnh.","0","2"
"Quên nhắn là bạn nào mua tủ lạnh định nối dây tiếp đất thì nhớ nhắc khi nv chuyển đồ đến ng quen tôi mua ng ta cũng tự động lắp cho ko mất phí gì còn tôi dại quên nhắc nên gọi ng đến lắp cho thì mất 200k. Thôi coi như bài học cho sự ngu ngốc.","0","1"
"Rất tốt quá ngon luôn đá viên 3tieng la đong cứng dù để chế độ lạnh trung bình Trong tầm giá vừa túi tiền","2","5"
"Mới mua đc 3 hôm. 2 cái tủ bị lệch. Xuống bảo hành thì kêu là không sao.Đến giờ nhìn vô cảm giác cửa tủ n như bị xệ xuống như vậy. Báo thì k ai thèm phản hồi.","0","1"
"Tốt làm lạnh ok","2","5"
"Nhỏ gọn dễ lau chùi giá thành tốt","2","5"
"Tuyệt vời, nên mua nha mn","2","5"
"Sau khi trải nghiệm 1 tháng: 1. Tiết kiệm điện đáng kể, mình để dành 1 tháng xem tủ lạnh có tiết kiệm điện so vs tủ lạnh cũ không, và kết quả có tiết kiệm điện rất nhiều 2. Cửa lúc mới mua về thì còn hơi cứng khi mở ra mở vô, nhưng sau 1 tháng thì nó không còn cứng và dễ mở 3. Vận hành êm, cảm giác như không tiếng động 4. Không gian tủ lạnh rộng, gia đình 4 người sài vô tư 5. Khả năng làm lạnh tốt, khay đá mình đo thì 3 tiếng thì đông đá Tủ lạnh tốt 👍","2","5"
"Sản phẩm tốt","2","5"
"Sản phẩm ok","2","5"
"DÙng tốt.tiết kiệm điện","2","4"
"Rất hài lòng","2","5"
"Sản phẩm tốt - giao hàng nhanh👌","2","5"
"NHỎ GỌN, DỄ LAU CHÙI, GIÁ THÀNH TỐT.","2","5"
"Chất lượng với giá","2","5"
"Nhỏ gọn dễ lau chùi giá thành tốt","2","5"
"Cửa dưới rất cứng Làm đá nhanh Êm, đẹp","2","5"
"Nhỏ gọn, dễ lau chùi, giá thành tốt","2","5"
"Tôi chưa đóng tiền điện lên chưa biết có tiết kiêm điện hay ko","2","4"
"tủ có giá thành hợp lý","1","3"
"Nhỏ gọn, dễ lau chùi, giá thành tốt","2","5"
"Hàng đẹp .. .. làm đông nhanh ... Còn tiết kiệm điện .. để hết tháng mới pik .. nên chưa dám đánh giá","2","5"
"Dịch vụ tốt, chuyên nghiệp","2","5"
"Tủ lạnh tốt.....","2","5"
