"data","label","num_stars"
"Lỗi hư hỏng tùm lum, khi khách hàng mua phải để rõ ràng lỗi gì, đằng này chie biết bán lấy tiền,đem về lỗi k lạnh, phải điện thoại lên bảo hành phiền phức","0","1"
"Tủ xài lâu lâu nghe tiếng chảy nước rất lớn phía sau tủ, không biết có vấn đề gì k nhưng tạm thời ổn. Có điều cánh tủ trên mở hơi khó","1","3"
"Tủ sụ dụng tot .","2","5"
"Mẫu mã đẹp dùng ok","2","5"
"xài êm ,có điều ngăn mát hơi khó mở do ron của hút mạnh","2","5"
"Trước mắt thì thấy xài êm, làm đá nhanh, thực phẩm để vào cả tuần ăn vẫn ngon...tạm thời thì ưng bụng","2","4"
"Sản phẩm rất ok","2","5"
"Tủ lạnh tốt, lạnh. Ngăn mát ở trên nên lấy đồ rất dễ, để nhiều đồ uống ở cánh tủ rất tiện lấy. Ngăn đông rộng rãi, sức chứa lớn. Tủ chạy không ồn.","2","5"
"Sài đc 4 tháng thì mn nên mua, diện tích để đồ siêu rộng, thoải mái và tiết kiệm điện hơn tủ lạnh cũ của nhà mình","2","5"
"Chất lượng thì ổn Nhưng ngăn mát đựng được rất ít đồ Chắc phải trả lại chịu mất phí đổi mua tủ to hơn","2","4"
"Dùng cũg ok nhưng vẫn hơi nhỏ","1","3"
