"data","label","num_stars"
"Mới sử dụng tạm thời thấy ok","2","5"
"Tủ lạnh dùng bình thường, ổn","2","4"
"Tủ lạnh dùng tốt, lạnh, từ lúc mua đến giờ chưa có vấn đề gì","2","5"
"sản phẩm sử dụng tốt","2","5"
"Tủ làm lạnh nhanh, bảo quản tốt, dùng tốt","2","5"
"Sản tốt, nói chung sử dụng được","2","4"
"Máy hoạt động bình thường, tốt, dịch vụ ĐMX khá hài lòng","2","4"
"Sản phẩm dùng tốt, êm làm lạnh nhanh","2","4"
"Dùng ổn, vừa ý, tủ làm lạnh nhanh, bảo quản thực phẩm lâu","2","4"
"Nói chung thì dùng ổn.","2","5"
"máy tốt, rất ok","2","5"
"Thấy sử dụng cũng được phải đợi thêm 1 thời gian nữa để xem chất lượng thế nào","2","4"
"tủ lạnh tốt, bên trong tủ rộng đủ gia đình sử dụng","1","3"
"sản phẩm tốt, ok","2","5"
"Tủ dùng tốt, bảo quản thực phẩm lâu","2","5"
"Tủ lạnh sử dụng được ok, chưa thấy vấn đề gì cả","2","5"
"sẽ giới thiệu sản phẩm cho bạn bè, người thân do thiết kế đẹp, nhẹ điện, để được đồ nhiều","2","4"
"Dùng thấy ổn, giá cả hợp lý bảo quản thực phẩm ok","2","4"
"Mới mua chưa sử dụng nên chưa biết chất lượng thế nào nhưng trước mắt thì thấy ok","2","5"
