"data","label","num_stars"
"Liên hệ giải quyết cho khách","0","2"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh xài được","2","5"
"tủ lạnh được","2","4"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng được","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh làm đá nhanh","2","5"
"tủ lạnh dùng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","4"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","4"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh dùng được, tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh dùng ưng ý","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh rất tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","4"
"tủ lạnh xài tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh xài ok","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh dùng tốt","2","5"
"tủ lạnh sử dụng tốt","2","4"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh dùng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","4"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh xài được","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng ổn","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh rất ok","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh xài tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh xài êm","2","5"
"tủ lạnh xài bảo quản thực phẩm tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng làm lạnh tốt","2","5"
"tủ lạnh xài tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh ngăn mát bảo quản thực phẩm tốt","2","5"
"tủ lạnh xài ok","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh xài ok","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh xài rất tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt lắm","2","5"
"tủ lạnh tốt","2","5"
"tủ bị vênh cửa, gọi bảo hành xuống sửa ko dc bảo là nằm trong tiêu chuẩn cho phép. bỏ 1 đống tiền mua lượm lấy cục tức, trước lúc mua bảo lỗi sẽ đổi trả nhưng mua về có lỗi thì báo trong tiêu chuẩn. làm ăn đéo uy tín","0","1"
"Tủ lạnh bị vênh cửa, bị đọng nước trên chỗ chốt khoá, roang cao su bị hở, mình để đèn pin vào trong để Test thì mới phát hiện tủ bị hở cả trên cả dưới trong ngăn mát. Thật thất vọng . Gọi điện báo thì cứ hẹn tới hẹn lui","0","1"
"Tủ dùng tốt, êm. Cần cắm điện hđ không có đồ trong tủ 12g như catalog hd, mình chỉ chạy tủ không có 4g lại có nhiều đồ nên 1.5 ngày đầu đá ko đông khá hoảng, nhưng hiện nay mọi thứ đều tốt. Nhược điểm cửa tủ kính bám vân tay, bản lề cửa tủ nếu soi mói thì nhìn hơi sida. Các a ktv rất nhiệt tình và tận tâm.","2","5"
"Mình mới dùng được 1 ngày, sau khi cắm điện thấy tủ chạy rất êm, làm lạnh nhanh. Đánh giá Nhân viên tiếp thị và lắp đặt rất chuyên nghiệp. Trộm vía nhà mình mua rất nhiều sản phẩm ở ĐMX chưa bao giờ bị lỗi, nên hi vọng là tủ lạnh mua lần này cũng vậy. Sau 1 tháng mình sẽ quay lại đánh giá tiếp","2","5"
"Điện máy xanh giờ làm ăn rất vô trách nhiệm giao hàng vừa ra khỏi nhà 10 phút phát hiện ra nỗi 2 cánh tủ vênh nhau gọi cho nhân viên lắp đặt quay lại kiểm tra ĐẨY TRÁCH NHIỆM LUÔN yêu cầu khách hàng gọi bảo hành . tủ vừa mua chưa cắm điện đã bắt gọi bảo hành . Làm ăn như thế mà đòi tồn tại","0","1"
"Tủ lạnh Sài rất tốt","2","5"
"tủ đẹp xài được vài bữa thấy tốt mn nên mua","2","4"
"Tủ lạnh đẹp. Làm lạnh tốt . Chạy êm ái 10 điểm","2","5"
