"data","label","num_stars"
"Tủ lạnh bị đổ mồ hôi bên trong là sao ạ","2","4"
"Máy có lúc chạy kêu như máy gạo","0","2"
"Tủ lạnh mua về ghim điện được 1 tuần. Và mình không có ở nhà nên chỉ để nước vô ngăn đông. Tủ lạnh kêu tiếng rất to và ồn như thế này","0","2"
"Mua máy từ 29/7 mà đến nay chưa được sử dụng do có lỗi","0","1"
"Chạy phát ra tiếng ồn lớn. Mong khắc phục. Thất vọng","1","3"
"Tủ kêu to khi hoạt động, mong được ĐMX hỗ trợ","1","3"
"Tủ cứ khoảng 30p chạy gầm gừ ồn khó chịu","2","4"
"Máy mới gắn điện tiếng kêu ù liên tục.giống kiểu chạy gồng mình.chưa ưng ý chỗ độ ồn","1","3"
"Tủ đẹp, sang trọng. Máy chạy êm. Rất hài lòng.","2","5"
"tủ lạnh xài êm, tiết kiệm điện","2","5"
"tủ lạnh sử dụng tốt lắm","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng êm","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","4"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","4"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh dùng tốt","2","5"
"tủ lạnh dùng tốt","2","4"
"tủ lạnh rất ok","2","5"
"tủ lạnh dùng tốt","2","5"
"tủ lạnh dùng tốt","2","5"
"tủ lạnh xài ok","2","5"
"tủ lạnh chất lượng tốt","2","5"
"tủ lạnh rất ok","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh rất ok","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh rất ok","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh xài ok lắm","2","5"
"tủ lạnh tiết kiệm điện","2","5"
"tủ lạnh dùng êm","2","5"
"tủ lạnh chạy êm","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng ok","2","4"
"tủ lạnh xài tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","4"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh tốt","2","4"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh tốt","2","5"
"Tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh dùng tốt","2","5"
"tủ lạnh tốtc","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","4"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"Tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh hoạt động tốt","2","5"
"tủ lạnh tốt","2","5"
"Tủ lạnh tốt","2","5"
"tủ lạnh rất ok","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","4"
"Tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng ok","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh sử dụng tốt, ngăn đông lạnh","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt","2","5"
"tủ lạnh êm, tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","5"
"tủ lạnh sử dụng tốt","2","4"
"tủ lạnh tốt","2","5"
"tủ lạnh tốt lắm, vừa ý ít hao điện","2","5"
"tủ lạnh sử dụng tốt","2","5"
