"data","label","num_stars"
"Mẫu thiết kế đẹp, máy chạy êm, không gian chứa đồ rộng,rất hài lòng.","2","5"
"Dùng hơn 2 tuần. Tủ sử dụng tốt","2","5"
"Mới sử dụng 2 tuần nhưng tủ sử sụng tốt.","2","4"
"Tủ lạnh Panasonic đẹp tốt chạy êm không nghe tiếng làm đá nhanh lớp sơn đẹp, sang trọng không gian bên trong hiện đại đèn led rất đẹp nhiệt độ lạnh sâu nhân viên dmx nhiệt tình Okie","2","5"
"may chay em tiet kiem dien noi chung la hai long","2","5"
"Tủ hoạt động tốt, nhân viên tư vấn nhiệt tình. Sẽ giới thiệu thêm cho nhiều người biết.","2","5"
"Sử dụng tốt ạ","2","5"
"Sử dụng tốt.hài lòng về sản phẩm","2","5"
"Hàng dùng tốt tiện lợi","2","5"
"Sử dụng tốt","2","5"
"Tủ lạnh xài rất ok , lạnh .mẫu mã đẹp mắt . Sang trọng . Máy làm lạnh tốt","2","5"
"Tủ mới mua máy chạy êm rất hài lòng","2","5"
"Chat lương tôt nhan vien Nap đat nhiêt tinh","2","5"
"Tủ lạnh dùng ổn. Rất thích ngăn đông mềm.","2","5"
"Sử dụng rất tốt","2","5"
"Chất lượng sản phẩm rất tốt tôi rất hài lòng","2","5"
"Tủ chạy êm ko có tiếng ồn","2","5"
"Dùng rất tốt","2","5"
"Máy chạy êm, bảo quản đồ tốt, làm đá tự động tiện lợi, nói chung mình xài được tháng nay thấy rất ưng ý.","2","5"
"Từ chạy êm và tốt","2","5"
"Tủ lạnh làm mát tốt,êm,khử mùi tốt,làm đá tự động on","2","5"
"Sản phẩm xài OK, không đóng tuyết và có ngân làm đá tự động rất tiện lợi","2","5"
"Tủ lạnh Panasonic Inverter 300 lít NRBV331WGKV sử dụng rất tốt, tiết kiệm điện","2","5"
"Sản phẩm chất lượng, đi đầu về công nghệ","2","5"
"Tôi sẽ giới thiệu sản phẩm cho bạn bè, người thân","2","5"
"Tủ lạnh dùng rất tuyệt vời, phù hợp với nhu cầu gia đình mình","2","5"
"Tủ đẹp, sử dụng tiện lợi đặc biệt là chế độ tự làm đã và ngăn đông mềm .","2","5"
"Rất hài lòng với sản phẩm tốt","2","5"
"Thiết kế Đẹp, hiện đại và tiện sử dụng Công năng Từ Các chức năng cơ bản đến ngăn đông mềm, làm đá tự động, vượt xa mong đợi của tôi","2","5"
"Nhiều chức năng tiện dụng","2","5"
"Máy chạy êm, khử mùi rất tốt, có tự làm đá nên rất tiện, so chất lượng, xài rất thich","2","5"
"Dùng rất chi là tốt","2","5"
"Máy hoạt động tốt, chạy êm, làm lạnh nhanh","2","5"
"Mình mua tủ đc 10 ngày thấy mặt tủ có nước đọng lại kiểu toát mồ hôi. Quan sát 23 hôm nay thấy bị nhiều hơn","1","3"
"Cũng ổn nhưng chưa biết tiết kiệm hay ko","2","4"
"San phẩm tốt","2","5"
