"data","label","num_stars"
"Tôi mua tủ lạnh này được hơn 1 năm mà nay đã lăn ra hỏng. Gọi điện vào số bảo hành của đmx mà không được. yêu cầu nhân viên kỹ thuật đmx liên hệ đến bảo hành cho tôi.","1","3"
"Màu đẹp gương sáng máy chạy rất êm tôi sẽ giới thiệu cho bạn bè","2","5"
"Máy đẹp,chạy rất êm","2","5"
"Rất hài lòng","2","5"
"Tủ đẹp mặt gương sáng soi gương dc luôn .Công nghệ nanoex của pana khử mùi tốt lắm, tủ lạnh thấy êm k ồnMua đợt sale mạnh của đìx thấy đáng tiền lắm","2","5"
"Kiểu dáng đẹp, để đồ thoải mái, ngăn làm đá đông đá nhah, máy chạy khá êm khi đóng cửa không kính có phát tính hiệu để phát hiện, khá hài lòng với sản phẩm.","2","5"
"kiểu dáng màu sắc phú hợp với ngôi nhàlàm lạnh nhanh, đặc biệt có ngăn đông mềm đến 7 ngày","2","5"
"Tủ đẹp, sang trọng, máy chạy êm, làm đá nhanh, chiều cao hơi cao so với người dưới 1m6, mặt kính gương soi được, sau 3 tháng sử dụng thấy Ok.","2","5"
"Tủ rất đẹp nhìn rất sang trọng, săn sale livestream và các bạn hỗ trợ chốt đơn rất nhanh","2","5"
"Thương hiệu Panasonic uy tín nên tin tưởng sử dụng. Kiểu dáng, màu sắc thật sự quá đẹp. Tủ làm lạnh nhanh, đông đá mau và khử mùi hiệu quả nữa. Tôi cho 5 sao","2","5"
"Kiểu dáng hiện đại. Hiệu suất làm lạnh tốt","2","5"
"Cách đây gần 4thg mình đã mua 1 cái. Xài rất ổn. Giờ muốn mua thêm 1 cái nữa thì giá ko đc như lúc đó nữa. Nên thôi luôn","2","5"
"Mình mua về nhà mới, tính mua 4 cánh nhưng để được chức năng và mẫu mới đẹp lại giá tốt thì mẫu này là lựa chọn số 1. Thực sự giá tốt bất ngờ","2","5"
"Tủ kiểu dáng đẹp,sang trọng,phù hợp không gian bếp,làm lạnh và bảo quản thực phẩm tốt,phù hộ túi tiền,công năng sử dụng hoàn hảo","2","5"
"Tủ lạnh màu sắc đẹp, giá hợp lý, tiết kiệm điện mỗi tháng giảm 200k/tháng từ khi sử dụng, có gương để soi cả nhà ai cũng thích, đồ ăn tươi, nhân viên nhiệt tình vui vẻ, giao hàng nhanh gọn lẹ. 10 điểm tuyệt vời","2","5"
"1. Chất lượng sản phẩm Thương hiệu Panasonic rất tốt, bền, 2. Thiết kế và ngoại hình Kiểu dáng sang trọng, không gian bên trong rộng rãi, màu sắc đẹp thích nhất mặt kính dễ lau chùi vệ sinh và phù hợp với không gian nội thất mọi nhà.3. Hiệu suất và tính năng Hiệu quả làm lạnh nhanh khử mùi tốt và các tính năng đặc biệt ngăn đông mềm rất tiện ích, và khay làm đá thông minh tiện lợi, 4. Dễ sử dụng Trải nghiệm sử dụng dễ dàng, với ngăn mát phía trên ngăn đông bên dưới rất tiện lợi.5. Giá trị so với chi phí Giá trị tương đối tốt, phù hợp với kinh tế của người dân, giá không quá cao, nhưng góp ý thêm không nên để giá cao rồi lại có chương trình giảm giá mà nên để giá thật, vì di xem thấy giá cao nhiều người k có ý định mua khi so sánh với các dòng tủ khác trên mạng thấy cao hơn.","2","5"
"Mình xài hơn 3 tháng rồi, rất đáng mua nhéTủ làm lạnh nhanh, hoạt động êm ái, đầy đủ tính năng, dễ sử dụng Đặc biệt ngoại hình mặt kính sang trọng, nổi bật, có thể soi gương được luônHãng Panasonic nên rất an tâm","2","5"
"Tủ đẹp mặt gương sáng soi gương dc luôn .Công nghệ nanoex của pana khử mùi tốt lắm, tủ lạnh thấy êm k ồn Mua đợt sale mạnh của đmx thấy đáng tiền lắm","2","5"
"Rất ưng tủ này. Ngăn rộng tha hồ bỏ đồ. Mặt tủ tráng gương rất tiện luôn . giá thành phù hợp với gd..","2","5"
"Tu lạnh màu sắc đẹp ít tốn điện và bao quan thức ăn tốt","2","5"
