"data","label","num_stars"
"Tủ lạnh giữ sp tươi và dễ sử dụng, thiết kế đẹp mắt xứng đáng tiền","2","5"
"Máy chạy êm, làm lạnh nhanh, chữ được đồ ăn cho cả tuần, ngăn đông mềm tiện lợi, nói chung hài lòng","2","5"
"Tủ lạnh dùng rất tốt, gia đình tôi rất tin dùng thương hiệu Panasonic cả cho tivi và điều hòa, chúc Panasonic luôn phát a triển tốt với chất lượng của mình","2","5"
"Mua dùng được 3 tháng rồi mình rất hài lòng, tủ êm k rung k kiêu, sp tốt","2","5"
"Tủ đẹp, mặt gương nhìn sang xịn mịn. Lạnh khá nhanh và sâu. Tủ chạy êm ko ồn nhiều. Tạm thời cảm nhận vậy còn dùng lâu mới biết được có lỗi hay ko, độ bền ra sao.","2","5"
"Nhìn chung hiện tại OK , vì mới sử dụng nên chưa rõ lắm","2","4"
"Sản phẩm tốt","2","5"
"Mình đã tìm hiểu rất nhiều loại tủ ngăn đá dưới và quyết định chọn tủ này.Tủ mẫu mới nên cánh tủ gương rất đẹp và sang.Tủ chạy tốt. Dùng rất tiện lợi.","2","5"
"Máy chạy êm, thiết kế đẹp, có ngăn đông mềm rất thuận tiện, dịch vụ tốt, giá cả hợp lý.","2","5"
"Rất hài lòng","2","5"
"Thiết kế đẹp,làm lạnh tốt,tiết kiệm điện","2","5"
"Máy chạy êm, thiết kế đẹp, giá hợp lí","2","5"
"Minh sử dụng được 2 tuần thấy máy rất chạy rất êm thích nhất ngăn mềm bảo quản thực phẩm tươi sống ,làm đá nhanh,nhà m trước nay chỉ dùng Panasonic nên rất yên tâm,điện máy xanh phục vụ tốt m mau rất nhiều sản phẩn ở đây xử lí đơn hàng nhanh","2","5"
"Máy chạy êm, tiết kiệm điện và đẹp","2","5"
"Tủ lạnh Panasonic Inverter 255 lít NRBV281BGMV mẫu mã thiết kế hiện đại, đẹp.","2","5"
"Thiết kế đẹp, chất lượng ổn định","2","5"
"Máy chạy êm, thiết kế đẹp, có ngăn đông mềm rất thuận tiện, dịch vụ tốt, giá cả hợp lý.","2","5"
"Máy êm, dùng tốt","2","5"
"Tủ pana khỏi nói rồi, tốt, đắt sắt ra miếng nhé ae, giá ko sale ma minh vẫn quyết định mua thì phải biết là giữ giá ntn nhé","2","5"
"máy dùng tốt nên mua","2","5"
"Máy chạy êm, , ko ồn, ko mùi rất hài lòng, a sẽ giới thiệu đến với bạn bè về những sp dịch vụ tốt của cty","2","5"
"Sau 1 tháng sử dụng tủ lạnh chạy ổn định . Rất tốt","2","5"
"Sp dùng tốt","2","5"
"Kiểu dáng sang trọng, bảo quản thực phẩm tươi mới, sản phẩm rất tốt","2","5"
"dùng rất tốt,gia đình xài rất hài lòng","2","5"
"Đã dùng và không có gì để chê","2","5"
"Sài êm lắm nha","2","5"
"Sài khá tốt...đồ ăn tươi ngon","2","5"
"Tu lạnh xài rất ok..","2","5"
"Tủ lạnh xài ổn nhưng nhân viên lắp đặt ẩu quá… ko đưa dây nối tiếp đất xuống và cũng không nói cho mình biết luôn..hơi thất vọng","2","4"
"Không có gì thêm","2","5"
