"data","label","num_stars"
"Tu em tu đẹp tiet kiem dien","2","5"
"Tủ lạnh hiện đại dễ lắp đặtLàm lạnh nhanh và sâuPhù hợp với không gian sốngPhù hợp với giá thànhTrải nghiệm dùng sản phẩm rất ổn","2","5"
"Tủ lạnh hiện đại dễ lắp đặtLàm lạnh nhanh và sâuPhù hợp với không gian sốngPhù hợp với giá thànhTrải nghiệm dùng sản phẩm rất ổn","2","5"
"Sản phẩm khaq tốt","2","5"
"Tôi sẽ giới thiệu sản phẩm cho bạn bè, người thân","2","5"
"Tủ mới mua bị đông tuyết mà panasonic kết luận bình thường 0 giải quyết cho khách hàng. Quá thất vọng.","0","1"
"Sản phẩm tốt, mới sử 3 tháng nhưng rất OK, máy chạy êm, tiết kiệm điện","2","5"
"tủ đẹp sang trọng, giữ lạnh, bảo quản thức ăn tốt.","2","5"
"Sản phẩm rất bền , thiết kế đẹp , nhiều tính năng hữu ích","2","5"
"Máy tốt , màu đẹp và sang trọng ,rộng rãi làm lạnh nhanh và giử thực phẩm rất tốt ạ","2","5"
