"data","label","num_stars"
"Mua sp 31/3 đến SD đc mấy ngày thì máy đóng tuyết quá trời , đến 4/7 thì máy nhấp nháy đèn ngăn mát . Báo lên dmx kêu rút điện ra cấm lại xong, giờ ngàn mát ko mát .kêu thơ xuong hen 12h ngày hôm sau , xuống coi cái báo về hãng hẹn 3 ngày sau , SP nay rất tệ chất lượng cực kì tệ .mn ng can nhắc trc khi mua nhé . Trái nghiệm thật tệ vs ĐMX .....","0","1"
"Tủ lạnh mua hôm 16. Chưa gì đã k thấy lạnh. Gọi bảo hành. Thì đến kiểm tra bảo tủ chưa kích hoạt bảo hành. Nên k bào hành cho. K hiểu làm ăn kiểu gì. Đổi 1 đổi 1 mà bh k cho đổi. 7 ngày rồi vẫn im lặng từ điện máy xanh. Cần bên điện máy xanh xử lý","0","1"
"Tủ xài mới 01 tháng bị lỗi ĐÓNG TUYẾT, bốc hơi trắng mù mịt, cánh tủ hít chặt Ko mở đc nhé. Qua chán, thua cái Aqua 5tr","2","5"
"Sử dụng hơn 1 tháng mới đánh giá + Máy chạy êm công nghệ inveter theo công nghệ mới, mau lạnh, ngăn đá không đóng tuyết. Đến thời điểm này máy hoạt động tốt, chưa có dấu hiệu trục trặc gì. Đánh dòng sản phẩm của Samsung trước giờ là vận hành êm. + Khi mua nhân viên tư vấn khá chu đáo và nhiệt tình. + Nhận viên giao hàng khá chu đáo, nhưng so với trước đây lần mua hàng gần đây gần 2 năm trước thì cung cách phục vụ giảm. Khâu này đề nghị phía DN nên rà soát lại khâu dịch vụ chăm sóc khách hàng. Đừng vì khó khăn trong thời điểm này mà giảm bớt các chi phí quản lý, chi phí ở khâu dịch vụ chăm sóc khách hàng mà làm giảm hình ảnh đã nổ lực xây dựng trong những năm tháng qua.","2","4"
"Dùng ít ngày nhưng thấy khá ổn","2","5"
"Như bị hấp hơi nước thì phải,, theo dõi ít hôm như thế nào","2","4"
"Đã dùng khoảng 1 tháng thấy rất OK","2","5"
"Tốt, êm, lạnh nhanh","2","5"
"Tôi mua vào 13012024. Đến nay sài được 1 tuần và điểm thích nhất là máy không bị nóng 2 bên, tỏa nhiệt rất ít ở phía sau tỏa vào tường khoảng 20cm2, máy chạy rất êm. Phòng trọ nhỏ nên ưu tiên nhất là 2 vấn đề này. Làm lạnh bên trong thì đã mua hãng Samsung rồi thì miễn bàn.","2","5"
"Mua về 2 tuần là hỏng, dịch vụ hỗ trợ bảo hành thì quá kém và vô trách nhiệm","0","1"
"Tôi mua nhày 08/10/23Đến nay 21/12/23Ngăn đông thì đống Tuyết cứng luôn, ngăn mát thì k lạnh, cứ chóp đèn ngăn mát liên tục, và báo tính hiệu bằng âm thanh, điện phía ĐMX thì đùng đẩy qua phía bảo trì samsung, hôm này nữa là gần 1 tuần phía nó thì làm hành 9 mình cũng sắp xếp, nhưng hẹn mình 10h trưa thì mất m.ẹ ngày mình đi làm luôn, sản phẩm KÉM CHẤT LƯỢNG phía ĐMX và bảo trì k tận tâm với khách hàng.","0","1"
"Tủ mua về ngày hôm sau lỗi đóng tuyết, điện máy đùn đẩy trách nhiệm cho hãng, ko đổi trả, đến nay 13 ngày rồi ko giải quyết cho khác hàng. Thiếu trách nhiệm, lừa dối khách. Tủ kín tuyết vẫn kêu ko phải lỗi. Tôi hỏi đây ko lỗi thì là gì","0","1"
"máy dùng ngon ok","2","5"
"Bi lanh qua rau bi dong bang","2","5"
"Tủ sử dụng tốt, phù hợp, nhưng nhiệt độ tủ hơi lạnh quá","2","4"
"dùng êm, tiết kiệm điện","2","5"
"Tủ lạnh dùng bình thường, bảo quản thực phẩm và làm lạnh ổn","2","5"
"ngăn đồng dùng không tốt","2","4"
"sản phẩm tốt, tủ hơi lạnh, không biết điều chỉnh độ như nào","2","4"
"Tủ dùng không được mát so với những tủ khác, tủ làm lạnh chậm","1","3"
"Sản phẩm tốt","2","5"
"sp tốt, ngăn mềm tiện lợi","2","5"
"Làm lạnh nhanh, ngăn đông mềm dễ dùng, tốt","2","4"
"sản phẩm mới dùng ổn, tốt, chưa có vấn đề gì, ngăn đông mềm ok","2","4"
"Tủ dùng bảo quản thực phẩm lâu, dùng ổn","2","4"
"sp tốt, êm, cấp ngăn đông mềm tiện lợi","2","5"
"Tủ dùng ổn, làm lạnh nhanh, bảo quản thực phẩm ổn","2","5"
"ở ngăn mát tay tay cầm có 2 lớp zon, bên trong không dán hết . còn lại sản phẩm rất tốt, ok","2","5"
"Tủ dùng tạm ổn không tốt lắm, bị đóng tuyết hiện nhân viên đã khắc phục","1","3"
"Tủ mới, dễ dùng, bảo quản tốt","2","4"
"sp chạy tốt, ok","2","5"
"Tủ dùng ổn, bảo quản thực phẩm ok","2","4"
"sản phẩm rất tốt, ngăn đông mềm linh hoạt","2","5"
"Tủ sài tốt, ngon","2","5"
"ngăn đông dùng chưa tốt lắm","2","4"
"Tủ dùng tốt, ổn","2","4"
"sản phẩm tốt, dùng rất ok","2","5"
