"data","label","num_stars"
"Êm. Đỡ tốn điện bh dài hạn","2","5"
"Mình mua mới 2 ngày sao tủ cứ bị mồ hôi ntn là bị gì vậy","1","3"
"Mua cũng nhiều hàng bên Điện Máy Xanh mà có lẽ đây là sản phẩm tệ nhất mình từng mua.. sau 1 năm sử dụng. Máy nén kêu như máy cày... Mong Điện Máy Xanh sớm liên lạc để giải quyết.","0","1"
"Tủ lạnh samsung inverter 307 lít","2","4"
"Khi tủ lạnh hoạt động ổn định thì tính năng làm đá tự động làm nhanh hơn. Lấy nước bên ngoài rất tiện lợi. May mắn khi mua tủ trưng bày nhưng rất ít vết trầy mà còn được bảo hành chính hãng.","2","5"
"Máy chạy êm, làm đá tự động tiện lợi, phù hợp nhu cầu","2","5"
"Độ lạnh ngăn mát chưa được sâu","1","3"
"nhân viên phục vụ nhiệt tình, chu đấo","2","5"
"Mua máy về chưa dùng được bị hỏng . Nhưng đmx k còn hàng bắt đỏi sang máy khác mất 10% phí . Trong khi mới giao hàng cắm điện nhưng k đông đá . Ngày sau gọi đổi trả k được","0","1"
"Đã mua lần 2 rồi á mọi người. Tủ lạnh xài êm lắm. Tự làm đá nhiều uống ko hết luôn ý 🥰","2","5"
"Vòi nước bên ngòi bị hỏng cho nước vào bị nhỏ xuống yêu cầu đổi cái khác nhưng chưa thấy đổi.","0","2"
"Dùng ok mn ạ. Mà có cái mặt trước bằng thép k sạch đc như mặt kính","2","5"
"Hiện tại thấy ổn","2","4"
"Rất tuyệt vời","2","4"
"Hài lòng , đang sài tạm ổn","2","4"
"Làm lạnh tốt, rộng, giữ đồ tươi","2","5"
"Tôi mua tủ lạnh sam sung inverter 307l . Chất lượng khá tốt và có nhiều tính năng hữu ích và tiện lích khi sử dụng . Cám ơnn đội ngũ nhân viên tư vấn và kỹ thuật viên của công ty sam sung.","2","4"
"Rất tuyệt vời","2","5"
"Chức năng đông mềm k có tác dụng còn lại ổn","0","2"
"Tủ chaỵ êm, làm đá tự động rất thích. Uống nước lạnh ko cần mở tủ. Không gian rộng rãi tha hồ để đồ. Có ngăn đông mềm giữ thực phẩm lạnh sâu hơn mà ko đông đá, tiện lợi cho việc chế biến ko cần rã đông. Giá vừa phải dễ mua. Lại còn được trả góp ko lãi suất.","2","5"
"SP có tích hợp đầy đủ các tính năng cần thiết như ngăn cấp đông mềm, làm đá tự động, lấy nước ở ngoài và đặc biệt là thiết ké ngăn đá dưới giúp cho người sd tiện lợi hơn, mình rất ưng sp","2","5"
"sản phẩm hiện tại không có gì do còn mới, hiện tại xài tốt, thích vẻ ngoài, nhiệt độ tốt, có làm đá tự động, bên trong tiện trữ đồ, bảo quản thực phẩm tốt, làm đá nhanh, chạy êm","2","5"
"sản phẩm cũng được, vẻ ngoài được, nhưng tủ dính nước vô nó bị bong, bên trong tiện trữ đồ, bảo quản tốt, làm đá nhanh, hoạt động êm","1","3"
"sản phẩm bình thường, thích vẻ ngoài được, bên trong tủ tiện trữ đồ, bảo quản thực phẩm oke, làm đá được, hoạt động êm","2","4"
"sản phẩm cũng được, thích vẻ ngoài cũng được, bên trong tủ phần ngăn mát đựng được ít đồ, bảo quản thực phẩm tốt, làm đá cũng được, nhanh, hoạt động cũng êm nhưng cũng có lúc kêu","2","4"
"tủ tốt, thích vẻ ngoài, thiết kế trong tủ tiện trữ đồ, làm đá nhanh, hoạt động êm, bảo quản thực phẩm tốt","2","5"
