"data","label","num_stars"
"Hệ thống giá hơn 19tr, ra cửa hàng mua tiền mặt hơn 21tr, nhân viên không tư vấn giá khi mua online","0","2"
"Sản phẩm ngoại trừ việc thiết kế cánh cửa hơi dỡ ra thì chất lượng cũng OK. Phù hợp giá tiền dưới 15tr. Chẳng hiểu sao ĐXM lúc bán giá thấp lúc giá lại cao.","2","4"
"Sản phẩm bị lỗi tươm nước, samsung và điện máy xanh bảo do độ ẩm. Nhà cách 3km mà đặt lịch bảo trì 3 ngày mới xuống.","0","1"
"Tủ bị rỉ nước ở vòi phía ngoài liên hệ xử lý hơn 10 bữa vẫn ko xong, hãng xuống cự tay đôi với khách, đổ thừa yếu tố này kia. Hẹn bảo hành thì 21/9 hẹn 23/9 xong ko xuống hẹn tiếp 26/9 vẫn ko xử lý hẹn tiếp 28/9 làm việc ko đúng cam kết với khách, trong khi có video quay lại vòi bị rỉ nước . Sau bán hàng quá tệ","0","1"
"Sản phẩm tốt, rất hài lòng","2","4"
"S khoá r bé vẫn mở ra đc","1","3"
"Hơi khó giữa chuyển khoá và mở khoá tủ. Sản phẩm khá tốt. Tư vấn hàng toàn nói ưu điểm. Không có sự so sánh giữa các hàng cùng phân khúc. Đúng là mua hàng cần am hiểu. Nhưng nếu có thể tư vấn và so sánh sẽ tốt hơn. Quan trọng không phải là bán cho được hàng. Mà là khi mua hàng khách hàng luôn nghĩ tới mình. Lúc chưa mua thì tư vấn khá nhiệt tình. Lúc mua rồi chat ít khi trả lời.","1","3"
"Phù hợp với mọi gia đình","2","4"
"mới dùng cũng thấy ổn còn về sau thì k biết đk","2","4"
"Giá giảm linh tinh.vừa hôm trước mua 18tr hôm sau đã giảm 17tr.","1","3"
"mới dùng nên chưa hiểu được hết","2","4"
"Sau 5 tháng sd. Sản phẩm tốt. K có mùi đồ ăn khi để trái cây như mít","2","5"
"Thiết kế đẹp và dùng rất tốt","2","5"
"Sài ok đó nhưng thân máy hơi nóng","2","4"
"Cách chỉnh nhiệt độ cho tủ lạnh thấy phía ngoài hiện 4 độ là được chưa.sao bình nhựa chứa nước phía trong không có chữ nhựa không độc hại như hàng trưng bày","2","5"
"Hiện tại dùng tạm ổn","1","3"
"Rất tuyệt vời","2","5"
"Dùng rất tốt","2","5"
"Sản phẩm sài tốt","2","5"
"Tủ lạnh bị nóng. Ngày nào cũng nóng dmx không xử lý được cũng không chịu đổi 1 trong vòng 1 tháng đầu","0","2"
"Mình vọng vì trường hợp giao sản phẩm này. Lần 1 sai mẫu lần 2 sai màu.","1","3"
"Tủ lạnh rất tốt","2","5"
"Hiện giờ chạy tốt và ổn định","1","3"
"Giao hàng ko hướng dẫn sử dụng","1","3"
"Bên ngoài nhìn sang hơn","2","4"
"Tủ dùng êm, tiện dụng và thoải mái. Đã giới thiệu đến 500 anh em, bạn bè :))","2","5"
"Dat mau den ma jao mau xam","0","2"
"Hơi thất vọng về sản phẩm 1 tí","1","3"
"Chính sách bao hành chưa được chu đáo. Gọi điện máy xanh thì thợ đến bao? Cái này phải cho thợ kĩ thuật cty sam sung đến. Nhưng chỉ gọi điện nói này kia.ko thực tế đến kiểm tra. Chán!","1","3"
"Sản phẩm tốt .mẫu mã đẹp","2","5"
"Sản phẩm tốt, chỉ có mặt lưng hơi nóng thôi.","2","5"
"Sản phẩm dùng rất ok","2","5"
"Mới dùng rất OK còn sau ko biết","2","4"
"Tủ lạnh chạy êm. Đảm bảo","2","4"
"Sản phẩm tốt","2","4"
