"data","label","num_stars"
"Mới mua chưa đc tháng, dùng nước đọng vòng quanh tủ nhue 1 cốc nước lạnh để ngoài trời, đây là mùa hè chứ mùa nồm chắc vắt ra nước","0","1"
"Thời gian sử dụng Dưới 06 tháng, vẫn còn trong thời hạn bảo hành.Lỗi sản phẩm Lồng máy bị vỡ rỉ nước phía ngoài do lỗi của nhà sản xuất không phải lỗi người dùng.Tình trạng hiện tại Hãng và Điện máy Xanh thông báo không có linh kiện để thay thế, dẫn đến việc không xử lý được sự cố.Vấn đề phát sinh Cách xử lý thiếu chuyên nghiệp, chưa đảm bảo quyền lợi chính đáng của khách hàng trong thời gian bảo hành.Đề nghị Quý công ty thực hiện đúng cam kết bảo hành, cụ thể1.Sửa chữa hoặc thay thế linh kiện đúng quy định.2.Nếu không có linh kiện, cần đưa ra phương án hỗ trợ hợp lý đổi sản phẩm mới hoặc hoàn tiền.3.Đảm bảo thời gian xử lý nhanh chóng, minh bạch.","0","1"
"Tu lanh bi k lanh hoai, mua tu moi ma cu sua hoai khach hang ai chap nhan dc. Neu sua k dc ben dmx dẹo tu moi cho khach hang di.","0","1"
"Tủ lạnh rất tệ. Ngăn mát thì đổ mồ hôi. Ngăn đông đóng tuyết. Báo bảo hành thì nói bình thường. Đọc bình luận tưởng một vài tổ bị. Hóa ra đa số. Bỏ số tiền lớn ra mua thấy thất vọng tràn trề.","0","2"
"tệ từ cái tủ. tới cách phản hồi","0","1"
"Tủ ngăn đông đóng tuyết gọi bảo hành rất tệ, mình đọc bình luận rồi nhưng nghỉ hok lẽ tủ nào cũng bị lỗi nhưng thất vọng nha mọi người,mua dòng này đợi bảo hành hết luôn thanh xuân ,mua từ tháng 10/2024 tới nay gọi bảo hành mãi vẫn không được xử lý tuần nào cũng gọi hơn gọi đò .","0","1"
"Mặt trước của cả ngăn mát lẫn ngăn đông và mặt bên ngăn đông thường xuyên bị đọng nước khá nhiều,","1","3"
"Mua ngày 06.02 đến ngày 22.02 thì hệ thống đèn nhấp nháy 2 bên, đèn báo nhiệt độ nhảy lên 71 độ, tủ đông tủ mát không còn lạnh, kêu bíp bíp liên tục, thợ sửa chữa xuống báo kết luận máy lỗi, đổi máy mới. Thật sự dòng này tệ, không khuyến khích mọi người mua","0","1"
"Đánh giá trước của tôi chưa được chính xác, sau khi kiểm tra thì do điện áp ở nhà không ổn định nên tủ lạnh tự ngắt để bảo vệ máy. Sau khi gắn thêm ổn áp thì không còn vấn đề.","2","5"
"Mua nhầm tủ lạnh lỗi Ngăn đông đóng tuyết, tạo thạch nhủ khắp tủ lạnh Ngăn mát thì đọng nước, nhiễu xuống cả đáy tủ Mặt lưng ngăn đông, phía giáp tường đọng sương lạnh Nửa đêm ra phát hiện tủ lạnh kêu bíp bíp, đèn ngăn mát chớp chớp chập chờn, nhiệt độ ngăn mát tự động tăng lên liên tục đến 20 độMua tủ lạnh từ ngày 07/10/25, ngày 21/10 gọi cho điện máy xanh. Có cho người xuống kiểm tra qua loa. Nhắn samsung xuống kiểm lại kết luận tủ bình thường.","0","1"
