"data","label","num_stars"
"Chi hỏi các bạn đã và đang sử dụng tu lạnh này có bị đóng tuyết như nhà mình không ạ. Tu ngày đầu lấy tu về đã bị vậy mà hãng trả lời là tủ lạnh bình thường không bị gì ạ","0","2"
"Cho hỏi tại sao ngăn làm đá tự động đá không tự rơi đá vậy","1","3"
"Mua từ ngày 12/11 đến ngày 24/11/2023 thì tử lạnh bât đầu kêu hú rất to cả nhà mất ngủ mặc dù trước đó mọi tính năng dều hoàn hảo cả. Haizzz... xxxx664056","1","3"
"Hiện h dùng thấy cũng tốt.","2","5"
"Thích chiếc tủ này cực kỳ. Siêu rộng và phù hợp với gđ mình. Hơi tiếc và buồn vì mấy khay nhựa trên cánh tủ mát không có cảm giác k được khớp nhau. Nhìn hơi bị khó chịu. Giá mà được khớp như ngăn đá thì hoàn hảo luônnn.","1","3"
"Nhân viên nhiệt tình tủ đẹp","2","5"
"Tủ dùng tốt nhưng chế độ lạnh chưa lạnh lắm","2","5"
"Tủ hoạt động tốt, chế độ làm lạnh và làm đông tương đối nhanh","2","5"
"Tủ dùng tốt, điều chỉnh mức độ thì tủ làm lạnh nhanh","2","5"
"Tủ dùng tốt, Làm lạnh nhanh và làm đông nhanh","2","5"
"Sản phẩm dùng tốt nhưng chưa sử dụng chế độ Quầy minibar nên chưa biết hoạt động ổn k","2","5"
"Sản phẩm dùng tốt, Làm lạnh nhanh và làm đông nhanh","2","5"
"Nhà đông người vs có trẻ con lên dùng rất tuyệt vời","2","4"
"Tiện lợi, rất ưng ý","2","4"
