"data","label","num_stars"
"Mới dùng đc hơn 1 năm mà tủ lúc chạy lạnh cứ kêu như là động đất vậy, cảm giác như có cái gì đó rơi ra từ bên trong","0","2"
"Tủ lạnh tốt , làm lạnh mau .","2","5"
"Đây là lần thứ 2 và cũng là lần cuối mình mua đồ của hãng Sharp. Đã hỏng 1 cái máy giặt và tiếp theo là cái tủ lạnh này. Đồ đạc khác của nhà mình từ Toshiba, Pana, Daikin, Sony, các hãng Nhật đều rất ok, bảo hành nhiệt tình và hiệu quả. Còn riêng Sharp thì hoàn toàn ngược lại các bạn ạ. Mình mua tủ lạnh này dùng đến t11 thì hỏng chập cháy mạch, mà nhà mình chẳng bao giờ đụng đến nó, ngoài việc mở ra mở vô để lấy đồ ăn. Hãng bảo hành chờ 2 ngày mới đến, đến thì lấy lí do nguyên nhân bên ngoài tác động nên ko bảo hành. Ủa vậy cái 2 năm bảo hành sản phẩm của các bạn là sao Người tiêu dùng như tôi đặt niềm tin vào các bạn, nghĩ rằng sản phẩm của các bạn có thể đủ xịn để chịu được các hiện tượng thường gặp, chứ cứ kêu dòng điện đột ngột cao thấp là hỏng, cháy mạch và mất 3 triệu, KH tự đi mà chi. Vậy thì sản phẩm này quá èo ọt cho 1 hãng gia dụng đến từ Nhật. Điện máy xanh cũng thoái thác và để bọn mình tự làm việc luôn với hãng mặc dù lúc mua quảng cáo 2 năm bảo hành. Nhưng giờ là đã ngày thứ 4 nhà mình ko có tủ lạnh, đại lý bán hàng lớn như điện máy xanh cũng chẳng thèm bảo vệ 1 KH trung thành như tôi, bất kì đồ đạc điện máy nào trong nhà cũng mua từ các bạn. Lúc tôi mua hàng là làm việc với các bạn chứ đâu làm việc với hãng Sharp, tôi là khách hàng của DMX thì chính các bạn phải xử lý, dù là tôi mất tiền nhưng chẳng lẽ sản phẩm hỏng là vứt luôn à Vậy 2 năm bảo hành của các bạn là lừa đảo","0","1"
"Tủ rất đẹp, tủ 4 cánh tiện lợi, lúc đầu mình đặt mẫu khác nhưng do hết hàng được đổi sang mẫu này, được ưu đãi giá, hiện tại đang dùng nên chưa đánh giá chất lượng lâu dài.","2","5"
"Nói chung mình thấy khá ổn. Không tự chỉnh được nhiệt độ ngoài cửa. Máy chạy êm, làm đá lạnh nhanh. Với tầm giá 10tr như vậy có thể tham khảo thêm các loại khác","2","4"
"Tốt hơn mong đợi","2","5"
"Dùng rất tốt ạ . Đặt biệt ngăn bên trong rộng để được nhiều bia","2","5"
"Trước mắt thấy sản phẩm ok","2","5"
"Sp tốt. Nv nhiệt tình","2","4"
"Ban đầu mọi thứ đều ổn","2","5"
"Tốt trong tầm giá","2","5"
"Nhân viên nhiệt tình, sản phẩm đẹp, dùng thử qua thời gian mới đánh giá","2","4"
"Hàng tốt giá rẻ","2","5"
