"data","label","num_stars"
"Máy ồn kêu to, nguyên tháng hẹn xuống bảo hành, mà đmx không giải quyết được, củng không giải thích được lý do máy bị kêu, nó không kêu bình thường mà kêu rất to như tiếng máy cắt cỏ, thế mà đmx vẫn k đổi mặc dù vẫn trong chính sách bảo hành, hẹn xuống thì từ ngày 18 đến ngày 28 vẫn chưa thấy ai xuất hiện, qua đánh giá này tôi sẽ đăng bài phốt đmx làn ăn quá tệ","0","1"
"Số tổng đài bảo hành điện mái xanh .điện toàn là từ chối cuộc gọi. không biếc bảo hành như thế nào đây .lúc mua thì nói chuyện êm lắm.mua song rồi .tủ lạnh có vấn đề .điện thì chối cuộc gọi không","1","3"
"Tủ lạnh mua được 1 năm thì cắm điện không chạy. Gọi bảo hành thì hẹn lên hẹn xuống thấy ai đến sửa. Quá tệ","0","1"
"Tủ lạnh chạy ồn và ngăn mát không đủ lạnh. Sản phẩm có nhiều vết trầy như đã qua sử dụng ..","0","2"
"Tủ lạnh ko đông đá và kém lạnh khoảng 4 5 ngày sau khi mua mới lạnhTủ bị kêu rất lớn và bị đóng tuyết nhưng NV của ĐMX và hãng Toshiba ko đổi tủ khác cho mình như cam kết và quảng cáo. Cứ đi xuống xem xem máy rồi nói việc đóng tuyết và tủ kêu ầm ầm như vậy là bình thường. Trong khi mình mua ngày 19.6, đến nay ngày 28.6, ngày nào cũng phản ánh lên tổng đài nhưng ĐMX và cả Toshiba làm ăn tách trách, vô trách nhiệm và lừa dối khách hàng khi chính sách ghi rõ ràng là đổi ngay và liền cho khách hàng trong 1 tháng đầu tiên.","0","1"
"Tủ mới mua ngày 10/6 Nay thấy kiến trên đầu tủ nhiều, mở ngăn đông ra thì lại thấy 1 ổ kiến, trog khi tủ chỉ để làm đá ko đựng đồ ăn.Ko có nhân viên kiểm tra kĩ sản phẩm trước khi giao cho khách hay sao","0","2"
"Hoạt động êm","2","5"
"Mới mua êm ko ồn, thử sài 1thag xem biết điện nhu the nào.","2","5"
"Máy ok , không ồn","2","5"
"Sử dụng tốt mẫu còn đẹp","2","5"
"Toi thoi điểm này thi ok","2","5"
"Dịch vụ rất tốt","2","4"
"cảm nhận sau 5 ngày sd 1. trên trang để tiết kiệm điện nhất 0,71kw/ ngày trên tủ lạnh để 90w/h ngăn lạnh để 90128w/h . Không biết nó có thật sự tiết kiệm điện như trên không. trong khi ở trọ không bỏ đồ nhiều.2. Để ý lúc đêm xuống tất cả đều im lặng thì phía sau ngăn đông máy lạnh có tiếng kêu ò è ò è, rút điện ra thì hết nghe, cắm điện vào thì nghe lại, không biết đây có phải là 1 hoạt động nào của máy lạnh hay là lỗi.tiếng máy nén biến tần inveter chạy thì khác.3. Trên cùng ngăn đông có bám chút tuyết mặt dù tủ đông để chế độ trung bình.","1","3"
"Tủ lạnh kêu to quá. Ngủ cách xa mà còn nghe thấy.","0","1"
"Sản phẩm tốt","2","5"
"Mới mua hôm 10 tây ace có ý định mua thì nên căn nhắc nha lúc nó hoạt động thì có tiến ồn nghe khó chịu đặc biệt là ở trọ còn về bên trong thì ok thất vọng là nó quá ồn nên ai mua tủ lạnh thì nhớ hỏi nhân viên coi loại tủ nào hoạt động êm nhé","1","3"
"Mình mới mua con này tầm 2 tuần, quá thất vọng cả cách bán hàng mà không tư vấn kỹ cho khách cũng như cách bảo hành của hãng. Giờ phải ngồi chờ bên đó đỗi trả thôi. Dòng Toshiba mấy mẫu này dễ dính lỗi sôi gas lúc tủ chạy khởi động nghe tiếng kêu khá lớn mà lỗi này ngay cả hãng cũng không bảo hành hay đỗi trả nên mọi người mua nên để ý khoảng này nhé","0","1"
"Mới sử dụng trải nghiệm xong đánh giá tiếp.","2","4"
"Tủ chạy êm làm lạnh nhanh nói chung là hài lòng","2","5"
