"data","label","num_stars"
"Hình ảnh khác so với thực tế","2","4"
"Tủ lạnh tơm mồ hôi ở mặt trc và sau,lúc trc đã có sd hãng này ok sd lâu mún đồ sang cái to hơn,trả ngiệm tủ to tệ,trời nắng thì tơm mồ hôi mặt sau,trời mưa thì tơm mặt trc và sau tủ lun.gọi bảo hành 2 lần k giải quyết đc vđ gì cũng ngôi nhà này sd tủ lạnh hãng đó nhưn 1 tủ sd bt còn 1 tủ thì tơm nước.phàn nàn thì đổ cho thời tiết.thời gian đầu k bị nhưn sd tầm 8 tháng là gặp vấn đề","0","2"
"Tủ lạnh mua chưa được 1 năm. Tủ ko lạnh. Bảo hành thì cợt nhả , gọi lên gọi xuống, vẫn ko giải quyết đc vấn đề","0","1"
"Tủ mới mua hôm tết 2025. Ngăn mát 3 độ mà hộc phía trên bị đọng hơi nước, hộc phía dưới bị đông đá như này. Hộp canh để quên 2 ngày mở ra thấy đóng màng phía trên, y như để nhiệt độ thường bị thiu lên mốc vậy. Thịt bò để đến ngày thứ 2 chuyển sang màu đen đen như bị ôi thiu vậy đó. Thấy bất ổn từ đây nha","1","3"
"Tủ rất kém.nhiệt độ không đúng với con số.mới mua mấy ngày đầu ok.vài ngày sau tự tan đá.rút điện ra cấm lại vài lần sd đôơc nhưng nhiệt độ ngăn mát và ngăn đông rất kémchỉnh 24 độ ngăn đông mà bỏ ly đá vào trên 5h chưa đông cứng dcngăn mát thì yk như máy lạnh.","1","3"
"Máy lạnh mà mua về ko lạnh. Mua máy nóng","0","1"
"Rất tệ mới mua được 2 tháng giờ ngăn đông ko đong đá","0","1"
"Máy kêu to ồn lắm gọi hãng bảo hành họ bảo máy này phải kêu như thế rất thấy vọng với 1 nhãn hàng. Mọi người nên tránh cái hãng đó ra","0","1"
"Tủ kêu to tiếng sọc sọc liên hệ bảo hành ko đc","1","3"
"Tủ về dùng được 1 hôm thì ngăn đá không đóng đá được, ngăn mát thì không mát. Gọi phản hồi gần 10 lần mà không cho nhân viên xuống kiểm tra. Quá thất vọng với cách sử lý của điện máy xanh.","0","1"
"Tủ chạy êm, đông đá nhanh","2","5"
"Ko nên mua tủ này. Lần đầu tiên phải lên đây viết đánh giá, khi tủ lạnh cài đặt ở ngoài 2 độ, bên trong tủ là 6 độ, 9, 10 độ mà hãng kêu là bình thường, đồ ăn để bị hư hết, rau củ héo úa, lên mốc. Gọi bảo hành thì ko giải quyết 1 luồng, mà mỗi lần gọi là gặp một người khác nhau, hỏi lại từ đầu.Hỏi xong ko giải quyết, đưa người khác gọi lại hỏi nữa, mình ko có thời gian để báo 1 vấn đề 56 lần. Sau vụ này chắc mình ko dám mua hàng bên ĐMX nữa","0","2"
"nhà mình mới mua 460L thấy ổn mà,ngoài việc vỏ bên ngoài hơi nóng,còn lại mọi thứ đều ổn.","2","4"
"Mới mua của điện máy xanh được mấy hôm mà ở cánh bên ngăn lạnh hơi nước đọng ở cánh rất tủ nhiều dù trời nắng to.","0","2"
"Tiếng ồ lớn quá khay đá pể hãng này đừg nên mua mình mua ròi sai lầm lần mua tủ lạnh hãng toshiba mjh ngi dỡ hơn sam sung","0","2"
"Tủ thì OK, chỉ là nhân viên giao hàng chậm hẹn 6h chiều mà tới 10h đêm mới giao, lắp đặt song cũng không dọn dẹp","2","4"
"Sai cũng ổn","2","4"
"Đợi mười mấy ngày cuối cùng đem cánh cửa vào thay thì không đúng màu r im ge không thấy phản hồi gì hết biết đến khi nào mới dứt tình trạng xì hơi này đây làm ăn gì mà chán phèo","0","1"
"Tủ chạy êm đông đá nhanh","2","5"
"Đèn cửa 2 bên lúc sáng lúc không. Liên hệ bảo hành nhưng chưa thấy liên lạc lại","1","3"
"Rau tươi. Tốt","2","5"
"Mua một tuần rồi mà không có trách nhiệm giao hàng song hết trách nhiệm tủ ko đong được đá ra cửa hàng báo bảo hành nhân viên ko gọi được bảo hành im lặng đợi khách hàng ra hỏi mới gọi quảng lí song gọi được bảo hành bảo 72h mới gọi bảo hành chờ dài cổ song dt được cho bảo hành hẹn 5 ngày sao mới liên hệ với mình bảo hành không có một nhân viên bảo hành nào dt báo khách lần đầu tiên mua hàng gặp cảnh này từ đó giờ mua đồ dùng đầy đủ trong nhà lan đầu gặp cảnh này","0","1"
"Dùng rất ok. Máy êm ko tiếng ồn. Lạnh nhanh và tiện","2","5"
"Sau hơn 3 tháng SD Hai bên cạnh tủ quá nóng, nhất là mùa hè. nhựa bên trong tủ bị cong vênh, ngăn đá thi thoảng có lớp tuyết mỏng.","1","3"
"Tủ rất tốt, máy nén chạy tương đối êm, độ lạnh sâu cho cả hai ngăn. Tính năng trên ứng dụng Tsmart life nhiều và trực quan hơn trên tủ. Theo dõi thực phẩm còn trong tủ rất hay, Cài đặt để ứng dụng nhận tủ hơi khó làm. Quạt đẩy luồng gió hơi có tiếng kêu dù không đến 40dB. Sẽ tiếp tục theo dõi và tìm hiểu xem lý do quạt hơi ồn.Nói chung là với giá tiền chỉ 11tr thì không thể đòi hỏi gì nhiều hơn.","2","5"
"Đèn bên mát k sáng bảo hành đến 2 lần cũng k hết lúc sáng đèn lúc k có, giờ đợi 3 4 ngày hãng xuống coi bảo hành nữa.","0","2"
"Tủ để nhiệt độ tự động không lạnh nước như bình thường điều chỉnh chế độ đông nhanh thì nước cũng chỉ lạnh từ 8h sáng mà đến 8h tối khay đá viên còn k đặt nổi.Gọi tổng đài bảo hành lại bận suốt","0","2"
"Mình thấy rất ok","2","4"
"Mn có ai như e k Tủ toshiba 186l cũ nhà e trưa để là chiều tối có đá uống r. Nay đổi qua tủ này có cảm giác k lạnh làm, nước để ngăn mát cũng bt ko lạnh buốt như tủ trước mình sài. Trải nghiệm hơi tệ, nhiệt độ e chỉnh Mát 2 độ, đông 20 độ rồi. Có ai như e k","0","2"
"Bị nhỉu nước, đóng đá ngăn mát, gọi bảo hành thì loằng ngoằng mất thời gian","0","2"
"Nhìn to vậy chứ ở trong cũng nhỏ nhỏ. Lỡ rồi mn nên mua loại 500L trở lên luôn nha","1","3"
"Mới dùng thấy rất ok","2","5"
"Hiện tại rất ổn định","2","4"
"Tủ hay kêu cụp cụp là bị gì ak","2","4"
"thấy cơ bản la ôn","2","4"
"Rất tệ, mua xài 7 tháng bảo hành tại nhà 3 lần,lần thứ 4 mang về hãng mất 10 ngày, được 5 ngày lại tiếp tục bị đóng băng chảy nước ra ngoài.thua.","0","1"
"Giá tiền hợp lý công nghệ đầy đủ mỗi tội 2 bên cạnh tủ nóng thì thôi rồi","1","3"
"Đẹp chạy êm tốn rất ít điện. Điều khiển qua điện thoại cài đặt nhiệt độ từ xa. Mới mua 13tr giờ xem hạ còn 11.5 tr","2","4"
"máy chạy êm, nhưng 2 bên của tủ rất nóng","1","3"
