"data","label","num_stars"
"Sử dụng gần 2 năm. Mọi thứ cơ bản tốt. Tuy nhiên hiện tại thì gặp trường hợp đèn vẫn sáng, có gió thổi nhẹ nhưng k còn lạnh. Cần được hỗ trợ","2","4"
"Tôi mua sản phẩm từ 10/2023, tháng 12 lỗi E7, bảo hành đến 3,4 lần vẫn lỗi . Lần này báo bảo hành từ ngày 13 đến hôm nay 17 vẫn không có bảo hành","0","2"
"Giữ lạnh đồ ăn tươi lâu, rất tốt","2","5"
"Cửa tủ mở hơi nặng","1","3"
"Sản phẩm dùng tốt","2","5"
"Sản phẩm sử dụng ok","2","5"
"sản phẩm bình thường","2","5"
"Tủl lạnh nhanh tốt tiết kiệm điện thì bình thường","2","4"
"Tủ lạnh dùng tốt êm chưa có gì phát sinh","2","5"
"sử dụng tốt nhưng lâu lâu rỉ nuwocs chỗ lklaays nước","2","4"
"Cũng ok chưa có vấn đề gì","1","3"
"sản phẩm tốt","2","5"
"Tủ lạnh hoạt động tốt êm tiết kiệm điện","2","5"
"dùng tốt ok","2","5"
"Tủ lạnh dùng rất tốt","2","5"
"dùng tốt ok","2","5"
"sản dùng tốt êm","2","4"
"sản phẩm dùng tốt","2","5"
"CHO 45 ĐIỂM dùng tốt","2","4"
"sp dùng tốt","2","5"
"máy dùng tốt lạnh đủ dùng thấy rất hài lòng","2","5"
"sản phẩm dùng ổn êm","2","5"
"Sản phẩm sủ dụng ok","2","5"
"Tủ lạnh sử dụng ok","2","5"
"sản phẩm dùng tốt ok máy chạy êm","2","5"
"sản phẩm tốt dùng rất ok","2","5"
"sản phẩm tốt hài lòng","2","5"
"sản phẩm dùng ổn tốt","2","5"
"sử dụng tốt ổn","2","4"
"sản phẩm tốt dùng rất là ok nên mua đã giới thiệu cho bạn bè","2","5"
"sản phẩn tiện lợi đông đá nhanh dung tích lớn","2","4"
"sản phẩm tốt chưa có vấn đề gì rất hài lòng về sản phẩm","2","5"
"sản phẩm dùng được","2","4"
"máy dùng tốt bảo hành xong máy dùng tốt không có vấn đề gì","2","4"
"Sản phẩm sử dụng ok","2","5"
"sử dụng tốt bảo quản thực phẩm tương đối ổn","2","4"
"sản phẩm ok hài lòng","2","5"
"hài lòng về sản phẩm chính sách bảo hành tốt","2","5"
"dùng tốt bảo quản đồ ăm tốt nhưng hơi có mùi hiệu suất điện năng bình thường","2","4"
"máy chạy êm tốt ko có vấn đề gì nên mua","2","5"
"hài lòng về sản phẩm","2","5"
"Máy chạy êm lạnh nhanh nhưng nóng 2 bên vỏ tủ lạnh","2","4"
"dùng ok mới xài nên thấy cũng được","2","5"
"sản phẩm tốt dùng ok máy êm","2","5"
"Máy dùng tốt chạy êm","2","5"
"Sản phẩm sử dụng tốt","2","5"
"sản phẩm sử dụng tốt bảo quản đồ ăn khá tốt ko gây mùi về điện năng chưa biết thế nào do mới sử dụng","2","4"
"xài ok không vấn đề gì","2","5"
"Sản phẩm sử dụng ok","2","5"
"tốt tầng đông khi bỏ nhiều đồ thì không ok lắm cũng tiết kiệm điện","2","4"
"sản phẩm sử dụng ok","2","4"
"cánh cửa hơi cứng xài được","2","4"
"máy hơi nóng bên ngoài dùng tốt êm","2","5"
"giai đoạn đầu mới sử dụng có tiếng kêu hơi lớn giờ đã ổn ơn máy êm hơn","2","4"
"xài ok mới xài nên chưa biết được","2","4"
"Tủ lạnh rộng rại ngăn chứa đồ thoãi mái sử dụng tốt","2","4"
"Máy dùng êm chưa có phát sinh ổn","2","5"
"sảm phẩm tốt","2","5"
"tủ chạy êm sp tốt hài lòng","2","5"
"Máy sử dụng tạm ổn cũng tốt","2","4"
"Máy làm lạnh nhanh êm tốt","2","5"
"sử dụng rất tốt bảo quản tốt thức ăn làm lạnh tốt kháng khuẩn ko có mùi","2","5"
"Máy tốt dùng êm","2","5"
"sử dụng tốt","2","5"
"Cũng bình thường ổn từ lúc mua đến giờ chưa có gì phát sinh","2","5"
"Tủ lạnh xài tốt","2","5"
"sp xài tốt phù hợp vs gđ","2","5"
"bình thường","2","4"
"Máy dùng êm làm lạnh nhanh","2","4"
"tốt bình thường","2","5"
"Tủ dùng ổn bảo quản thực phẩm lâu làm lạnh nhanh","1","3"
"sản phẩm ok tuy nhiên mới mua kêu hơi lớn giờ ổn định hơn 2 bên tủ lạnh hơi nóng","2","4"
"sử dụng tốt","2","5"
"tốt giá hơi cao và tiết kiệm điện năng thấp so với những sp hãng khác trong tầm giá","2","4"
"sử dụng được","2","5"
"Tủ dùng tốt bảo quản thực phẩm lâu làm lạnh nhanh","2","5"
"ổn hài lòng cánh mở ra hơi cứng","2","4"
"Làm lạnh nhanh dùng tốt êm","2","5"
"Tủ dùng tốt bảo quản thực phẩm lâu làm lạnh nhanh","2","5"
"sử dụng tốt","2","5"
"mới dùng thấy cũng được","2","5"
"hài lòng về sản phẩm chưa có vấn đề gì khác","2","5"
"xài thấy được","2","5"
"xài hơi nóng","2","4"
"sp sài tốt làm lạnh tốt bảo quản đồ ăn ổn làm lạnh cũng hiệu quả","2","4"
"Làm lạnh nhanh khi k đóng kín thì tủ sẽ báo","2","5"
