"data","label"
"Mình còn chưa có cơ hội sử dụng. Đặt hàng từ tối hôm trước, thanh toán luôn, chọn giao hàng trước 12 giờ trưa hôm sau. Tới 12 giờ trưa mới có nhân viên gọi xác nhận rồi bảo giao không kịp. Hẹn lại chiều, xong đến chiều thì lại giao đến cho mình một cái máy đã bị bóc seal bảo là máy mới. Mình không đồng ý lấy thì lại bảo tiếp tục chờ bộ phận online xử lý. Cảm thấy lòng vòng, mất thời gian và rất phiền.","0"
"Quang cao thì hay roi phát bể luôn","0"
"Quản cáo sạc 66W, mà ghim vô cắm tới 5h mới đầy","0"
"Ý là chống rơi vỡ phần cứng thì tốt chứ phần mềm nó không ổn ý ạ, e vô tình làm rơi từ khoảng cách chưa đc 20cm, là chưa tới 20cm đó ạ Cụ thể thì e ngồi khoanh chân dứơi nền và để trên đùi nó trượt xuống nền thôi. Xong cái loa phía trên cam nó rè luôn, này lỗi người dùng nên chắc kh đc bảo hành đâu đúng kh, vẫn viết lên đây để mn lưu ý thôi","0"
"màn đẹp,pin trâu,cam ổn chip ổn quá ưng","1"
"Rè viu chống rơi vỡ mà đt k bị rớt đi giao hang lấy ra lấy dô k bit có bị cấn gi k mà bị nước 1 đường trên màn hình","0"
"Đặt cái máy hẹn ngày nay chuyển sang ngày khác","0"
"Máy review rơi ko vỡ mà sao máy mình rơi lại bị vỡ","1"
"Mình có đặt cường lực cho máy này,nhờ bên a/c dán giúp được ko. Máy mưa ở cửa hàng ac","1"
"Máy mượt pin sử dụng OK độ sáng cao máy rất mỏng và nhẹ","1"
"Con này chỉ cái màn hình to vs pin trâu thôi,chứ ngoài ra ko có gì nổi bật, vân tay vs nhận dạng khuôn mặt thì lúc đc lúc ko,còn chip thì cùi quá sài cứ đơ đơ bực mình, tầm giá này ko nên mua con này.","0"
"Máy mượt xài ok. Nhưng có hiện tượng miss thông báo ở một số ứng dụng","1"
"Pin 6600 mà hao pin tuột pin kinh khủng xài hk dk 1 ngày dt hiện 5g mà gọi zalo chập chờn yếu xìu bị văng ra nửa chứ bị mất kết nối hoài lun ứng dụng thì bị văng ra hoài thật sự thất vọng xài 5g mà thua 2g nửa Shopee Tik Tok chạy hk nổi chán ồm","0"
"Dc tặng cái đồng hồ với cái loa Bluetooth mà khi mua k có gì","1"
"Máy ko nhân bản ứng dụng zalo thật tiếc vấn đề này , tiktok khi nhấn follow máy bị sựng âm thanh , 2 ứng dụng chính mà tui gặp khó khăn vs máy , hy vọng có bản cập nhật khắc phục cho KH , nếu lỗi này kéo dài sẽ ko bao giờ gt sp đến ng thân ...","0"
"Mọi thứ đều ổn mà sao đt e dù đã bật rồi vẫn ko hiện đc 5G vs a/c","1"
"Khi nào TGDD mới nhập honor GT pro về vậy","1"
"Pin giới thiệu là 6600 mah mà tụt nhanh hơn cave tụt quần, thiết kế thì mỏng manh, độ mượt cảm giác khó chịu. Nói chung là thất vọng. Mới mua ở tgdd Thanh Liêm, Hà Nam .","0"
"Có ai bị văng game trên đt này không hoang mang quá","0"
"Có cách nào sử dụng dữ liệu di động và wifi cùng lúc để tăng tốc độ truy cập mạng k","1"
