"data","label"
"Ok","1"
"Sao tớ mới mua máy có 2 ngày mà pin tụt nhanh lắm dùng chưa được 1 ngày đã phải sạc","1"
"Mới mua máy về đã chạy ios 18.5 dùng khoảng 1 tuần vào cài đặt bị đơ vài lần phải tắt đa nhiệm mới ổn. Dùng đến ngày thứ 29 dính lỗi resetcounter mang lên đổi trả nv nói phải gửi hãng thẩm định mất 15 ngày , quá chán luôn còn thời gian đổi trả mà khồn được đổi ngay mang về theo dõi thêm bị resetcounter nhiều thì mang bảo hành.","0"
"Mình mới mua con 14 cũ bên mình k biết h muốn đổi trả thì mất bn phần trăm nhỉ","1"
"Đang xài Androi nhảy quá tháy lạc tay vãi. Độ mượt thì 90hz ko bằng 12hz của Androi đc. Nhiều lúc cũng thấy ngoooapp tải rồi mà mở lên vẫn đỏi tải. Bảo mật gì mà thấy máy của ae có cả ngàn tb chưa đọc hay xử lý vẫn hiện. Đúng chỉ đc phần thông báo và thương hiệu nhận diện","1"
"Ở năm 2025 thì iPhone 14 vẫn đáp ứng đủ nhu cầu của mình sử dụng nhỏ gọn vẫn đủ mạnh để dùng những app nặng pin đủ tốt để dùng từ sáng đến chiều tối wifi 5G hỗn hợp Mua tại 414 Bình Long Tân Phú được chị Sương hỗ trợ rất nhiệt tình","1"
"Pin tụt nhanh, máy nóng khi call video","0"
"Máy xuống pin nhanh. Sạc bị nóng máy trong khi mới mua đc 1 tuần","0"
"Bị delay thông báoTin nhắn k hiệnCuộc gọi k hiệnMuốn đổi sp mới","0"
"Do không được trải nghiệm trước khi mua, giờ mua xong mới được trải nghiệm thấy loa bé và rè không biết có phải loa bị lỗi không","0"
"Để hk Sài cũng hao pin","1"
"máy mới mua 2 ngày. pin để chế độ thường thấy mau hết lướt fb, zalo không không cũng thấy tụt pin nhanh. Khi sạc đầy Pin mở Wf để qua đêm pin tụt 2% trong khi đó cả đêm k dùng.","0"
"Mới xài được 3 tháng tuộc còn 99% là sao vậy shop","0"
"Máy mua chưa được 2 tháng sạc 47lần pin tụt còn 99%","0"
"Tôi dùng có được 2 tháng mà ngày sạc 1 lần mà pin tụt xuống còn 99% có phải lỗi j ko ad, rồi lâu lâu không đăng nhập được các wed lag, phải thoát ra vào lại, ứng dụng trên máy ấn mãi ko vào đc, phải tắt ra vào lại là sao , máy có tình trạng lag khi đang nhắn tin hay khi mở ứng dụng","0"
"Tại sao ip 14 khi mở khoá màn hình lại yêu cầu nhập mật khẩu để mở face id ạ, trong khi máy mới sử dụng cách đó 30p","1"
"Sự thật rất đau khi xem trên web giá 12.790.000 đ và khi vào cửa hàng tgdd quen thuộc mua và làm thủ tục trả chậm do sơ ý nghĩ quen nên khi ra về cầm trên tay hóa đơn 13.790.000 đ mà không xem lại, vài ngày sau xem ứng dụng Homedirts mới tá hỏa giá trên lệch 1 tr , mình thắc mắc là giá trên web và cửa hàng tại sao bây lâu nay mình lại tin vào sự tử tế của cửa hàng như thế","0"
"Cho hỏi, máy mới mua về sạc như thế nào","1"
"máy xài vá ngoan xuất sắc pin trâu mỏng nhẹ","1"
"Điện thoại của mình mới mua chưa đc 1 tháng. Nhưng camera trước thi thoảng không lấy nét được. Phải tắt máy đi bật lại mới được. Cảm giác rất khó chịu","0"
"mình mới mua được 3 hôm.thấy khi bấm nút tăng âm lượng và nút nguồn thì xuất hiện hiện tượng như trên.mình có hỏi bên cửa hàng thì báo máy mới đều như vậy.xin hỏi có đúng như vậy không.","0"
"máy sài ok chưa lỗi lầm gì pin ổn ios đúng nó ở tầm khác thật wf dùng 7h liên tục chỉ youtobe tik zalo ios 18.5","1"
"Mua điện thoại gần 1 tuần, xài zalo hay bị nhỡ cuộc goi trong khi mạng mạnh, thông báo zalo chậm, cảm ứng có khi chậm, chụp hình không đẹp, được cái pin cũng khá trâu.","1"
"Điện thoại em mua mới gần 1 tháng, nhưng bây giờ một đêm không bật dữ liệu mà tuột 10% pin có sao không ạ","1"
"tư vấn trang tốt , nhân viên thực tế nhiệt tình","1"
