"data","label"
"Sản phẩm tệ hay do lỗi máy, mình đã đăng nhập hai icloud mới tạo và máy vẫn bị khóa mặc dù mình không làm gì hết.","0"
"Nói chung con vợ này quá oke rồi hẹ hẹ hẹ, tiếc mối 120hz thì nai xừ","1"
"Mua mấy ngày thấy xài rất ổn pin trâu","1"
"Dùng đc 3 tháng ko dùng ốp mà bị chóc sơn zui","0"
"Mình mua ip 15 plus 128g fullbox tại tgdd mà về sử dụng đc gần 1 tháng thấy máy bắt mạng kém quá vậy, wifi, 4g căng đét mà gọi zalo, mess k liên lạc đc, thỉnh thoảng nhắn tin cg k nhận đc luôn, khi mở ứng dụng ra mới thấy 1 loạt cuộc gọi nhỡ và tin nhắn, thất vọng thật sự khi bỏ ra 1 số tiền lớn mà lại bị như vậy mong nv hỗ trợ sớm","0"
"Cho hỏi tôi mua 15 plus và có mua miếng dán màn hình nhưng mấy ngày sau bị bong mép.tôi có đến bảo hành và được nhân viên dán lại miếng khác không giống như miếng tôi đã mua trước đó.miếng này có viền đen xung quanh và dày nên cảm giác bấm k được nhạy và mượt.giờ tôi muốn đổi lại miếng dán màn hình nhu tôi đã mua lần đầu thì có mất phí k","0"
"Máy hay bị đơ khi có cuộc gọi tới lúc màn hình khóa.không gạt sang để nghe cuộc gọi đến.cập nhật iOS mới nhất vẫn bị","0"
"Đã mua hàng 114116 Đường số 3 .bình hưng hoà B. Bình Tân Các bạn nv hỗ trợ nhiệt tình vv chuẩn 5","1"
"Không chỉnh được camera chụp hình 48 Mb chụp được 36 Mb iOS 18.2.1","0"
"Sạc 25 lần tuột 1% pin kém quá","0"
"Màu xanh lá ,96% bán lại bao nhiêu ạ","0"
"Sai mới 4thang mà hao hết 3% pin hối hận","0"
"Mới mua chưa đc 1tháng, dùng cũng mướt nhưng lâu lâu đag vào ứng dụng và treo và tự thoát ra, ko hỉu lý do","1"
"Mới sài có 8tháng pin còn 95%. Quá bưa.","0"
"Tôi mua được 4 tháng, giờ màn hình đổ mực. Khi nhân viên kiểm tra báo Tôi có cấn thân máy. Tôi không thấy. Nhưng tôi vẫn đồng ý,nhưng lại báo hãng có cấn màn hình và hãng báo không bảo hành. Tôi đã khiếu nại và đang chờ giải quyết. Không biết ra sao đây. Mời cả xem coi có thấy cấn màn hình chổi nào không ạ","0"
"Trải nghiệm rất tuyệt","1"
"Ủa mua online giá rẻ hơn mua ở tiệm àh shop. Tại tối qua em mới mua giá hơn 23tr.","1"
"Sài tốt.","1"
"Máy xài đc mới 3 tháng , chu kì sạc chỉ 38 lần đã tuột 2% thấy chất lượng tệ nhỉ","0"
"hôm qua mình mới mua máy. cho mình hỏi sao k kết nối được imess và facetime với sđt dc vậy ạ. e thử các cách hướng dẫn trên mạng rồi. kbiet nvay có đổi 11 dc k ạ huhu","1"
"Sản phẩm tốt, máy dùng mượt, pin trâu. % Pin 1 tháng đầu hơi hao 3% tới nay vẫn chưa tụt, cụm viền camera dễ xước ko đụng chạm va đập rơi gì hết vẫn xước ít. Đánh giá máy tốt nên dùng máy nhẹ xài ốp oke, nhiều màu camera đẹp rẻ hơn 14Promax. Đã mua được 5 tháng.","1"
"mát mượt xài rất tốt giá ok hợp lý","1"
"Nhân viên nhiệt tình, máy xài êm 10đ","1"
"Dùng được 2 ngày thì lỗi không nhận sạc, phải reset máy mới nhận sạc, vậy là do lỗi phần mềm đúng k nhỉ","1"
"Mới mua hôm qua máy mượt pin trâu","1"
"tuyệt mn nên trải ngh","1"
"Rấy hài lòng","1"
"Tốt","1"
"Rất đẹp dùng rất tốt","1"
"Mua theo lý trí và rất hài lòng","1"
"Tốt dùng mượt","1"
"Máy xài mượt , tốt !","1"
"Cho mình hỏi dòng ip15pl sao trên khe sim lại không in số máy nhỉ","1"
"Cái gì cũng ok, từ sản phẩm tới nhân viên hỗ trợ. Chỉ có điều thời gian chuyển đổi dữ liệu từ máy cũ sang mới lâu quá nên ngồi đó chán.Góp ý nên có nước cho khách hàng uống nếu như quá trình mua hàng lâu nhé tgdđ ơi.","1"
"Mình đặt mua IP15+ qua trước đến cửa hàng nhận máy thì đợi hồi lâu mới có máy. Cửa hàng thì không có ốp lưng, cường lực. Có miếng dán chống chày thì bạn nhân viên dán bị bọt khí, phản hồi cho bạn ấy thì bạn nói anh về sạc nóng máy là tự hết. Mua điện thoại xong thì bạn nhân viên đưa cái túi bự chà bá lửa do hết túi mong anh thông cảm. Một trải nghiệm mua hàng cực kì tệ.","0"
"Dùng hơn hai tháng máy ổn định,chụp ảnh ổn áp, pin cực trâu, cầm nhẹ tay, màu xinh","1"
"Giâ cao hơn những cửa hàng khác. Khuyến mãi không hữu ích","1"
"Ok","1"
"Bị lỗi sạc điện thoại không vào pin khi mới mua có 10 ngày mong tgdd liên hệ sớm","0"
"Xài pin 1 ngày khỏi suy nghĩ tgdd ngã 3 đh phục vụ tốt","1"
"Điện thoại mk mới mua hôm 2710 đến hnay là 211 mới dùng đc mấy hôm mà đt tụt pin nhiều quá có 7tiếng đồng hồ mk tắt hết wifi, 4g và các tác vụ ứng dụng chạy ngầm và không dùng điện thoại trong thời gian đó nhưng vẫn bị tụt mất 6% pin ra cửa hàng thì các kêu bình thường và k hỗ trợ mấy mới mà vậy thì","0"
"Rất tốt. Nhẹ. Rất mượt","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
