"data","label"
"mới mua cách nhau dc 10 ngày giảm hẳn 1tr là s ip xuống giá ác vậy","0"
"Mình vừa mua với giá 25tr690 mang về tới nhà vào trang xem lại giá thì lại là 25tr090 là sao ta","0"
"Mới mua thấy ổn pin cao","1"
"Đã mua tại dmx. Pin trâu. Máy mượt. 6.3 nhỉ gọn dễ bỏ túi ạ","1"
"Mình mua máy giá hơn 24 triệu, mà màn hình bị ngả vàng, độ sáng tối hơn cả con iphone 13 đang sử dụng, không biết do không may mắn mở trúng máy bị vàng hay do dòng này màn hình đều thế. Nói chung là hơi thất vọng về máy, không như mong đợi","0"
"mua dc hơn tuần,máy dùng bình thường, pin tốt hơn so với các thế hệ pro trước đó.","1"
"Thấy trên thông số nói mặt sau là mặt kính mà đâu có phải kính đâu","0"
"máy mua 19/3/2025 được 10 ngày thì phát hiện bên trong camera có 1 vết bụi mình mang ra thì nhân viên từ trối đổi kêu phải gửi về hãng trong khi máy vừa đập hộp có lỗi nhìn bằng mắt thường còn thấy mà phải gửi về hãng để thẩm định ,nếu lỗi của phần cứng bên trong không nói làm gì bỏ hơn25 trieu ra mua trải nghiệm quá tệ","0"
"Đang dùng thì điện thoại bị chập chờn, tự động tắt và thoát ra màn hình chính. Bị 3 lần liên tiếp trong vòng 1 phút. Mới mua dt này dc 5 hôm","0"
"Ra nắng mới thấy có hạt bụi trong camera sau","0"
"Mua được khoảng 15 ngày camera máy bị lỗi 3 lần. 2 lần quay lại đc. Nay lỗi tiếp. Mang lên bảo hành thì coi các kiểu ngồi chờ kiểm tra hơn 1 tiếng rồi báo mình gửi máy lại mang lên hãng kiểm tra 2 ngày sau báo. Mua 15 ngày lỗi mấy lần mà k đx đổi ngay. Phải chờ kiểm tra 2 ngày như là gửi sửa vậy. Cuối cùng mai 8h sáng mang máy lên hãng cho nó kiểm coi lỗi như nào mới có kết quả chính sách bảo hành. Mua thì nhanh lắm, tới có lỗi rõ ràng thì mệt ơi là mệt.","0"
"Mua từ ngày đầu ra mắt mọi thứ vẫn oke , sao thấy mn kêu lỗi panic vs reset nhiều vậy","1"
"Máy mới mua dc 1 tuần loa bị rè thì bên cửa hàng sẽ bảo hành lỗi 1 đổi mới hay là gửi lên hãng kiểm tra lại ạ. Tại đây là máy loa bị lỗi thì ko biết bên cửa hàng sẽ giải quyết như nào ạ.","0"
"Máy mình ip16 pro hôm trước gửi đi bảo hành hãng 1 lần rồi. Hôm nay về dùng vẫn bị dính lỗi Panic Full. Có đc đổi máy khác ko shop.","0"
"Chán thật, 1 ngày tự reset mấy lần","0"
"lỗi panic full reset couter đút túi quần tự mở ngồn chịu đổi máy ms cũng z","0"
"Mới mua 12/10 tới nay mà nó khởi động lại 7 lần rồi, đổi máy mới được k ạ","0"
"Máy bị Panic full vs Reset counter","0"
"mới mua chua sài được gì mà một ngày tự khỡi động lại 4 lần đã cập nhật ios mới nhất rồi vẫn bị thật sự thật vọng khi mua iphone 16 pro này đánh giá 1sao","0"
"mới mua bị dính rồi","1"
"Điện thoại mới mua đã lỗi cảm biến không tự động tăng giảm ánh sáng màn hình thì đơ vuốt lúc đi lúc đứng nhấn không ăn thoát ra vào ấn thì được đã báo cskh kêu đem ra cửa hàng kiểm tra nếu lỗi sẽ gửi hãng thẩm định lỗi thời gian chờ 715 ngày vừa tốn tiền vừa mất thời gian rồi điện thoai đâu mà dùng. Quá thất vọng ở lần mua này","0"
"Sau khi phản ánh loa trong rè thì bên cskh đưa ra lựa chọn là khách hàng chỉ được chọn gửi về hãng mất 15 hoặc sử dụng máy lỗi. Và chắc chắn tôi ko giới thiệu cho bạn bè","0"
"May OK khi để iOS18 sai ko lắm không hao pin lên 18.0.1 thi pin hoi tuộc nha nhưng cung hong dân ke","1"
"Tôi cũng có tính trạng máy bị reset counter cho ip 16pro . Kn biết có chính sách đổi trả kn . Máy mới như vậy thất vọng quá","0"
"","1"
