"data","label"
"Giá mình mua xem ở siêu thị khác vẫn có kèm phụ kiện sạc kèm theo. Nhưng siêu thị bên này giá này họ cắt sạc kèm theo máy . Sạc quan trọng đi kèm theo máy bàn phím nhất mà cũng cắt. . Siêu thị tiết kiệm gì mà túi bán hàng đựng sp cũng không có nổi .","0"
"Điện thoại rất nhanh hết pin, có khi ngày sạc 2 lần, sập nguồn liên tục, bật k lên phải tháo pin ra lắp lại, gọi cho ng khác thường xuyên bị tình trạng k nghe đc bên kia nói gì hoặc ngược lại","0"
"Chưa có sản phẩm nào tệ như sản phẩm này sau khi bảo hành sập nguồn .điện thoại luôn hiển thị tai nghe sau đó sập nguồn thì nay tiếp tục màn chảy mực","0"
"Sản phẩm ổn.","1"
"Điện thoại đang sáng không sử dụng thì mình tắt nút nào vậy ạ","0"
"Có pin thay thế không, giá nhiêu","1"
"Khôi phục lại cài đặt gốc máy vẫn báo cắm tai nghe ko hiểu tại sao","0"
"điện thoại loa thoại nghe rè không nghe rõ","0"
"Điện thoại mình mua dùng được khoảng 4 tháng, giờ cứ dùng được 1 hoặc 2 hôm lại bị mất sóng. Khởi động lại thì lại có sóng, rồi lại lặp lại như trên, chán.","0"
"Máy dùng rất tốt màn hình sáng pin trâu, loa to, Nếu ai sợ người ngoài nghe thấy cuộc nói chuyện của mình có thể chỉnh âm lượng mặc định nhỏ xuống. Có tùy chỉnh báo thức lặp lại theo ngày trong tuần mong muốn. Hàng masstel là hàng chuẩn, đừng mua hàng trôi nổi trên mạng .","1"
"Rất ok ạ","1"
"E Mới mua 1 tuần bị rơi xuống nước giờ hỏng loa tgdd có hỗ trợ thu mua lại để mua máy mới ko ạ","0"
"Mới mua về được mấy ngày thì liệt phím","0"
"Máy dùng oke nhé","1"
"Loa khá to, hợp người lớn tuổi. Khuyết điểm là do loa sau nên dù chế độ cầm tay thì người ngồi gần đó vẫn nghe được","1"
"Pin lau het.nghe goi ro va lon.tuyet voi.ngon bo re","1"
"Mới vừa mua buổi tối, đem về bị lỗi sim sóng, sáng đem ra nhờ nhập trả lại, tính thêm tiền mua model khác tốt hơn, nhưng lỗ đến 20% 100k, quy định nếu sản phẩm lỗi trong 24h nhập trả chỉ lỗ 10%, ko có bao nhiêu tiền nhưng lỗ 20% là quá thiệt thòi cho khách hàng","0"
"Pin trâu, loa to, sóng khỏe","1"
"Máy mới mua sạc bin đầy 95% để nghe gọi trong vòng 24h bin tụt khoảng 30% còn chất lượng thì phải dùng thời gian mới biết được","0"
"Tốt","1"
"Mới dùng mấy ngày đã liệt nút bấm trong khi rất ít dùng.","0"
"Máy êm. Loa lớn. Chữ lớn. Pin lâu.","1"
"Pin trâu tùy theo cách sử dụng cửa mọi người .Âm lương ok Máy này chuyên cho người lớn tuổi và những người chỉ yêu câu gọi và nghe thì quá ok trong tầm giá này .Về chất lượng sản phẩm phải chờ thời gian trả lời .","1"
"","1"
"","1"
"","1"
"","1"
"","1"
