"data","label"
"Tôi sẽ không bao giờ quay lại mua thêm bất cứ sản phẩn nào của đmx,tgdd và của mobell, tôi đã mua hàng ở đây trong vòng gần 10 năm vì ngày trước dịch vụ bảo hành ở đây quá tốt, nhưng giờ nó rất tệ, tôi mua còn máy này cho bố mẹ dùng chưa được 1 năm thì máy hư, đem ra đi bảo hành và nhận lại máy vẫn hư, quá tệ","0"
"Cửa hàng có bán pin không ạ","1"
"Shop có bán pin không ạ","1"
"Đặt hàng online và chờ hơn 4 ngày để nhận được hàng, nhưng điện thoại không lên nguồn, không nhận tín hiệu sạc pin. Mới đặt về nhưng không thể sử dụng. Không biết bên bán hàng có kiểm tra tình trạng hoạt động của máy trước khi giao tới khách hàng hay chưa. Một trải nghiệm quá tệ.","0"
"Máy âm to, chữ lớn, thời lượng chờ của pin dài. Điểm dở là máy chỉ có 2 bản nhạc gần giống nhau nên khó phân cho 2 sim và chuông báo thức. Còn nữa, tin nhắn đến bị máy cắt khúc ra thành nhiều tin nhắn nhỏ nên việc xem tin nhắn khó khăn. Một lỗi nhỏ là máy được hẹn giờ tự mở máy sau khi tắt nhưng máy không thực hiện.","0"
"Dùng mượt , máy chữ to rất thích hợp cho người cao tuổi","1"
"Điện thoại mới mua 3 ngày. Sạc pin lần đầu tiên, máy không đầy pin. Lúc mua hàng nhân viên nói không rõ ràng giống lừa khách hàng. Nói là đổi trong tháng đầu. Giờ điện thoại mới mua 3 ngày hỏng muốn đổi thì lại nói gửi hãng kiểm tra hỏng mới đổi, hư phần mềm sẽ bảo hành không đổi. Mà gửi trong vòng 15 ngày. Ủa, người ta cần dùng mới mua. Rồi gửi máy hết nửa tháng lấy gì người ta sài. Quá tệ cho cửa hàng lớn","0"
"Loa to rõ, pin sài mấy ngày mới hết. Rất hài lòng","1"
"Có 1 cái hơi tiếc là loa trong không được lớn tại vì dành cho người lớn tuổi là mẹ mình còn mọi thứ còn lại điều ổn nói chung với mức giá không đòi hỏi gì nhiều","1"
"S","1"
"Tuyệt","1"
"mình mua về cho người già dùng, dùng ổn ạ","1"
"Pin tốt, Loa to, màn hình ngang to nên dễ nhìn.","1"
"Bth k đổi đc nhạc chuông","0"
"Ok","1"
"Vào nhà mất sóng","0"
"Ok","1"
"mình thấy tôt lắm","1"
"Dòng sản phẩm này dùng ok , âm thanh rất lớn, giá cả hợp lí","1"
"Xin hướng dẫn cách thiết lập quay số nhanh trên điện thoại Mobell F309 này.Tôi loay hoay mãi mà không được vì nó không giống như cách thiết lập trên Nokia","1"
"Máy dùng ok lắm","1"
"M mua tặng mẹ nghe mẹ nói là đẹp loa to ok. Còn bền ko thì sài thời gian mới biết đc","1"
"Rất tốt","1"
"Máy dùng tốt lắm","1"
"Loa nghe thoại cuộc gọi đến nhỏ","0"
"Sản phẩm dùng ổn","1"
"mình tìm nhạc chuông chỉ có chuông 1 ,2 thôi ạ . ko có nhiều máy bị vậy là bình thường hay bị sao ạ","0"
"Loa nghe k rõ","0"
"Mua tặng người thân nên cũng k có ý kiến. Hi vọng máy xài bền","1"
"Bình Thường","0"
"Dùng ok","1"
"Máy dễ sử dụng, nghe gọi rất tốt.","1"
"Tốt 1","1"
"Sản phẩm đẹp chữ to người già dùng rất tốt ,Cửa hàng chăm sóc khách rất nhiệt tình chúc ĐMX ngày càng phát triển!","1"
"Ok","0"
"Tốt","1"
"OK","1"
"Sản phẩm ok so với tầm giá , nhân viên bạn hàng lịch sử, chứ đáo","1"
"Nice","1"
"Vui vẻ nhiệt tình","1"
"Tôi sẽ giới thiệu sản phẩm này cho bạn bè nhé xin cảm ơn","1"
"Mình thấy sản phẩm rất tốt","1"
"Tốt","1"
"Mua nhiều lần ở điện máy xanh vạn mý rùi nhân viên rất chu đáo nhiệt tình. Sp rất tốt","1"
"Tốt. Hài lòng","1"
"Nv tư vấn rất nhiệt tình,sp dùng ok còn độ bền thì chờ thời gian mới nói dc","1"
"Hài lòng","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
