"data","label"
"Nghe gọi chập chờn, tự động ngắt cuộc gọi","0"
"Bán cái đt chỉ sài được ở trung tâm thị trấn còn đi ra khỏi thị trấn thì ko nghe gọi j đc hết. Ra tgdđ làm việc thì nghe gọi được tôi ko biết giải quyết sao","0"
"Tôi đã mua máy và cuộc gọi bắt sóng rất kém, gọi lúc được lúc không, có khi lại bị tình trạng thuê bao, máy 4G sóng còn yếu hơn máy thời xưa","0"
"pin nhanh hỏng kinh khủng","0"
"Tốt","1"
"điện thoại nói hỗ trợ 4g nhưng khi về lắp sim 4g thì lại báo đổi đt lên 4g là sao nhỉ.","0"
"Cho em hỏi em có mua máy này cho người nhà dùng, khi mua em hỏi rất kỹ nhân viên có bảo là hổ trợ 4g, nhưng về lắp sim vào thì k gọi được, có qua chỗ mua hỏi thì các bạn bảo đợi 1,2 ngày để cập nhật, đến nay 4 ngày rồi vẫn k được, khi gọi vẫn báo là máy chỉ hổ trợ 2g là sao ạ.","0"
"Sao không có chức năng tính tiền nhỉ","1"
"Máy loa to, phím số to còn có đèn nền rất tiện cho người cao tuổi. Lúc mới mua đt sụt pin nhanh lắm chưa được 1 ngày. Kiểm tra và tắt bluetooth và dữ liệu di động là quá ổn. Mn nhớ kiểm tra trong cài đặt nhé","1"
"Ok","1"
"Máy lỗi, hao pin nhanh","0"
"San phâm ok","1"
"Sài dc 2 ngày...hết pin","0"
"Ổn","1"
"Cài đặt quay số nhanh xong rùi tháo pin ra 10 ngày không sử dụng nó có mất tính năng quay số nhanh không ak","1"
"Ok","1"
"Mới mấy ngày","0"
"Ok","1"
"Sản phẩm còn rất tốt","1"
"Tốt","1"
"Ổn định okie","1"
"Chuông lớn, nghe to rõ trong tầm giá","1"
"Máy xài tệ. Mua cho ng lớn sử dụng, rất ít xài để k mà cứ cách ngày là phải sạc pin. Rất phiền lòng","0"
"Ok , chuông to","1"
"Mới dùng đc 1 tuần thử , sập nguồn ko biết vì sao , bin để ko dùng cũng chỉ đc 1 ngày Có hỗ trợ đổi máy khác ko shop","0"
"Tốt","1"
"Máy hay tự động khởi động lại, tự tắt nguồn. Dc cái loa to","0"
"Điện thoại giá rẻ Chất lượng tốt","1"
"Pin rất yếu, sạc đầy pin không dùng gì được có một ngày. Pin yếu hơn cả smartphone.","0"
"Điện thoại dùng ok","1"
"Tốt","1"
"Cho mình hỏi có thu cũ loại này không Mình mua gần 3 tháng","1"
"Ok","1"
"Nghe rõ chữ to","1"
"Sử dụng tốt, rất ok","1"
"Bị lôi mới đổi lại cái moi","0"
"Rất tốt","1"
"Tốt","1"
"Ok","1"
"Chưa sạc lần nào cục sạc đã hư","0"
"Mua lại máy đã qua sử dụng nói chung pin cũng ổn. Nhiều người đánh giá nói nhanh hết pin mặc dù không nghe gọi gì nhiều theo mình nghĩ chắc là tùy chiếc nhanh hết pin có chiếc không. Cũng tùy theo cách sạc điện thoại nữa. Đánh giá chung thì máy loa to nghe gọi rõ. Phím bấm nhẹ. Tuy nhiên máy chỉ có thể chụp ảnh và xem ảnh nghe nhạc chứ không xem được video và quay phim như thông số trên website của ĐMX đề cập. Một điều bất tiện ở chiếc điện thoại này là mỗi lần muốn xem nhật ký cuộc gọi đến hoặc cuộc gọi nhỡ thì phải vào phần cài đặt rồi chọn nhật ký cuộc gọi mới có thể xem. Về phần kết nối thì máy kết nối Bluetooth với tai nghe nhanh âm thanh rõ không bị giật hay mất tiếng. Cám ơn Đmx","0"
"Máy phổ thông mà pin khá yếu chỉ được 1 ngày dù nghe gọi rất ít","0"
"Ok","1"
"Điện thoại xài tốt anh giao hàng nhiệt tình vui vẻ","1"
"Rất Tốt.","1"
"Pin nhanh hết Không dùng cũng bị tụt pin nhanh","0"
"Ok cùi bắp sài khá tốt","1"
"Okokokokokokokok ok và ok","1"
"Pun dùng nhanh hết ngày nào cũng phải sạc trong khi dùng không nhiều","0"
"sản phẩm sử dụng ok","1"
"Bình thường","0"
"Máy dung ổn với tính năng","1"
"Điện thoại rất tốt.","1"
"Bình thường","0"
"Đt tệ lắm mới mua 2 ngày hư phim số 0 , nhưng bấm vài lần vẫn được nên làm biếng đi bảo hành. Nay đang ở bệnh viện thì nó gọi người ta nói ko nghe để chế độ rảnh tay cũng ko nghe, bấm gọi lại thì 20 30 s đầu còn nghe đc xong tắt ngấm lùn bực mình vai lun","0"
"Tưởng nút lờn ít ai dè nhấp miết mới ăn","0"
"Sp tot","1"
"Nhanh hết pin, không dùng một ngày đã hết","0"
"Hết pin quá nhanh","0"
"Sản phẩm rẻ đẹp bền, nhân viên nhiệt tình thân thiện","1"
"Có đèn pin mà k dùng dc","0"
"Máy xài tốt, gói bảo hành dài ngày, được giảm giá, nhân viên thân thiện!","1"
"Ok","1"
"Máy nghe nói to rõ ràng. Cảm ơn shop nhé.","1"
"Cái này pin hết nhanh tôi muốn đổi cái khác được không","0"
"Nhân viên nhiệt tình,vui vẻ","1"
"Nhân viên rất nhiệt tình. Giao máy hướng dẫn lắp đặt rất chi tiết.","1"
"Nhanh hết pin,dù ko sử dụng","0"
"Máy tạm ổn loa không to không nhỏ bàn phím thì hơi kém dùng lâu dễ bị liệt! Giá 390k thì tạm chấp nhận được. Các bạn nhân viên TGDD 207 Hùng Vương Long Khánh rất nhiệt tình","0"
"Tốt","1"
"Mua cho người lớn dùng mầ bất cật ghê. Pin yếu. Được cái bàn phím lớn, giá này nên thôi chấp nhận cho 3 sao.","0"
"Xịn","1"
"Sản phẩm tốt","1"
"Ok ttot","1"
"Pin của mẫu điện thoại này rất nhanh cạn nguồn sau khi xạc đầy mặc dù tôi không sử dụng.","0"
"Ok","1"
"Rất tốt","1"
"Sản phẩm tốt.","1"
"Loa to, pin ổn","1"
"san phan tot so voi tam gia","1"
"Ok","1"
"Mau hết pin. Mặc dù sạc đầy không sử dụng mấy","0"
"Ok","0"
"Cho mình hỏi cách tắt chế độ 4G đang hiển thị trên màn hình","0"
"Điện thoại tốt. Những nhanh hết pin","0"
"Về dùng được 3 hôm thì hư mic","0"
"Tot","1"
"Sp ok","1"
"máy sử dụng rất tốt","1"
"Tôi không xài tới điện thoại nhưng vẫn mau hết pin chỉ được một ngày so với những hãng khác thì chiếc máy này còn kém xa lắm","0"
"Tốt","1"
"Loa ro to, pin trâu xài 3 ngày","1"
"Nghe gọi tốt","1"
"Loa to","1"
"Pin nhanh hết","0"
"Sản phẩm tốt 10 điểm","1"
"Tốt","1"
"Tốt","1"
"Good 👍","1"
"Tốt","1"
"Làm sao để nhắn tin khi mà chỉ cho nhập số ứ ko nhập được văn bản","0"
"Ok","1"
"máy dùng tốt","1"
"Máy nhỏ gọn pin tốt, âm thanh tốt, chữ vừa đủ","0"
"Tốt","1"
"Xài ổn","0"
"Xài rất ổn!","1"
"Rất hài lòng","1"
"Tệ","0"
"Điện thoại mobell m239. Dùng bình thuong","0"
"Tốt","1"
"rat ok","1"
"Dịch vụ tốt , sản phẩm chất lượng, chuyển hàng nhanh, nhân viên lịch sự, tận tình. Rất ưng lòng","1"
"E hỏi mẹ rùi mẹ bảo dùng ok😄😄😄","1"
"Tốt","1"
"Vừa mua đc hơn tháng hỏng gửi đi bảo hành về đc mấy hôm lại hỏng","0"
"Máy dùng tạm được. Âm thanh đàm thoại nghe không chuẩn lắm.","0"
"Sản phẩm ok","1"
"Sản phẩm được thái độ phục vụ tốt","1"
"Cho mình hỏi máy pin dùng dc mấy ngày thế","1"
"Chuông to rất ưng","1"
"Sau một thời gian sử dụng thấy loa trong rất nhỏ, nghe gọi không rõ","0"
