"data","label"
"Mua 2 cái 1 cái sài mấy tháng BH kêu vô nước không BH. Cái thúe 2 cũng mấy tháng BH tiếp tục bảo vô nước không bảo hành. Ở đây giờ bán đồ mã hay sao vậy. Nếu nó dt trung quốc thì đùng bán nó còn thua cái 1280 không. Dịch vụ tệ, sản phẩm tệ","0"
"Pin nhanh hết dù ko nge gọi, chỉ dc 1 ngày hoặc hơn 1 chút. Ko dc 2 ngày bao giờ. Khá thất vọng nokia thua cả mấy cái dt tàu","0"
"Điện thoại gọi tới không hiện tên người gọi, mặc dù đã lưu số điện thoại. Chỉ cách khắc phục được không ạ.","0"
"Rõ ràng sản phẩm có tặng thêm thẻ nhớ và tai nghe nhưng giao hàng lại không có. Và hộp giao như hình. Tại lúc đó đặt cho mẹ ở dưới quê nên mình không kiểm tra lại và quên việc này. Nên mới nhớ lại và feedback","0"
"Loa to, nghe nhạc hay. Pin nhanh hết, lắp 2 sim chỉ đc 34 ngày nếu nghe gọi ít. Thiết kế nhỏ gọn cứng cáp, cổng sạc theo chuẩn micro usb khó cắm sạc","0"
"Mua cái thứ nhất mỗi lần bỏ đt vào túi thì gọi đến thuê bao. Ra đổi sang cái thứ 2 vì còn bảo hành thì vẫn bị như vậy","0"
"Mới dùng hơn 1 tháng đã không lên nguồn, gửi hãng báo lỗi do hãng sản xuất vậy mà thu lại với giá thấp hơn lúc mua rất nhiều. Điện thoại phổ thông chứ đâu phải smartphone, chẳng lẽ trong 1 tháng ngồi bấm nó liên tục như đt cảm ứng đến mức may xuống cấp để rồi thu lại với cái giá chán chê, khách hàng tin tưởng muốn mua sử dụng lâu dài để rồi lỗi sản xuất thì chính khách hàng phải chịu thiệt.","0"
"Sạc thì hơn 3 tiếng mới đầy pin.để máy như như vậy 2 ngày thì hết pin.hỏi nhân viên thì kêu máy sài mạng 4g nên mau hết pin,vậy sao cái máy cảm ứng để nghe gọi không vẫn sài được 4 đến 5 ngày nhân viên chả biết gì hết trả lời cho qua loa giới thiệu thì kêu pin trâu,trâu chỗ nào trâu nghé hả. Làm ăn thấy chán dẹp tiệm đi là vừa","0"
"SP tốt,dùng ổn,giá tốt","1"
"Khi nghe gọi và nhắn tin , hoặc hộp thư đến tiếng chuông điện thoại reo to lắm nhưng cũng okie dùng đc 4 tuần rồi pin thì trâu ko thấy lỗi gì cả","1"
"Quá tệ. Đó ko dùng đc. Phải tháo sim. Full vạch sóng mà gọi đến toàn báo thuê bao.... Đến cửa hàng TGDD đc hướng dẫn tháo pin... Quá mất tgian. Mua máy để nghe và gọi. Nhưng gọi tới thì ko đc.","0"
"Cái dt k đáng bao nhiên tiền, nhưng chi phí để tôi đi lại sửa chửa và chờ đợi nó gấp đôi cái giá tiền tôi bỏ ra mua","0"
"Pin tụt nhanh quá, 1 ngày không dùng mà cũng hết pin nữa","0"
"sao mình điện người ta khôn đổ chuông","0"
"người ta gọi tới ko hiển thị tên mặc dù đã lưu ten trong danh bạ. chỉ mình cách khắc phục đi ạ","0"
"Nghe gọi rõ, pin trâu","1"
"Sản phẩm rất tệ, không hiển thị được tên người gọi. Không kiểm tra san phẩm trước khi tới tay khác hàng. Thiếu trách nhiệm.","0"
"Có tính năng quay số nhanh không Sao mình đã gán số vào rồi nhưng k dùng được","0"
"sạc theo máy để là 5w nhưng thực tế chỉ có 2.75w hỏi nhân viên thì nói không biết","0"
"ok mà hơi khó thao tác phím","1"
"Sản phẩm ở mức trung bình. Sp hơi khó SD với người già. Chứng năng khóa màn hình hơi cùi. DV nhanh chóng, giao nhanh trong vòng 24h. Rất đáng để mua. Ăn đứt vt giao trong vòng 35 ngày.","1"
"chất lượng thì k biết như nào nhưng máy êm, đèn pin hơi tối, máy nhẹ, ngoại hình đẹp k chổ chê.","1"
"Điện thoại tốt, pin trâu, mua cho ng lớn tuổi dùng rất ok.","1"
"Chữ hơi nhỏ, người lớn tuổi xài sẽ khó nhìn chữ","0"
"Máy nhỏ,gọn, đẹp","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
