"data","label"
"Ưu điểm pin sóng khoẻ, nghe gọi to rõNhược điểm hệ điều hành ngu ngu, xử lý chậm, bấm mở khoá nhiều lần mới sáng màn, mở khoá xong lại vào thẳng menu hoặc phím chọn nhanh. Thoing tin web có ghi âm cuộc gọi nhưng tìm mãi cài đặt không thấy","0"
"Lúc đầu dùng còn tạm ổn,sau khi update firmware lên thì font chữ tin nhắn to tổ bố,đọc rất khó chịu,menu chuyển thành thực đơn, chứng tỏ người làm firmware rất cẩu thả. Máy nhanh trầy,móp. Không biết cửa hàng có thể liên hệ với hãng để tôi hạ về firmware ban đầu của máy được không","0"
"Các game trong đt Nokia đều không xóa hoặc ẩn đi được. Cái chê lớn nhất của mình về dòng Nokia bàn phím . Trẻ em bấm vô mua game lượt chơi bị trừ tiền oan bởi các game mặc định không xóa được này.","0"
"Điện thoại Nokia tốt hài lòng với sản phẩm.","1"
"Hầu hết các chức năng cơ bản của điện thoại thì dùng ổn. Gọi nhắn tin OK, ghi âm cuộc gọi lẫn thường nghe cũng ổn. Về phần game ngoài thì có rất nhiều game, không xoá được, rất nguy cơ bấm nhầm mua. Có một số game không mua được do vẫn dùng đầu dịch vụ 9029 để thanh toánkhông phải mỗi con này mà kể cả con 220 4g, 110 4g, 105 4g và những con khác gần đây của Nokia đều bị. Camera thì ghi là 2mp nhưng chất lượng quan điểm của mình không giống 2mp tí nào, quay video thì điều kiện đủ sáng mới ổn. Trong điều kiện thiếu sáng dù bạn có bật flash thì video vẫn sẽ tối không nhìn thấy một tí gìkiểu khi đang quay thì bạn vẫn thấy sáng ổn nhưng nhấn kết thúc quay ra xem video thì video tối om không nhìn thấy chi tiết gì ra gì. Đèn flash điện thoại chiếu rộng nhưng sáng cực yếu, yếu hơn con đời trước như 210 hay 110 4g. Ứng dụng trong portal thì tệ, xem Youtube/shorts thì rất hay bị đứng hình, chơi mấy game cloud thì giật lag kinh. Các bạn xem máy này thì thực sự nên cân nhắc kĩ, vì quan điểm mình thấy giá máy không hợp với chất lượng máy chút nào","0"
"Điện thoại kém chất lượng, quá trình sử dụng bth k va chạm vỡ mẻ cong vênh bên ngoài mà bên trong vỡ được màn hãng và điện máy xanh không bảo hành. hãng không một lời giải thích. điện máy xanh mặc định báo không hỗ trợ vì bên trong vỡ mà k đánh giá lại đienẹ thoại bán ra có đảm bảo chất lượng khôngmua tiền triệu đienẹ thoại phổ thông mà độ bền không có giá cao.Hãng cũng k giải thích lí do tại sao bên trong vỡ bên ngoài k sao , cũng không sửa chữa khi máy khách hỏng chỉ giải thích cái này e k biết được ạ và quy định bên em","0"
"Điện dùng tốt tôi thích.","1"
"Nokia 3210 dùng OK vào được YouTube Facebook rất ok thêm cái Zalo là nhất rồi","1"
"Làm thế nào để tắt âm bàn phím","1"
"Điện thoại bị hở sáng màn hình đổi mới được ko","1"
"Nhà sản xuất cố tình cài các con game tào lao nhằm chiếm đoạt tiền của người sử dụng. Thiết bị này hướng đến những người lớn tuổi ít hiểu biết về công nghệ nên nó không khác gì 1 cái bãy đây là 1 sản phẩm tồi tệ và không nên mua. Cảm giác khi mua hàng giống bị lừa thế giới di động nên cảnh báo đến người mua hàng về những hiểm hoạ khi sử dụng sản phẩm.","0"
"Chưa kịp dùng đã hỏng.Sạc không vô pinĐã gửi đổi trả, nhưng lại hết hàng.","0"
"Máy cầm nắm chắc chắn , mẫu đẹp , gắn dc 2 sim và thẻ nhớ . Thấy a j đó trên kia commen là ko gắn dc 2 sim , chắc nhầm hay sao á chứ . Ko gắn dc thì để nhờ ngta hiểu biết gắn cho a nhé . Xin cám ơn .","1"
"Sau vài ngày sử dụng Nokia 3210 4G Riêng mình chủ yếu gọiNgheNhắn tinCó nhận xét như sauThiết kế mẫu đẹp.Pin chờ hơn 10 ngàynếu ko đụn tới máy,xuống pin 10%Cuộc gọi tới Rung bình thường,ko mạnh lắm,Loa đàm thoại tạm ổnĐồng bộ dánh bạ Andror nhanhNhân viên sạch sẽ,thơm tho và rất nhiệt tình,tư vấn Ok,rất hài lòng nhân viên. Khuyết điểm máyĐồng bộ danh bạ máy cùi bắp,bắt nhận lâu,Giới hạn cước cuộc gọi khó chỉnhĐang gọi,bấm thoát ra màn hình 9,ko bít đâu tìm lại số đang gọi.bị ẩn nhưyoutobe tắt màn hình vẫn hát áCái ko hài lòng là TIN NHẮN tới mở ko ra hết tin nhắn.nhấn đúp vào tin nhắn vẫn ko xem đc Nội Dung tin nhắn.Muốn xem đc chọn Chuyển Tiếp.mới ra hết nôi dung tin nhắn.Ráp 2 sim,sẽ ko ráp đc Thẻ Nhớ,ko thì sài 1 Sim+1The nhớTạm chấp nhận vs Nokia này","1"
"Trước mắt thì OK","1"
"Tốt","1"
"Mua hôm 18/6 dùng được 10 ngày cảm nhận, máy thiết kế đẹp sang trọng, nhỏ gọn và chắc chắn, phím bấm êm, loa đàm thoại to rõ. Đặc biệt rung mạnh, chuông to, mình gọi nhiều ngày tần 30 phút. Pin dùng đc 2,5 ngày.","1"
"","1"
"","1"
"","1"
