"data","label"
"Gọi thoại rất chán, đang gọi tự tắt, chỗ mà kém kém 1 tí là đang thoại 4g lạc về 2g là mất cuộc gọi luôn","0"
"Xài cũng được, bé nhỏ đặt pass rồi quên mật khẩu, có mở khóa được ko ạ","1"
"Điện thoại sạc đầy,không sài tới chiều vẫn hết pin ạ","0"
"hi shop, dt em mới mua về nhưng cuộc gọi đến hiện tên người gọi chỉ 1 2 giây, đến giây tiếp theo là chỉ còn số điện thoại thôi. Đó là bị lỗi hay sao vậy ạ Nếu lỗi vậy em có được đổi sản phẩm k","0"
"Sao mình vào cloud phone. Chi đk 1 lần duy nhất. Còn mấy lần sau nó báo mất kết nối 08 là sao ạ","0"
"Máy tụt pin rất nhanh, để chế độ tiết kiệm pin ko dùng chỉ cần để qua đêm ngày hôm sau tụt khoảng 1/4. Ko nghĩ là con đt này tụt pin nhanh hơn cả smartphone","0"
"Xin cho hỏi TGDD có thay màn hình Nokia HMD 105 4G không","1"
"Mua cho ông ba xai, moi thư cung đươc, nhưng phim radio ngoai man hinh chinh không bo đi hay đôi qua chưc năng khac đươc. lơ bâm vô rôi chơ tăt đi cung rât bât tiên, radio cug không con nghe đươc kênh nao, đây la khuyêt điêm lơn nhât cua model nay.","0"
"Mình cũng đang dùng nokia HMD,nhìn chung máy cũng dễ xài,pin cũng tạm được,làm máy phụ cũng ok phết.","1"
"Chưa bao giờ thất vọng về đmx như bây giờ, mua máy về cho cha sài, sạc đầy nghe chưa đc 5 phút cuộc gọi, k sài bấm gì hết nhưng 1 ngày đã hết pin, ra đổi thì nhân viên bảo máy nào cũng vậy, trong khi tui sài cảm ứng bật wifi 3g suốt nếu k lướt web thì 1 ngày cũng k hết đc 50% pin. Chắc từ bỏ điện máy xanh từ đây","0"
"Pin trâu nha mọi người.","1"
"Chỉ được ngoại hình đẹpChức năng Chuyển tiếp Tin nhắn Không cóDanh sách tin nhắn khó tìm, không lọc từng tin nhắn trong 1 liên hệ, danh sách các tin nhắn trong 1 liên hệ không được tách riêng ra như 230Pin trâuKhông biết kích hoạt máy kiểu gì mà nạp tiền vô là bị trừ bay hết, trong khi chỉ đăng kí funring","1"
"mới xài đc mấy ngày điện giờ hết đc người khác điện đc mình điện lại ko đc","0"
"Pin trâu . Khui hộp , lắp 1 sim vào, chỉnh âm lượng chuông 6/9 , để 1 tuần rồi mà chưa hết pin , trong khi pin có sẵn theo máy chỉ mức 50% . hiện tại còn 25% pin sau 1 tuần . Tôi thấy pin này trâu không gì máy 2g trước kia. Chức năng cũng dễ sử dụng","1"
"Cho hỏi TGDĐ có hỗ trợ thay màn hình không ạ","0"
"Rất tin tưởng khi mua đồ điện tử từ Thế giới di động. Chính sách bảo hành rất tốt.","1"
"Máy này phải của nokia không vậy. Không thấy 1 chữ nào nokia luôn, cũng ko có nhạc chuông nokia","0"
"10/10, mua 2 con cho Tía Má, 1 con xài được liên tục 14 ngày vẫn còn pin, còn con kia mới 5 ngày đã hết pin. Tình cờ phát hiện cách xài pin lâu, đó là mọi người vào cài đặt, chỗ cấu hình chọn loại mạng 4G/3G/2G, 3G/2G, 2G, mọi người chọn dòng ở giữa 3G/2G là xài mượt mà nửa tháng mới cần sạc còn để mặc định dòng đầu tiên thì nó sẽ tự chọn 4G, mà 4G thì hao pin kinh khủng","1"
"Trong điện thoại có ứng dụng game KHÔNG THỂ XÓA. Trẻ Chỉ nhấn vài là tự gửi tin nhắn trừ tiền. Tức không thể đập vì còn phải dùng...phím giữa bấm dễ bị cùng chạm vào phím điều hướng.phím chọn phải không thấy chỗ đổi, mặc định là vào radio. Tôi muốn đổi thành nghe nhạc đèn pin hay cái gì đó không phải radio, mở vào radio xong không biết tắt như nào, bấm giữa nó có tắt tiếng nhưng vẫn hiện trên màn hình chữ radio kiểu chạy nền...pin nếu không để chế độ tiết kiệm pin thì pin hao hơi nhanh hơn 1 ngày là sạc mặc dù đã tắt dữ liệu di động và bluetooth...","1"
"Sao Nokia hmd 105 4G mà chuông ĐT Nokia k có ta... cho hỏi hàng này đúng hàng 9 hãng Nokia không","1"
"Cấu hình quá tệ . Khoá bàn phím mà cấn như ko khoá","0"
"Sản phẩm tốt trong tầm giá, loa thoại to rõ, pin trâu, màn hình rõ đẹp .","1"
