"data","label"
"Đánh giá này dành riêng cho Các bạn Bán hàng DMX222 hùng vương Tuy Hòa Daklak nha.Cảm ơn các bạn vì các bạn rất nhiệt tình và chu đáo. Rất thích các bạn","1"
"Máy mới mua chưa tới một tháng nữa mà giật lag tạp vụ thì chậm, pin thì nhanh hết.... Cam thì lúc rõ lúc ảo... Chán nhờ nhân viên hỗ trợ với ạ","0"
"Con này nó cứ bị quảng cáo thì có đổi đc k ad","0"
"Bên mình gọi lại cho em nha. Em thấy số mà em ddang bận ạ","0"
"máy lag quá ạ","0"
"Miếng dán màn hình lúc mua điện thoại dán sẵn, hiện tại mình mún dán lại thì giá bao nhiêu v ạ","1"
"Điện thoại quá kém tác vụ thì chậm pin thì bị ảo 80% mà sài đc 2 tiếng tuột còn 15% chơi game thì lag chụp hình thiếu ánh sáng tí thì chụp mờ ko thấy được gì nói chung cảm nhận rất tệ","0"
"Đt chậm,nhanh nóng máy,so với các dòng khác của oppo thì con này dở nhất từng dùng.đc mỗi cái sạc nhanh.","0"
"điện thoại này khá là tệ nha, pin thì ổn, sạc nhanh, nhưng rất lag, chủ yếu là dùng zalo nhưng mở zalo mãi 1 lúc lâu mới hiện lên bàn phím, rồi bấm tn thì 1 lúc sau nữa chữ mới chạy, có khi không chạy luôn, dù có mạng đầy đủ nhưng messenger lúc dùng được lúc không, đa số là ở tình trạng đang đợi mạng, gỡ ra cài lại làm đủ cách nhưng không cải thiện, màn hình lướt giật giật kg mượt, vào ứng dụng gì cũng load chậm, chụp ảnh thì rất tệ, khá thất vọng, đã mua 3 tháng không biết điện máy xanh có thu lại không, tôi muốn đổi cái khác, cùng tầm giá này xiaomi xài mướt hơn nhiều","0"
"Camera tưởng đâu thời trước, nó rất mờ và thật tệ huhu. Xem như vứt tiền qua cửa sổ rồi","0"
"Làm sao để tắt và mở bằng cách nhấn liên tục trên màn hình , máy chỉ có thể nhấn liên tục khi mở","1"
"Mua hồi thág 9 Sài tới giờ rất thích sử dụng cơ bản hàng ngày mượt mà tầm giá 5,290 A3 128gb còn pin tạm ổn sạc nhanh rất oke. Sài máy không nóng thích chíp Snopdragon 6s này rồi 5sao.","1"
"Mua đc 3 ngày pin tuột phải đổi máy mới, nay xài đc 1 tuần tuột tiếp. Tệ quá.","0"
"Chị mình đang dùng nên chỉ mình mua, máy oppo này màn hình sáng, loa hay lắm","1"
"Máy đẹp, xài ổn và bền","1"
"Mình mua đk 2 tháng giờ muốn đổi sang samsung a16 ko biết bên mình có hỗ trợ không","0"
"Mình mới mua gần 1tháng có thể đổi lại đc không máy không hỗ trợ được những chức năng mình cần","0"
"Ae đừng nên mua dòng này, tốn pin, máy lag nói chung là thua xa dòng Redmi cùng giá","0"
"Mới mua dc 10 ngày giờ đổi lại mất bn % vậy","0"
"Máy mới mua, pin 5100 mà sao tụt pin nhanh vậy có đc đổi trả k ad","0"
"Tuột pin nhanh. Rồi mới mua 8gb 128 mấy ngày Tuột giá bằng 6gb 128 luôn.","0"
"Mới mua hôm mùng 4 giá 5290 nay xuống 4990 Giá cả vớ vẩn thật","0"
"Mới mua được 2 ngày máy tụt pin nhanh 2 phút sút 1%","0"
"Máy mượt, pin trâu, chụp đẹp. Loa nghe to rõ hay","1"
"","1"
"","1"
