"data","label"
"mua về không sử dụng cũng tụt pin ầm ầm gọi nhân viên. nhân viên bảo đấy là điều bình thường. mua rất nhiều ở tgdd mà lần này tệ thật","0"
"Lưu sđt vào sim bằng cách nào ạ","1"
"Sống đt cuộc gọi không ổn","0"
"Giá này thì quá ngon. Bản 4/64 được chọn khuyến mại giảm 400k còn 3100k. Máy dùng ok với mức giá ngon.","1"
"Xài mới 1 tháng máy chậm rì thua cả đt cũ mua 5 năm . Oppo làm ăn chán . Bỏ tiền mua đt mới còn dỡm hơn cả đt cũ ng ta bán . Mua nên cân nhắc","0"
"hơn 3 triệu vậy tốt rồi nếu có kết nối NFC nữa là khỏi chê luôn","1"
"Tôi mua được mấy tháng rồi, trước đó sử dụng facebook được. Nhưng hôm nay đăng nhập vào facebook thì không được cứ nhảy ra ngoài màn hình. Bạn tôi mới mua cũng gặp tình trạng như vậy","0"
"Điện thoại chất, màn hình đẹp nên mua nhe","1"
"Máy rất nóng và lag nha","0"
"không biết là máy mình có lỗi không chứ để thông số kĩ thuật là 5100mah mà mình dùng 85% pin từ tầm 4 tiếng là cạn r ạ Dùng vẫn oke vừa tầm giá , mình không hay chơi game nên không đánh giá được máy này khi chơi game có oke không . Nhưng khi dụng bth thì vẫn mượt","1"
"Tôi hối hận vì không tìm hiểu kỹ cái máy này.Quá yếu load YouTube tận 5phút mới phát video.Mạng wifi đầy sóng. Máy mua để nghe gọi xem Youtube, zalo. Không dùng Facebook mà nó yếu rất yếu.Thêm cáu không ghi âm tất cả cuộc gọi, bật ghi âm thì qua hôm sau tự tắt, phải vô bật lại.Máy này rất là tệ.","0"
"Máy tụt bin nhanh sạc 94% màn hình sáng 4h15 phúp đã tụt còn 33% hình như máy bây giờ bin đều kém vậy bữa trước mua xiaomi 13 được 5 hôm đổi máy oppo cũng thế trước mình dùng xiaomi not 9s rất trâu","0"
"mua được 2 ngày cảm giác hiện tại ổn,,lâu lâu vẫn bị đơ tí ko sao,kể ra có kết nối NFC và ứng dụng quay màn hình thì ngon","1"
"Máy mới nên ứng dụng chưa được trơn chu lắm Sài tầm vài ngày là ổn định tác vụ Vân tay khuôn mặt nhanh ok Pin ổn","1"
"THẤY QUẢNG CÁO CHIP NGON, MUA VỀ SỬ DỤNG CHƯA TÓI 3 TUẦN RA BÁN LẠI CÒN 2,3T . AE CÂN NHẮC KHI MUA MÁY NÀY NHA, CHỈ CÓ SD ĐC YTB VÀ ZALO LÀ ỔN THÔI, CHƠI TIKTOK VUỐT LÊN CẢM GIÁC GIĂT LÁC KO MƯỚT, CÒN LIÊN QUÂN THÌ THUA CHIP t606 NỮA","0"
"DMX làm ăn quá tệ Máy vào Facebook hay lướt tiktok thì bị đá ra, tin nhắn sms thì k nhận được, mang ra cửa hàng để khắc phục thì nhân viên bắt chờ cả tiếng đồng hồ cũng k khắc phục đc. Khi KH muốn đổi qua mẫu khác thì bắt chịu phí 20% trong khi mua máy thì hót rất hay bảo 1 đổi 1 trong 30 ngày k hề nhắc tới chuyện đổi trả phụ phí 20%. Đây là 1 trải nghiệm rất tệ và đây cũng là lần cuối cùng tôi mua hàng ở dmx và tgdd vừa phí tiền vừa tốn thời gian","0"
"Mới mua máy này được 2 ngày mà sao vô gg lại tự thoát ra và màng hình hơi mờ chữ, muốn đổi con khác có lổ ko và bao nhiêu phần trăm vậy","0"
"Máy mới mua mà vào ứng dụng FB Zalo toàn bị thoát ra.khi viết bình luận này cũng bị thoát ra 3 lần , thất vọng quá, a c TGDD kiểm tra cho e với ạ. E chưa cài ứng dụng gì nhieu cả, e đã tắt hết ứng dụng nền mà vẫn bị","0"
"Máy vô gg ảnh chỉnh sửa bị out ra ra sthi kiểm con nào cũng y như vậy Mà bắt khách hàng lỗ 20% Ủa là sao Máy lỗi mà Chính sách nên coi lại Máy tụt pin nhanh máy đơ K thoả đáng thất vọng tràn trề về TGDD đmx Mua ở đây k dưới 10 con đt Càng ngày càng tệ Gọi lên khiếu nại thì nói kiểu như lập trình nói đi nói lại có 1 câu Đổi cùng model cùng SP màu này nọ Dạ thưa nó bị nguyên cái seri nó luôn nha Đổi con lỗi y NV nữa đổi chi","0"
"Mik mua được 2 tuần sử dụng máy này chip yếu máy lag so với máy cùng ram 4g màng hình 90z quá tệ có cũng như ko xem fb lag quá. Đc cái sạc pin nhanh sài lâu hết pin.tầm giá này bù mua samsung ok hơn.","0"
