"data","label"
"Mình mua ở TGDD pin5800mh mà dùng nhanh hết quá. Sạc siêu nhanh mà hết một Tiếng 30 phút mới đầy pin 100%. Nghe giới thiệu tin tưởng ai ngờ","0"
"Mình mới mua đc 5 ngày, trước mắt thấy OK tất cả ko có lổi gì","1"
"Cường lực tệ, dây USB rơi nhẹ vào là lõm ngay","0"
"Gọi thường không được dù vẫn báo sóng 4G căng","0"
"Mới mua 1 đêm sai chút xíu nóng máy muốn đổi sang khác vẫn phải mất 20% sao ạ","0"
"Dùng tạm ổn nhưng pin nhanh hết. Giờ e không muốn sử dụng nữa shop mua lại giá bao nhiêu ạ","0"
"Quay video xong Vào xem lại máy rất chậm phông chữ cũng rất nhòe tầm tiền vậy mua con sam sung dòng A thì ok rất tiếc lần này lại mua oppo","0"
"Mới mua 2 ngày thấy pin 5800 gì mà dùng xíu buổi sáng hoặc buổi tối là hết pin rồi","0"
"Nv thế giới di động giờ làm việc rất tệ, cứ nghĩ vào thế giới di động mua đắt chút nhưng yên tâm, nhưng có khi không bằng bên ngoài, khách ra mua dt lừa bán dt dán kính cường lực trước rồi, về Sài có vấn đề bảo đổi thì kêu trừ 2tr, mới Sài có 1 ngày","0"
"Chạy vậy hoài","0"
"Sai lầm khi mua con này.thứ nhất với tầm giá này thì nhiều con khác có màn amoled fulhd con này chỉ hd bể ảnh hết.thứ 2 chính sách tgdd ko ổn ,mới mua máy xog qua 1 đêm muốn đổi con khác thì mất phí 20% tương đương 1tr750k nản thiệt chứ.mọi người nên cân nhắc","0"
