"data","label"
"Lúc mới mua về Sài OK ... cái cập nhật phần mền nên...xong sao mà nó lắc dữ thần....game lắc ko chơi đc...coi YouTube cũng bị lắc... có cách nào khắc phục ko .... Lúc còn phần mềm android 14 Thì ko sao .cập nhật lên Android 15 sao mà tệ quá","0"
"Điện thoại a58 nghe gọi video quá tệ","0"
"Nói thật chứ các bạn dùng ntn, chứ tôi thấy khá tệ nghe gọi rất bực lúc nghe đc lúc không nghe đc nhất là 2 cái oppo gọi cho nhau.","0"
"Chương trình phát dưới nền bị mất phải làm sao để xài tiếp.","1"
"Sai lầm khi mua Oppo.xài mới hơn tháng bị nám màn hình","0"
"Điện vậy mà ko có chức năng quét NFC thật là ngu ngốc. Hôi hận khi mua","0"
"K","1"
"Rất tốt ạ","1"
"Thấy dùng ổn Chủ yếu nghe gọi nên ko đánh giá chi tiết","1"
"Mua về dùng chưa được tháng mà pin tụt kinh khủng khiếp. Sạc 33w mà sạc cũng chả nhanh lắm. Sạc xong máy nóng bỏng tay luôn. Dùng liên tục tầm hơn 1 tiếng mà vào fb lướt là giật đùng đùng. Đã ra đổi lại máy khác. Máy mới pin đỡ tụt hơn cái kia nhưng cũng không ngon nghẻ như các dòng android đã dùng trước đây. Gọi video tầm 30p là nóng máy luôn. Lúc đầu định tìm mua đt của Realme hoặc Samsung mà vào gặp bạn nhân viên hãng của Oppo cứ tư vấn vài câu lại chê mấy hãng kia thế nọ thế kia. Cuối cùng tôi mua hàng hãng Oppo này theo tư vấn của nhân viên hãng mà thất vọng quá thể","0"
"Có lời nguyền vs liên quân chơi tý là báo nóng ngắt ứng dụng cho dù gắn thêm quạt chán chả buồn nói","0"
"Đẹp và mạnh mẽ","1"
"Nhân viên tính thêm tiền bảo hiểm gì đó. mình thấy trên trang dienmayxanh không có phí bảo hiểm không phí hồ sơ.","0"
"Điện thoại mau hết pin mình mới mua 1 tuần có đổi lại mất bao nhiêu","0"
"sản phẩm xài tốt đánh 10 trận liên quân tốn 36% pin","1"
"OK sản phẩm tốt đó","1"
"Cho mình hỏi tại sao app gọi điện, nhắn tin lại như vầy ạ, ô số 1 là app của google, còn ô số 2 là app mặc định từ nhà sản xuất. Nhu cầu của mình là chỉ dùng app của nhà SX thôi, đt mình vừa mua về xem lại thì chỉ có app nhắn tin là app mặc định, tìm app gọi điện mặc định trên máy nhưng không có. Ad giúp mình ạ","0"
"Sản phẩm tốt","1"
"Dùng tốt trong tầm giá","1"
"Mỗi mùa","0"
"Mất tính năng phát dưới nền r nay loa bị rè hư loa luôn nản thiệt chứ tết r sửa sao sài đt nghe nhạc","0"
"mình định mua Realme C67 nhưng nhân viên tư vấn OPPO A58, đến khi check lại thông số thì lại thấy Realme C67 có phần nhỉnh hơn, hơi thất vọng","1"
"Shop, sản phẩm bên điện máy xanh đã sử dụng đc hơn 3 tháng, lúc đầu có tính năng phát dưới nền YouTube có, nhưng giờ mất phải làm sao ạ. Mong nhân viên bên shop hỗ trợ giúp. Cảm ơn","1"
"máy mình vừa mua bên điện máy xanh giờ không dùng nữa bên điện máy xạn có thu lại không ạ","1"
"Pin mau hết sài bình thường lúc sài lúc không mà 12tiếng là hết r. Đến chi nhánh mà nhân viên k cho đổi","0"
"Máy mượt màng hình to loa khỏe pin cũng ok lắm wifi 4g tất cả đều ok hết Nhân viên tư vấn nhiệt tình","1"
"Cho minhhoi tắt nguồn điện thoại ở đâu vậy Máy màu không thật cho lắm","0"
"đt A58 màu màng hình rất tệ. Màu đã xấu với gây ra đau mắt nữa.rất hối tiếc khi mua đt này với giá 5.490","0"
".","1"
"Bắt wifi chậm. Cảm ứng màn hình tệ, double tap để ság màn hình mà phải làm 3 4 lần mới sáng. Bàn phím nt bị lag, đag bấm chữ cứ bị đơ hoặc mất khung bàn phím luôn. Ko biết có nên ra tiệm để đổi máy khác ko, vì nhà mình xa","0"
"Rất OK","1"
"Moi dùng được 1 ngày mà pin màu hết quá.wf thì bắt mạng rất kém.co thể đổi qua dòng máy khác được không ạ","0"
"Mua sử dụng đc 3 ngày. Pim 5000 mà mau hết pin quá mình k sử dụng liên tục mà chưa hết ngày đã hết pin.","0"
"Điện thoại sài nhanh hết pin quá còn lại mọi thứ đều ổn","0"
"Sản phẩm tốt hơn mong đợiRất mượt mà Camera đẹp","1"
"Điện đẹp sài ok lắm mà có cái nó màu hết pin quá đi ạ ko biết có bị gì hôn hay là điện thoại nó vậy mới góp chưa đc tuần ạ","1"
"mình mới mua oppo a58 này hồi chiều mà giờ muốn đổi lại vivo y36 cùng giá ấy vậy có đổi được không DMX","1"
"Sạc 33w mà từ 50% đến 1h mới đầy, nói NV ĐMX thì quản lý bảo do nhiều ứng dụng chạy ngầm,trong khi đó những dòng khác chạy ngầm sạc vẫn nhanh,vào mấy ứng dụng mua hàng mà chậm,hay lag,loa to nhưng dễ bám bụi,h hk biết sao vệ sinh.","0"
"Thấy không ổn ở chổ định vị thời tiết. Ở Trà Cổ Tân Phú mà định vị hiện thời tiết ở Võ Đắt Bình Thuận sáng thức dậy báo trời đang mưa trong khi không mưa. Ít ra cũng phải định vị ở Tân Phú chứ. Ra đmx thì NV nói là Oppo đt nào cũng định vị như vậy vì đmx ở TT Tân Phú nó định vị ở Phương Lâm. Cái đt cũ của mình hiệu khác rẻ tiền hơn mà còn có khả năng định vị đúng mà. Chẳng lẽ điều này Oppo không làm được với cái giá đt mới gần gấp đôi cái đt cũ của mình còn làm được Thất vọng mong tương lại Oppo sớm cập nhật để cải thiện đi. Có 2 nhân viên 1 là NV Oppo rất nhiệt tình tế nhị còn xin lỗi khách hàng vì trãi nghiệm không vừa ý hứa sẽ hỗ trợ sớm khi có cập nhật mới 10. Còn 1 nhân viên đmx có lẽ là quản lý thì luôn nói mấy lần câu do đt Oppo nào cũng vậy c mở lên gg map định vị đúng là được thời tiết không ảnh hưởng gì hết. Mình không đồng ý. Sao mà không ảnh hưởng được đây trong khi đang ở tỉnh Đồng Nai báo địa chỉ và thời tiết ở tỉnh Bình Thuận. Nội không việc bỏ ra số tiền gần gấp đôi cái đt cũ mà không có được chức năng đơn giản chính xác như cái đt cũ vẫn đang làm tốt là mình thấy thất vọng r. Còn thêm cái dụ c thấy gg map đúng là được thời tiết không ảnh hưởng...haizz đợi tới ggm sai thì còn gì để nói đối với a không ảnh hưởng nhưng với khách hàng là t rất ảnh hưởng. Cách a nói vầy nhiều lần làm khách hàng cảm thấy a thấy khách hàng có vấn đề kkkk. Nên học hỏi cách xử lý vấn đề của nhân viên Oppo. Trong khi đó là điều cơ bản oppo phải làm được như các đt khác rẻ tiền hơn còn làm được. Thất vọng Oppo 1 thất vọng cách a xử lý x10.","0"
"Máy xài tầm 40p nóng máy, ra tgdd nv tư vấng ko vừa ý, thất vọng quá","0"
"Máy sài ổn, pin trâu dùng cả ngày k hết. Mới mua có 10 ngày mà hôm nay thấy giảm giá nữa rồi, tiếc quá","1"
"Máy chạy chậm. Chơi game hay bị lag","0"
"Mới mua khoản 2 tuần mà vào Facebook lag quá rồi sao","1"
"tốt","1"
"May sai muot ma pin cam Rat ok so voi gia tien Nhan vien tu van nhiet tinh","1"
"Nhiên viên tư vấn vui vẻ nhiệt tình chu đáo. Rất hài lòng","1"
"Sao đt tắt màn hình xong mở lên lâu quá vậy","1"
"máy tệ qua vao mang yếu that vọng","0"
"Chơi game pubg lag","0"
"Điện thoại dùng tốt, nhân viên tư vấn vui vẻ nhiệt tình","1"
"Điện thoại dùng tốt, nhân viên tư vấn vui vẻ nhiệt tình","1"
"Nhân viên nhiệt tình năng động","1"
"Pin sạc nhanh, thích chuông to","1"
"oke đt dùng tốt","1"
