"data","label"
"Tui khá bực mình. Khi đặt online. Ra nhận con này là con t2 tui chọn. Ra cửa hàng máy kia gửi tui hàng trưng bày. Bữa đó k mệt. Nên k lấy. Bỏ tiền mới hàng mới k phải mua hàng chưng bày. Gọi hộ trợ qua lại. Cũng nhận cái kia là hàng chưng bày. K thích hỗ trợ đổi máy khác. Rồi chuyển cọc qua. Ok rồi tôi đặt con này. Ra lấy kệ trưng bày . Đi tuốt vô trong khoản 5 phút. Tui đã thấy lạ. Ra cũng y máy kia k siêu. Bữa nay tui mệt nhức đầu. Ra vô 3 lần rồi. 2 e nhân viên cam kết máy mới 100%. Chứ mấy nguyên siêu hết trơn k con hệ thống, và chi nhánh nào còn nữa.Nói dữ quá nghĩ thui kệ phá lệ lần đầu tiên mua máy mới kiểu này. Rồi xong máy mới còn siêu là nhà sản xuất lúc nào cũng để ít nhất 30% pin. Nhưng cái này k còn 1 miếng pin nào và khởi động máy ít nhất 10 đến 15 phút, nhưng k mở máy khởi động lên nhanh nhưng hết pin mở lại. Rồi về nhà hết nhức đầu rồi nhớ lại . Thì coi như xong rồi bỏ tiền ra mua phải hàng chưng bày đã kích hoạt máy, với giá tiền con máy mới. Tháng 7 tui xu luôn. Khó chịu bực bội vô cùng. Muốn bán đc hàng mà lừa gạt kiểu đó. 10 mấy năm đại gia đình nhà tui. Toàn mua hàng ở thế giới di động. Kiểu này coi như lần cuối cùng trong đời tui mua ở đây.","0"
"Điện thoại rất hay bị mất đèn pin. Mặc dù trong khi sử dụng không va đập, làm rơi hay vào nước. Bật chế độ đèn pin và vào máy ảnh bật flat đều không được. Mặc dù vẫn ấn bật trên màn hình được.","0"
"Cuộc gọi Zalo thường không có Thông báo, không có chuông, cuộc gọi kết thúc rồi mới báo nhỡ","0"
"Em xem thông tin thấy bảo hành phụ kiện đi kèm 12 tháng vậy bộ sạc có được bảo hành k ạ","1"
"Còn thu cũ đổi mới ko ạ","0"
"Sau gần 1 tháng trải nghiệm thì cá nhân mình ấn tượng là khoản sạc pin khá nhanh. Còn về mức pin sử dụng với 5000mah như vậy thì hơi đuối và nếu là máy mới thì sụt hơi nhanh tuy thời gian sử dụng khá ít và chỉ dùng cơ bản. Còn về giá tiền với ngoại hình và cấu hình thì giá hơi cao vì nút nguồn và tăng âm lượng làm thủ công không ấn tượng cho lắm. Tóm lại với thời gian sử dụng ngắn và với những tóm tắt vừa rùi thì những ai đang có ý định mua có thể cân nhắc thêm","1"
"Saoo dùng máy mà messenger cứ báo đang đợi mạng suốt.","0"
"Mong các bạn hỗ trợ mình.mình không tìm thấy ứng dụng al studio trên điện thoại oppo reno 12 5g","1"
"Vừa 4 hôm trước mua 12tr990. Giờ vào xem có hơn 10tr. Kb kiểu gì","0"
"Em cần thay mặt kính thay ở đâu ah","1"
"Mới dùng được 2 tháng cảm thấy máy 5G nhưng bắt sóng 5G không được mạnh, máy dùng được thời gian thì nóng","0"
"Đt để ko dùng tới cũng hao pin","0"
"Pin tuột hơn tuột váy người yêu cũ nữa.sạc pin thì nóng máy dả man con ngang luôn....như mơi mua dc 2 bữa giờ bán lại thì lỗ mất nhiêu tiền ta..chứ máy này k ưng ý gì cả..","0"
"Mua đt có otg ko xài đc cũng như ko.chủ yếu có OTG để thu âm live mà ko đc .dở ẹt có để tượng chưng.mn cân nhắc trước khi mua","0"
"Lướt Facebook bị lỗi màn hình","0"
"Mới mua mấy hôm trải nghiệm thấy ok, mỗi tội bị vô nước 1 ít mà đã liệt cảm ứng, h k biết đi mưa có bị nữa k","1"
"Mua dt từ tháng 7 tới nay xài vẫn mượt mà.Camera đẹp là thứ mình thích nhất ở sản phẩm nàyThank thế giới di động","1"
"Tôi đã dùng rất ưng ý rất tốt xứng đáng mua","1"
"Tui mới mua có 2 ngày gọi fb bị lỗi Dòng oppo reno 125g bị lỗi sộc màn hình k khắc phục dc tôi đã đỗi máy mới nhưng vân k khắc phục dc mn nếu mua nên căng nhắc nha đừng để như tui... Tôi lại đổi lên dòng máy khác thì bắt tôi phải chịu mất phí 20% giá trị điện thoại trong khi dt mới mua có vài bữa làm ăn như vậy sao tôi còn niêm tin để lại dmx tgdd ủng hộ dc nữa đay","0"
"Sao không tìm thấy ứng dụng Al studio trên Oppo 12 5g","1"
"Camera chụp hình đẹp , âm thanh rỏ , chơi game mượt , nhưng miếng cường lực bị tróc rồi , hiện tại thì thấy ok . Nhân viên DMX ở ngã 4 suối sâu Trảng Bàng nhiệt tình","1"
"Reno 12 5G có phát dc YouTube dưới nền k ạ","1"
"Lắp 2 sim thấy 1sim bắt sóng kém k bằng cả cái Oppo A31 được cái chụp hình đẹp thui","1"
"Điện thoại dùng rất tốt có nhiều tính năng hay nhất là Camera AI, chụp hình rất đẹp, tích hợp cả remote điều khiển được nhiều thiết bị quá tuyệt vời pin dung lượng lớn sử dụng đươc thời gian dài...","1"
"Hiện tại hai lòng, thời gian mak bền nữa la ok","1"
