"data","label"
"Camera chụp ko được rõ nét,nhanh tụt pin.Máy mua cách đây 5 ngày.Giờ tôi muốn đổi lại máy khác ạ.","0"
"Tính mua redme note 14 5g mà NV tư vấn qua mua con này chỉ 4g giờ muốn đổi thì còn bao nhiêu ạ mua ngày 8/7/25","0"
"Mua được 2 tuần nhưng điện thoại chỉ có 4G bây giờ mình muốn đổi lại 5G làm như thế nào ạ. Lúc mua thì nhân viên tư vấn ko nói 4G hay 5G.","0"
"Mua được 4 tháng choi game bình thường sau 4 tháng hết sài nổi mạng","0"
"Điện thoại dùng rất tệ, quay video bị lag nhiều, Khi xem lại thì bị hiện tượng tiếng chạy trước hình chạy sau.. tóm lại là rất tệ.","0"
"Không hỗ trợ thẻ ngân hàng là sao ạ","1"
"Cam chụp xấu, hình ảnh khi gọi video call màu xanh","0"
"Đã mua được 1 tháng, điện thoại dùng mạng xã hội rất mượt, chơi game thì nên để cấu hình thấp là ổn, chụp hình quay phim rất đẹp, sạc nhanh và thiết kế cứng cáp sang trọng. Chấm điểm 8/10.","1"
"Camera chụp hình xấu dã man luôn, chụp hình bị mờ, nhòe, còn thua con A93 mình mua mấy năm trước","0"
"Cho hỏi mình mới mua đc 3 ngày giờ mình muốn đổi lại máy khác đc ko vậy . camera chụp hình ko đẹp","0"
"Mua từ tháng 9,bây giờ bán được bao lâu tiền ạ","0"
"Mình mới mua bản 4G được một ngày mình muốn đổi lên bản 5G được không vậy","0"
"Chụp xấu, máy thì bị đơ, hôm gọi tư vấn online thì báo con 5G sau mình làm trả góp xong thì bảo con 4g","0"
"Mình mua đt reno 12f 4g ngày 4/8 chụp ảnh rất là xấu, loa đôi khi nhỏ ngta điện k nghe, lâu lâu máy hay bị dứng nữa và k có hỗ trợ sử dụng thẻ ngân hàng giờ đổi lại có được k","0"
"Màn hình đẹp, camera xuất sắc, mua tặng vợ dc khen","1"
"Vừa mua tuần trước bị nhân viên đánh lừa Mình vào cửa hàng trải nghiệm con 12 f5 g Nhân viên đến nói giảm còn hơn 8 triệu Cái mình vội mua nhân viên lấy cái 12 f 4G Mình chẳng để ý vì nó giống nhau với lại xưa giờ mình dùng bên điện máy xanh không ngờ lại bị","0"
"điện thoại không sử dụng dc app ngân hàng. mới mua 3 ngày có đổi lại model khác được không","0"
"Cảm rất xấu","0"
