"data","label"
"Máy dùng thi thoảng đơ cảm ứng dùng quá chán","0"
"Máy gì ma Sài sao nó nóng như cục than vay trời có bị gì ko Sài sợ nổ","0"
"Trên mạng giá 8.400.000 nghìn ra mua trực tiếp 9.310.000 nghìn là sao vậy","0"
"Reno 13F 5G xài rất ok, ưng nhất là PIN nếu xài cơ bản 2 ngày mới phải sạc, những tính năng còn lại cũng bình thường cũng tốt mà sao đọc comment mn chê thậm tệ vậy. Mình không chơi game nên không biết máy này chơi game thế nào. Nói chung rất good","1"
"mình mua dk gần 3 tháng mấy nay 3g bật cứ lúc có lúc ko lên mạngmáy thì lâu lâu đờ ơ đơko biết giờ đổi máy khác mất phí bn % nhỉ chứ sài lâu sợ ko bền.","0"
"Sao tiktok của mình không hiện cửa hàng vậy shop","1"
"Mình mua sản phẩm hồi tháng 6 đến giờ, đến thời điểm hiện tại pin tuột khá nhanh giờ mình lưu trữ thêm nhiều ảnh video với ứng dụng thì cũng chịu đi mình đã xoá bớt rồi mà vẫn vậy, không biết có ứng dụng chạy ngầm không. Với dạo này khi vào ứng dụng TikTok nó hiển thị logo một lúc rồi không có hình ảnh video nhưng vẫn phát nhạc rồi đến lúc toi thoát ra ứng dụng lát sau bấm lại nó mới hiển thị hình ảnh video. Và pin dạo này rất hay nóng máy nhaa và tình tình trạng như này nữa, nhân viên xem giúp toi như vậy rồi sao bấm nút này rời ra. Mong có nhân viên hỗ trợ cho phương án thiết thực nhất","1"
"Nhân viên tgdd bình dương rất tệ công ty nên xem lại đừng để khách hàng thất vọng mất khách","0"
"Máy mới mua nhảy loạn lên thua cả con máy 3tr chán chả muốn nói luôn nói chung là không nên mua","0"
"Điện thoại này sử dụng messager ko được ko gửi tin nhắn cho ngk đc và cũng ko xem đc hình ảnh, mấy con khác hoạt động bình thường riêng con oppo này","0"
"Vừa mua được hơn tháng cần tư vấn để đổi sang máy khác. Dòng này nó bị lỗi cảm ứng không dùng được","1"
"Camera trước không nét, màu tái, xấu quá tr. Còn lại mấy phần khác thì oke.","0"
"Cảm ứng chạy loạn lung tung. nhân viên hỗ trợ cho tôi với bàn phím ấn một chữ mà nó nhảy ba bốn chữ lên rất khó để chịu đựng","1"
"Xài được đúng 1 ngày máy nóng như lửa. Thêm cái pin 5800mh mà tuột như ko phanh . Chơi game ko được độ pin màu hết . Tốt nhất ace ko nên dùng tôi chia sẽ thật . Tôi đổi mát mất 20% giá trị nên khuyên ace . Hãng ra giá gần 10tr mà quá tệ . Nhiệt độ máy lên tới 46 độ.","0"
"Tôi rất hài lòng về sản phẩm và các bạn nhân viên tư vấn rất tận tìnhchu đáo.","1"
"Rất OK","1"
"Lấy được 3 hôm, máy nhanh hết pin và nóng có ra phản hồi cửa hàng thì bảo bình thường, giờ đổi 20% thấy nản quá","0"
"Mới mua 3 ngày mà thấy thất vọng, bắt sóng wifi yếu, người khác gọi zalo đến không báo k đổ chuông đến khi vào ứng dụng mới bt có tn và cuộc gọi nhỡ, máy mau hết pin, thật thất vọng, sẽ phải đối lại chứ xài có ngày tức lên máu","0"
"Tôt, nhân viên tư vấn nhiệt tình","1"
"Tản nhiệt ko tốt. Cam 50mpx j mai mờ câm","0"
"Camera trước chụp hình xấu quá, pin tuột nhanh","0"
"mua chưa được 1 tháng mình dùng ít mà cảm ứng bị loạn.nhắn tin cứ bị double chứ loạn cả lên. khởi động lại mấy lần mà vẫn bị.lúc đầu chũ L và dầu X xóa còn không cảm ứng được, sau khi khởi động lại thì ok, ngày hôm sau cảm ưng vẫn tiếp tục bị double nhắn tin không được.bị như vậy là lỗi gì vậy shop, sẽ đổi máy mới hay bảo hành","0"
"Điện thoại anh. mua bảo tặng thêm 12 tháng bảo hành mà sao anh thấy kích hoạt BH có 1 năm là giải đáp cho biết với","1"
"Mình muốn đổi lên iPhone 14 được không shop","1"
"Camera xấu, ngân hàng gửi mã otp không nhận được phải tắt nguồn mở lại mới có","0"
"Võ bên ngoài bằng nhựa cầm ộp ẹp k chắc tay như đt rẻ tiền , không có ghi âm cuộc gọi như samsung, ra ngoài trời màn hình ám vàng không thấy rõ, kết nối đồng hồ thông minh Xiaomi k ổn định , pin 5800ma nhưng mau hết thua con Samsung pin 5000ma ,mới bán lỗ hết 20%","0"
"Nâng lên k đánh thức màn hình. Lúc dc lúc k. Lấy từ trong túi ra cũng vậy. Lúc đánh thức dc. Lúc k. Mới mua hôm kia. 30/3 Xin dc giải đáp ạ.","1"
"T cũng xài gần 1tháng r. Lướt êm mượt nên mua nha","1"
"mới mua hồi tối 9999 sáng vào lại còn 93","1"
"Máy pin nhanh xuống. Sài hay nóng máy. Camera chụp hình chán.","0"
"Mới xài 1 tháng đổi mới 1 lần về cũng như vậy máy tệ chưa từng thấy ae nào có ý định mua nên xem lại","0"
"Sài giật lát bỏ moẹ. Mua về bị rồi đổi được cái mới. Về sài cũng bị y chang cái ban đầu. Thanh thông báo gì mà kéo xuống ko được. Muốn rã luôn màn hình. Thấy vọng khi mua oppo","0"
"Mh mua tối ngày hôm qua.dt k xài vẩn nóng bừng dù để phòng máy lạnh.","0"
"camera chụp hình tệ quá đang muốn đổi gấp hic thất vọng","0"
"Lúc mua thì oke . Lúc mk ko thích bán lại. Thì chi nhánh. Ko có tiền. Trog khi cả 1 tập đoàn lớn .","0"
"Gì cũng ổn ,chỉ có pin là chưa đc 1 ngày đã hết pin ,giới thiệu pin trâu nhưng xài chưa hết ngày là hết pin","0"
"Máy ổn. Mượt nhưng không tải được ứng dụng thứ ba. Trong khi mình mua máy để sử dụng các ứng dụng này. Cảm thấy hối hận. Trong khi con oppo renot12 thì tải được. Nếu được xin nhân viên hỗ trợ.","1"
"Máy nhanh nóng cam thì mờ, gọi thoại zl tầm 30 là nóng xỉu sd mới 1tháng nhưng có lỗi giật lag k mượt pin sạc cũng lâu,all tb đã bật nhưng k hiện nhiều lúc cảm ứng k mượt nữa đang muốn đổi qua sp khác nhưng đang trả góp k biết phải làm sao luôn","0"
"Này hk có sử dụng đc vân tay hả mn","1"
"Điện thoại Sài ok mượt mik trải nghiệm được 1 tháng thấy ok nên mua nhe mọi người","1"
"Rất tệ mới đúng. Bắt Wifi 5g ma len ko nổi.. hối han thật sự , đối trả thì mất 20% nhiều lúc đang gấp ma ko len mạng dc la đập bỏ qua ..","0"
"Sài lầm khi mua mình mua chả góp 1 tháng muốn đổi sản phẩm khác","0"
"Điện thoại này bắt sóng wifi,5g hơi kém . điện thoại này có thực sự xuống nước quay phim chụp ảnh được không còn chưa biết","0"
"Sản phẩm kém chất lượng, nhân viên thái độ khi ra đổi trả sản phẩm, lần cuối cùng mua hàng ở đây","0"
"Mới mua dùng 1 ngày cảm thấy máy nóng đi bin nhanh đt video mờ","0"
"Màn hình độ sáng thấp , hay bị nóng máy","0"
"Mình mới mua mới 1 ngày muốn đổi lại dòng khác có mất phí gì không Xin được tư vấn","0"
"Tôi mua trả góp tại thế giới Di Động mới được 1 tháng.nay muốn đổi lại máy hãng khác không biết có được không.rat mong sự phản hồi tích cực của nhà bán hàng.cảm ơn.","0"
"Gọi điện message+ zalo cam trước sau rất kém, tối thui thua xa con Reno 2f 5năm trước Cần tư vấn từ cửa hàng","0"
"Pin dùng ổn, mọi chức năng ok cảm ứng mượt mà vì mình ko chơi game nên ko đánh giá đc hết thời lượng, chụp ảnh ok , Nhược điểm Bắt wifi yếu vào mạng kém hơn các dòng khác","0"
"Không bứt phá nhiều ,mà giá cao. Phù hợp cho nhu cầu giải trí bình thường, Chụp ảnh quay phim hơi chán.","0"
"Cho sản phẩm cửa hàng 5sao nhé....","1"
"Ôn","1"
"Camera trước gọi video k đc rõ.. chơi game máy nóng kinh khủng","0"
"","0"
"","0"
"","1"
