"data","label"
"Máy không vào đc app vnedi và app ngân hàng mbbank","0"
"Máy này có 3 vấn đề khá lớn, 1 là gọi thoại Zalo nói chuyện với nhau nghe không được, 2 là ghi âm cuộc gọi không nghe lại được, 3 là có âm thanh thông báo, nhưng không thấy nội dung. Cao nhân nào biết xin chỉ giúp với","0"
"Tôi mua Sài hài lòng về máy nhưng mấy loại này cài ứng dụng rác quá nhiều có 1cái ứng dụng trò chơi ở tên máy không có tắt hoặc dừng ứng dụng đươc mình ko ưng lắm","0"
"Sao bảo máy có NFC mà ko sử dụng đc z","0"
"Mua từ lúc mới ra mắt đến nay theo tôi sự dụng mes có ng gọi máy k có phản ứng hay báo gì hết là 1 cái thứ 2 suốt ngày mất wwiffi phải tắt mở lại mới nhận rất phiền phất chiên ra mất sống wiffi mai mà là máy phụ chứ xài chín chắc điên luôn quá","0"
"Cty làm ăn không chấp nhận dk.máy mua dk 1tháng3 ngày mà bị lỗi từ màn hình .loa.âm lượng mà k giải quyết dk.","0"
"Gọi Zalo với mes có tiếng vọng lại và hú rất khó chịu.khi mua mik hk kiểm tra kỹ hộp bị khui rồi đi doi cái khác cũng lấy hàng khui rồi vẫn bị lỗi.","0"
"Máy dùng tạm tốt trong tầm giá chính hãng thôi , pin cũng khá tốt sạc 45w mà chỉ hiện vooc ko như mấy hãng khác hiện số , nhưng cũng nhanh tầm 60p","1"
"Sao tôi không dùng được NFC vậy","0"
"Sao ko có NFC VẬY","1"
