"data","label"
"Đt dỡ tệ... con chip này cùi quá... chỉ đc cái pin trâu thôi.. con chip là bộ não mà nó chậm quá ko làm gì cảm thấy ngon... con tôi sài đt củ chip snap 685 chuyển qua con này nó con nít mà đt chậm nó còn bực bội.... nói chung sản phẩm hơn 5tr mà như vậy là quá kém...","0"
"máy mình mua đợt mới ra dùng đến bây giờ cũng gần năm mà màn hình tự bong ra bên mình còn hỗ trợ sửa không ạ","0"
"Ae dùng c75 thì tắt chế độ ram ảo đi là hết lag nhé. K hiểu sao dùng cái chế độ ram ảo lag vcl mà máy lại để mặc định là dùng. Tgdd nên lưu ý điểm này khi bán hàng, nên tắt ram ảo đi khj setting máy cho khách. Mua về 2 ngày lag vcl, sau tắt ram ảo mới hết lag.","1"
"Tiếc là không có NFC","1"
"Rất rất tệ mua ba tháng. Mà đi bảo hành 2 lần. Đang Sài cái đứt màng hình. Bảo hành về k sạc pin dc","0"
"sao máy lag vậy nhỉ mấy máy mình mua chưa cái nào tệ thế này dù giá thấp hơn.","0"
"Thiết kế thì đẹp . nhưng mà ai chơi game thì đừng nên mua . chơi game bố của lát . vào ứng dụng hay bị đá ra .chia sẻ thật lòng","0"
"Mua trả góp còn 3 tháng nữa muốn thanh lý đổi sang điện thoại khác được không","1"
"Ms dùng được2 tháng mà đt có vẻ đơ đơ . Nếu muốn đổii mấy khác tầm 10trieu thì bù bao nhiu ạ","0"
"Máy mới ra 2 ngày mua xài tới h máy ổn ai chưa mua thì mua ip cho đỡ tốn kém","1"
"T dùng google chrome muốn quay lại trang trước thì làm ntn đc nhỉ mn","1"
"Mình sử dụng được tầm 1 tháng, máy bị lag, quay video hình trước tiếng sau. Mình có hỏi để đổi trả nhưng chi phí tới 20% giá trị máy và kèm thêm tiền khuyến mãi nữa nên mình thấy phí tiền thật.Khuyên mọi người nên cân nhắc khi mua.","0"
"Dt ổn trong tầm giá, pin trâu","1"
"Điện thoại tôi mới mua được hai tuần loa rè ... Xử lý không mượt.. cứ đơ đơ... Đem tới thế giới di động nhân viên cầm thổi thổi lau lau tý thấy trả bảo anh mở nhỏ thôi ví dụ loa có 4 mức thì anh mở mức một là hết rè haha ... Mua cái đt phí tiền gần 6 triệu bạc","0"
"Mình mua ngày 8/12/2024. Giờ muốn đoỏ sáng điện thoại khác thì có được không và phí bị trừ là bao nhiêu ạ. Mình mua giá 5.690.000","0"
"Đt mới mua sử dụng được mấy ngày. Mà lướt nó đơ đơ, kiểu như chạy k nổi. Quá tệ","0"
"Bắt wifi và 4g kém hay bị lác xem video không được chán vãi","0"
"Xài chưa đk tháng mà nó đơ đừng có hỏi","0"
"đang test thử nếu ổn sẽ quay lại tăng sao","0"
"Đt rất tốt nhưng sóng 4g bị gián đoạn, ngắt hoài","1"
"Mới mua dùng cảm giác tệ, pin nhanh hết, chụp hình xấu.","0"
"Mình mới mua dùng tầm 1 tháng. Ưu điểm là ngoại hình đẹp. Nhưng camera xấu, bắt sóng wifi và 4G cảm giác yếu, lên xem video rất thường xảy ra vấn đề hình và tiếng lệch nhau","0"
"","1"
