"data","label"
"Sản phẩm tốt trong tầm giá rẻ .Mình đang dùng làm máy chính , mình thì không chơi game, không chuyên về chụp ảnh quay video gì cả .","1"
"Mới sài 1 tháng ngay lỗ sạc pin khi không sạc bị nhiễm điện, cảm giác tê, giật điện. Cực kì nguy hiểm","0"
"Mua 2 máy 1 máy màu đen 1 máy màu xanh nhạt. Máy màu đen thì sử dụng bình thường còn máy màu xanh nhạt thì bị sọc màn hình xong cái tắt nguồn luôn. Để lát sau mở lên lại thì hết. Sử dụng được lát lại bị tiếp. Báo nhân viên thì bảo phải gửi ra hảng rồi kiểm tra 7 đến 10 ngày mới có. Trong khi đó mới nhận hàng khoảng 10h sáng nay chưa sử dụng được bao nhiêu.","1"
"Alo cho e hỏi.E mới mua a06 hôm qua.Giờ có tình trạng kết wifi kém ngắt kết nối wifi liên tụcKhoản cách chỉ 15m thôi ạ","0"
"Máy em cũng chưa được kích hoạt Bảo Hành Điện Tử ạ","1"
"Đã mua 2 sp A06. Trải nghiệm tuyệt vời.hiệu năng đủ dùng cơ bản Nên mua mn nhé. Cảm ơn anh nv bh TGDD đại thượng đại đồng tiên du bn","1"
"baapX43 mua có cái điện thoại mà bán không có hóa đơn . đang bán hàng khách khác vô để đợi tiếp khách khác ,má nhân viên tgdd khinh người , nhận hàng lê văn sỹ phải qua lý thường kiệt mua ốp lưng , nhân viên lý thường kiệt dễ thương bao nhiêu lê văn sỹ coi thường .kiểm tra hàng cho mình bỏ đi tiếp khách khác ,chắc không có lần sau quay lại","0"
"đã mua 2 cái,. Cái đầu tiên thì dmx có kích hoạt bảo hành điện tử. cái thứ 2 chưa kích hoạt bảo hành điện tử. cảm thấy chưa hài lòng về việc này","1"
"Máy nhanh hết pin","0"
"Máy mới mua về chưa được tháng bị lỗi chân sạc nhanh không lên pin","0"
"Mây quá tệ. Đơ , nhiều lỗi","0"
"Đọc báo và xem phim thôi zalo facebock trưa cài thi đầy ram rồi chỉ được thế thôi","0"
"Mình mới mua thấy máy dùng OK lắm nhá","1"
"Máy mua lỗi quá nhiều , máy để lâu lưu kho lâu cáp có vấn đề mua mới 100 trong một ngày đổi 2 lần vẫn lỗi màn hình rất mất thời gian . đã trả lại sản phẩm và mất lòng tin và sẽ khiếu nại chăm sóc khách hàng của Samsung Việt Nam . lúc mua có mua kèm cả ốp lưng cường lực 160 000đ cũng không thấy nhân viên trả lại hay như nào . mua ở thegioididong 2 số điện thoại xxxx422649 và xxxx472528 , chắc chuyển qua mua hàng ở Fpt shop . quá thất vọng , trong 2 tháng gần đây mua 04 chiếc máy tại thegioididong toàn lỗi nghiêm trọng phải trả máy bán lại máy , mỗi lần mất phí 20 30% giá trị sản phẩm quá tốn kém , mua điện thoại đi biếu giờ hỏng không dùng được mang tiếng tặng máy hỏng rất khó chịu . ảnh thự tế quá 5mb không đăng được","0"
"Mua đc 2 tuần dùng khá mượt,chơi game nhẹ mượt mà ok. Trong tầm 3,4tr là quá ngon. Cam đẹp pin khỏe","1"
"Cho mình hỏi mình mua náy này bên thế giới di động nếu máy hết bảo hành mà pin hỏng tgdd có hỗ trợ gửi đi thay cho mình k hay phải tự mình đi thay","1"
"Ổn trong tầm giá máy mượt khi dùng các app cơ bản mua Samsung yên tâm vì được bảo hành chu đáo ở hãng","1"
"Mua được mấy hôm rồi xem youtobe bật 1080 vs 1440p lên giật đùng đùng muốn đổi sang oppo a3x đc không shop","0"
"Pin tụt quá cài tiết kiệm pin rồi ko cài gì để trên bàn làm mà tụt ghê","0"
"Mua chưa đc 2 tháng mau tuột pin kinh khủng chỉ xem FB YouTube, k game gì","0"
"Mình mua hơn 1 tháng rồi, nếu như mà chỉ sử dụng cơ bản như là lướt Facebook, xem YouTube và gọi zalo cũng được một ngày, tối mới cần sạc lại Xem tiktok thì mình thấy máy sẽ mau nóng lên, hi vọng là nữa có cập nhật one ui pin sẽ tốt hơn và tối ưu cho ứng dụng tiktok","0"
"","1"
