"data","label"
"Pin quá kém... sai lầm khi mua","0"
"pin được 1 ngày, sóng 4g kém, vân tay dưới màn hình gần giữa máy không thuận tay khi mở khóa","0"
"Điện thoại sóng quá kém. S21 đã kém giờ đổi s24 còn tệ hơn. Dt cầm trên tay mà ng khác gọi tới thuê bao. 2 cột sóng chỉ lên dc 2 3 gạch.","0"
"máy sóng yếu.ae định mua thì nghĩ kĩ nha","0"
"Máy tôi mới mua một tuần mà bỏ túi toàn người khác không gọi được để ra ngoài mới gọi được là sao","0"
"Ai za tại sao S24 không nhắn tin cho 888 được, mà S20 thì nhắn tin được. 888 là kiểm tra dung lượng gói 4G. Không lẽ S24 kém cỏi như vậy sao shop.","0"
"Phải thừa nhận con ss 24 này so với giá tiền thì khó chấp nhận được, ram 8 G thậm trí còn không bằng dòng A, chip thì exynos, tác vụ thường còn giật , sóng thì kém, đợi s25 , chứ có lần sau thừa tiền cũng k mua dòng S mà chip exynos.","0"
"Bỏ ra gần 20tr mua cái điện thoại này mà tính năng cơ bản là nghe gọi không dùng được, gọi đi thì được nhưng người ta gọi đến toàn báo thuê bao không liên lạc được, dù đã đổi sim mới, nhà làm ăn nghe gọi nhiều mà như này thì làm sao chấp nhận được. Cứ tưởng mỗi máy mình bị, lên nhóm facebook nhiều người cũng kêu, có người bảo hành 5 6 lần cũng ko hết lỗi, có người đổi cái mới vẫn lỗi, giờ vào đọc đánh giá ở TGDĐ cũng nhiều người kêu lỗi đó. Thật sự rất khó chịu với 1 cái điện thoại gần 20tr như này. Mong TGDĐ có chính sách thỏa đáng thế nào hay thu hồi máy lỗi với những người mua dòng máy này","0"
"Máy hay bị mất 4G, thỉnh thoảng mất cả sóng đt do máy ko phải do sim nhé , gọi đến ko được, gọi đi thì lại được. Pin ko bền. Chưa bao giờ mua đt gặp phải máy bị lỗi ntn","0"
"S24 Sử dụng mạng 4g rất yếu, hay bị đơ, lỗi kết nối, phải khởi động lại máy hoặc bật rồi tắt chế độ máy bay mới có mạng trở lại. Thất vọng quá","0"
"Không bao giờ mua điện thoại Sam Sung cảm ứng nhạy khó chịu lắm","0"
"Mình mua S24 được 20 ngày mình phải ra Samsung Care tận 4 lần vì lỗi không nhận được cuộc gọi lúc được, lúc không, dù đã được đổi máy mới 1 lần nhưng tình trạng này vẫn tiếp tục, mình cảm thấy thật sự thất vọng về S24, Samsung và TGDD vì bỏ hơn chục củ mà rước cục nợ về người, luôn lo sợ bị nhỡ các cuộc gọi quan trọng. Mong mọi người nghiên cứu kỹ trước khi mua sản phẩm này","0"
"Thiết kế đẹp. Nhỏ gọn, cầm nắm tốt. Galaxy AI hữu ích. Pin không đủ dùng một ngày.","1"
"Ngon hơn s23. Đáng tiền","1"
"Do cần máy làm việc nên có ra quầy TGDD ở ĐMX mua gấp con S24 dù đã đọc đánh giá nhiều bạn nói nó bị mất sóng 4G và đúng thật con này bị lỗi 4G. Mình đã đổi máy theo chế độ BH của TGDD, máy đổi cũng tình trạng y hệt, 4G như sau bão Yagi vậy. Không hiểu sao dòng S cao cấp của SS lại có lỗi như vậy mà vẫm bán ra TT. Mà bây giờ dùng không được đổi dòng khác tự dưng mất tiền dù lỗi của nhà SX","0"
"Pin Tốt, Dùng Cảm Ứng Mượt, Cầm Vừa Tay, Mà Bắt Sóng Wifi Chưa Được Tốt Lắm. Với Màn Hình Mà 2K Nữa Thì Tốt Ạ.","1"
"Mình mới mua dc 1tuan. Lúc mở hộp dt đã ko còn pin, phải sạc dự phòng. Về mình rất ít sử dụng .nhung vẫn tự tụt pin. Để qua đêm tắt hết wf ,ứng dụng tụt 3%.","0"
"Máy xài cũng tốt.nhưng buon vì khong dùng được vâng tay.","0"
"Lần đầu xài Samsung mà thấy tuyệt vời quá, rất xịn, pin trâu và chụp đẹp. Fan Hà Còi","1"
"Mình tin tưởng TGDĐ và giá này tốt nhất rồi. Đt xịn đẹp","1"
"Điện thoại giá rất tốt, xài mượt và chụp đẹp. Fan Ninh Dương with love","1"
"Máy bị lỗi 4G/5G vào lúc được lúc không, mình tưởng chỉ máy mình bị nên giới thiệu bạn mình mua thêm máy khác về cũng bị lỗi như nhau","0"
"Mới mua s24 cuối tháng 8, máy khá xinh, vừa tay. Nhân viên dễ thương. Mà về dùng thỉnh thoảng bị nóng máy dù không chơi game, chỉ có nhu cầu cơ bản. Buồn nhất là kết nối mạng kém, ngày nào cũng có lúc bị đơ. Thua con Oppo F5 của mình, tuy cũ bị chai pin nhưng về mạng thì F5 còn ngon hơn. Những lỗi này có khắc phục được ko shop","0"
"Pin 4k nhưng k hề yếu, cam đẹp, hiệu năng với mình như vậy là quá tốt do mình ít game, kích thước vừa tay. 5s nhé","1"
"Thật sự để mà nói thì đã lâu lắm rồi mới dùng lại ss công nhận tốt Thật sự","1"
"Máy mát không nóng, pin được cả ngày, nhỏ gọn cầm tay, bữa cầm đi event zoom nét căng, mê Samsung từ lúc có Ninh Dương Hà","1"
"Zoom ban đêm nét cănggggg má ơii đẹp lắm","1"
"Camera nét căng, đu idol ok","1"
"Hài lòng","1"
"Dùng thực tế được thời gian thấy pin rất trâu và chụp đẹp thực sự, chuyển từ Iphone qua khi thấy Ninh Dương quảng cáo thấy chụp đẹp quá luôn, dòng S Samsung mãi đỉnh","1"
"Xịn nha, trên cả hài lòng","1"
"Mua được vài tháng thấy lựa chọn quá hợp lí và TGDD chăm sóc tốt, fan Ninh Dương","1"
"Sản phẩm rất hài lòng","1"
"S24 bị lỗi mạng 4g 5g không kết nối đc hay bị ngắt kết nối. Chỉ sử dụng được wifi. Đến trung tâm bảo hành SS 3 tháng rồi vẫn không sửa được lỗi","0"
"Camera rất xịnPin khá ổnMượt Rất mượt","1"
"Sản phẩm dùng tốt lắm, best phone from TGDD","1"
"S24 này xịn nha biết sản phẩm từ khi Ninh Dương giới thiệu, pin trâu thực sự, chụp đêm rất đẹp, trước mình xài Iphone chụp buổi tối rất ghê.","1"
"Nhiều người thích S24 Ultra nhưng mình thấy S24 bản nhỏ rất chân ái với những người tay nhỏ như mình, từ Iphone chuyển sang thấy rất hài lòng","1"
"Sản phẩm dùng ok","1"
"Tốt","1"
"Máy sài bị nóng","0"
"Mạng yếu, bin hao mau.","0"
"Lúc mình mua là 22990k, giảm 1 triệu còn 21990k, sau 3 tuần giảm còn 17340k. Do mình hơi đen thôi. Nhưng dùng được 1 tháng 10 ngày rồi thấy cực tệ sạc rất nóng máy, pin nhanh hao, sóng kém, mạng 45G và wifi bắt kém, zalo và mes hay bị lag, nhiều khi đang dùng mà máy bị dừng đột ngột quay trở về màn hình chính. Camera xấu không đẹp như quảng cáo.","0"
"Trải nghiệm tác vụ thường ngày tốt, tính năng AI cực kỳ hữu ích","1"
"Mới xài chưa được 2 tuần, camera bị lỗi, ko chụp ảnh được","0"
"Tốt","1"
"Cảm thấy rất ưng ý","1"
"Chơi game Liên Quân cấu hình thấp. Lag và lag. Chip Exynos 2400 chơi game coi như bỏ. Bản update cũng không khắc phục được","0"
"Đáng mua, mình không chuyên game, còn lại thì pjn, màn hình, ...đều ok..năm nay kiểu dáng quá thích chỉ muốn cầm máy trơn ko dùng ôp lưng luôn","1"
"","1"
"","1"
"","1"
