"data","label"
"Mua tháng 1 xài tới hiện tại tự nhiên nó bị như này rồi sao đây ạ. Có bảo hành ko shop ơi.","0"
"Đánh giá khi dùng 7 tháng1. Thiết kế nam tính, hơi to nhưng vẫn Ok2. Pin Thoải mái trong 1 ngày. Lướt face + Youtube+... khoảng 810h.3 Cấu hình Trước khi lên Android 15 thì tạm ổn, còn sau đó lỗi nhiều, ko mượt mà nữa. Sóng sánh khi gọi lúc đc lúc ko. Đa nhiệm kém, Ram 12Gb nhưng bt chỉ dư 34Gb tự đóng ứng dụng.4. Camera Zoom ngon, nhưng chụp sai màu, chế độ 120M bị nhoè kiểu lấy nét sai dù đã khoá nét, chụp 10 tấm mới đc 1 tấm dù để trên giá đỡ.5 Bao da chính hãng 600k, mua 2 cái thì đều đc 1 tháng là nứt toác, mua shoppe loại tàu 200k dùng 6 tháng chưa thấy gì.","0"
"Mới dùng khoảng 2 tiếng nhưng mình rất ấn tượng. Màn hình sáng, mượt và màu sắc đẹp mắt. Máy phản hồi cực nhanh, cảm giác chạm lướt rất đã. Camera chụp thử vài tấm là thấy ảnh nét, màu tự nhiên. Thiết kế sang trọng, cầm chắc tay. Chất liệu titan và kính cường lực mới tạo cảm giác cao cấp, vừa đẹp vừa chắc chắn. Chị nhân viên Thiên Cầm tại CN ĐMX 205C, KP 1, Phạm Văn Thuận, Phường Tân Mai, Đồng Nai cùng một chị bên Samsung mình không biết tên tư vấn rất nhiệt tình và dễ thương.","1"
"Sao nhận diện khuôn mặt phải bật màn hình lên mới nhận. Ko giống Samsung A9 để vào cái mở luôn","1"
"Chất lượng tốt nên quay lại review lần 2Nếu mọi người đợi khi nào ưu đãi giá thì mua tốt hơn, giờ vẫn gần 24tr thì hơi đắtMình mua đợt đầu năm trước khi Samsung ra S25 thì được giá 22tr5 nên khá ưngVề Spen thì công nhận có thì tốt mà không có cũng không sao /Mình có mua ốp chính hãng của Samsung thấy khá đẹp, nhưng cảm giác chất lượng so với giá khá đắt, giờ đã thấy hơi xuống cấp rồi","1"
"Máy mình mua bóc hộp đã có hạt bụi trong cam","0"
"Mua con máy gần 30 cứ.quang cáo chống nước VIP định, bóp bụng mua con máy về bị rơi nước ngập bị nước vô máy,lỗi sim kg hoạt động, máy cà giực lỗi cả máy, tức ơi là tức phải đem đi bảo hành máy, t kg ngờ con máy Mac tiền mà như v luon.t ghét từ sau kg thèm mua SS quá","0"
"mình vào game xong thoát ra rất nhanh mà vô lại nó bắt phải load lại có cách nào để nó không bị load lại không qtv ơi giúp mình với","1"
"Mình mới mua máy mới mà dùng máy nóng quá chạy mỗi nhạc thôi mà cầm máy nóng cảm giác khó chịu vô cùng","0"
"Màng hình em này. Lúc mới khui hộp ra thì màng tối màu sắc không tươi sáng. Ám vàng. Nhưng qua ngày hôm sao thì Mọi chuyện đã khác. Không còn ám vàng nữa. Màu sắc Trong trẻo vàng rất sáng. Rất tươi. Rất đẹp. Nhân viên phục vụ vui vẻ nhiệt tình. Tôi hài lòng tất cả. Xin gửi lời cảm ơn các bạn nhân viên tại đây nhé","1"
"Sản phẩm camera cực đỉnh, người lớn tuổi sài tốt","1"
"ĐT mình bị lỗi hay sao mà k kiểm tra được màn hình dishplay. Vd gõ 0, 1234. V.v","1"
"Quá tuyệt vời, pin dùng 2 ngày thoải mái, chụp đẹp, zoom tốt như kính hiển vi luôn, mẫu mã đẹp nhất trong họ Sam.","1"
"hi fan cứng samsung nhưng giờ phải viết cái nàycập nhật phần mềm mới thì đơ lag giật ứng dụng phải khởi động liên tụctải hình lên capcut bằng cam thường thì lỗisài cap cut thì bị văng liên tụcpin thì mau hết không như quảng cáo","0"
"Vào game kia lúc đầu vào rất nhanh rất mượt. 2 ngày sau vô game nửa tiếng mới vô. Mình tưởng do game lỗi lôi cái đt cũ vô game thử, vào game tg vòng 3 phút. Cần hỗ trợ","0"
"Trước mình tham khảo sp ở quận 7 Nguyễn Thị Thập. tư vấn ko kỷ, ko hỗ trợ nhiều mình tham khảo trả góp thái độ kiểu gì á. Sau đó mình mua ở chi nhánh quận 4 Khánh Hội á. Cái chị bán hàng cho mình siêu nhiệt tình luôn, tư vấn kỹ mà hỗ trợ 100%. cho 100 điểm luôn. Sản phẩm xài rất ưng ý luôn á. Mượt nhanh.","1"
"Tốt ,mượt, thú vị,chức năng hoạt động tốt hơn hãng trung.","1"
"Máy đẹp,mượt mà,mỗi cái là Pin tụt nhanh...","1"
"Còn miếng dán chống nhìn trộm cho s24U ko shop","1"
"Điện thoại không xài để qua đêm tụt 3% pin dù đã tối ưu, đặt ứng dụng không dùng vào chế độ ngủ. Nhận điện gương mặt thì kém, phải mở màn hình lên mới nhận. Đeo kính, khẩu trang đều không nhận được dù đã thử nhiều lần. Ngoài ra thì điện thoại cầm cũng nặng, cầm lâu mỏi tay kính khủng. Camera 200MP chỉ zoom được 10X, camera 12MP thì zoom được 100x nhưng khá mờ. Nói chung điện thoại mới dùng thì chạy nhanh, chất ảnh trải nghiệm cá nhân mình thấy tạm được thôi.","0"
"Quyết định đúng đắn khi mua S24 Ultra, máy dùng rất tốt, nhiều tính năng thông minh","1"
"Màn hình khá vàng k được sáng lắm.so với s10 của m đang dùng màn hình k sáng bằng vì cứ bị vàng.xin cách khắc phục. Hay là do máy như vậy rồi.mọi người xin góp ý","0"
"Công nhận về ngoại hình của Samsung S24 ultra thì ko trê vào đâu được rất tuyệt vời.Nhưng pin thì quá kém, Sài tụt pin rất nhanh. 1h đồng hồ Sài Facebook tụt 30% pin. Gọi videos khoảng 10p máy nóng, điện thoại Samsung s24ultra là dòng cao cấp mà có những nỗi cơ bản về pin và máy nóng ko khắc phục được. Rồi về phần mềm bản UI 6.1 cập nhật từ tháng 2 ,2025 đến nay ko biết Samsung có bản cập nhật mới chưa.","0"
"Pin nhanh hết quá. Màn hình thì bị ám màn. Mới về còn bị nhảy nhảy mấy cái. Mới mua có đổi đc k biết","0"
"Mới mua dùng lướt top top mà máy nóng","0"
"Vợ mình mua 15 pro max ,còn mình chọn S24 ultra mua trước tết giá về 22tr5 ,sau 1 tháng trải nghiệm thì thấy máy dùng khá mượt mượt ,chụp ảnh đẹp nét , mỗi cái pin thì không như mong đợi , pin dùng ko trâu như 15 pro max","1"
"Đã mua nhưng không thấy kích hoạt samsung care","1"
"S tui thấy bắt wifi lắc giữ v","0"
"Sản phẩm đẹp nhưng nhanh hết pin xài dc 1h hết 65% pin","1"
