"data","label"
"mh mua s25 ngày 29/8 mọi thứ đều ổn.chỉ có gọi video zalo là bị vàng có cách nào khắc phục không qtv.mình đã gỡ cài đặt tải lại và khởi động máy mà cũng không hết.dùng điện thoại khác gọi thì rất ok..chỉ s25 gọi là hình bị vàng..","1"
"Pin tốt. Máy quá ok","1"
"Mới mua khoảng 2 tháng mà rớt bể mặt sau, chi phí thay mặt sau có được hỗ trợ gì không ạ Có hoặc không, báo giá giúp mình.","1"
"Dc cái này mất cái nọ, S25 5G, màn hình cấu hình ok. Thiết kế ok.Pin bình thường, cam ko có gì đổi mới. Loa kém 5/10, so với giá của dt cao cấp.","0"
"Pin nhanh hết + máy nóng. Đang sạc mà sài thì như cục than","1"
"Mọi thứ đều ổn, trừ khoản pin hơi kém","1"
"3 tháng trải nghiệm pin dùng liên tục quá tốt pin chờ 1 đêm mất 4 đến 5%. Có lúc mất 2, 3. Hy vọng những phiên bản S sau có thể hạn chế pin chờ mất hao nhiều","1"
"Mau hết pin quá.","0"
"Máy nóng quá, nhất là lúc sạc điện hay khởi động lại. Chạy tác vụ cũng vậy, nóng hơn con S21 cũ đang dùng.","0"
"Bên tgdd mua sp s25 mới đặt trước giá thì đắt hơn các chỗ rồi, và lại toàn cho khuyến mại không thể dùng được , thà km cho cái ốp lưng miếng dán còn thực tế, km pmh cho cái đh giá trị còn ngang cái đt thì ai dùng đc, vn pay 500k thì thanh toán thu cũ xong cũng k dùng được nốt vậy km khi cọc trước để làm cái gì","0"
"","1"
