"data","label"
"Sử dụng ổn các ứng dụng cơ bản, pin 5k sạc 18w hơi chậm. Săn đc giá 2268k nên quá phù hợp với mức tiền này. NV phụ vụ tại nhiệt tình tại Trần Phú, P7, Bạc Liêu cũ.","1"
"Máy giật lag vừa call video vs lướt tik tok còn ko nổi lag lên lag xuống","0"
"mình cũng mới mua tháng 7 2025, cảm thấy sài ok lắm hộp túi tiền mà rull mọi thứ còn đòi hỏi gì nữa, TK thế giớ đi động, quà hãng tecno","1"
"Không biết lý do hảng hay tgdd . nhưng máy có khác nước mà về ko rớt nc hay dính mưa .chị bị văng nc sơ sơ bám vào đt xíu mà ra tgdd báo dt có dính nc đem về hảng thẩm định . xong báo bị vô nc chân sạc nghe măc cười . trong khi tôi đem bảo hành vì lí do lỗi tai nghe không tắt dc. Vs ko nhận xạc nhanh . còn lại bthuong . giờ báo bị vô nc . phủi hết trách nhiệm cho ng dùng. 1 là hảng làm ăn bát nháo máy dễ hư . hai là tgdd phủi trách nhiệm để khỏi bảo hành . mua hàng kiểu này ai dám mua . sơ hở là mình ôm hết .mn mua hàng nên cân nhắc","0"
"Đã mua thấy ổn áp, trong tầm giá 3tr mà có đủ các tính năng cần sử dụng mượt mà là OK lắm rồi","1"
"Có hồng ngoại nhưng không điều khiển được tivi","1"
"Nhân viên rất tận tình","1"
"Mới sài được 3 tháng mà lỗi tai nghe lúc nào cũng kết nối.giờ như mất loa luôn","0"
"Hàng nhập có khác. Độ hoàng thiện Chất lượng rất tốt","1"
"Điện thoại ngon, lướt mượt, chụp ảnh đẹp, hài lòng với sản phẩm. Còn tai nghe bluetooth tặng kèm hỏng pin, sạc mấy tiếng xài mấy giây là bíp, hết pin kết nối với laptop nên hiển thị % pin, nhanh như cơn gió.","1"
"Tôi cảm thấy màn hình ở giữa có một đốm khoảng 3cm sáng hơn các vùng xung quanh. không biết đó có phải là lỗi màn hình không","0"
"Điện thoại đẹp,ổn áp trong tầm giá, nói chung điện thoại xài ổn không có gì để chê,từ con chíp,game,cam,wifi,4G cho đến pin, nói chung mình rất hài lòng về thương hiệu tecno này.","1"
