"data","label"
"Máy không có gì để chê trong tầm giá nhưng mình mua hồi tháng 4 đến giờ mới đánh giá , khi xem phim hay gì đó thì loa vẫn bình thường nhưng khi gọi bên mình nói bên kia nghe sẽ bị rè rè nghe như bị cảm vậy chứ ko như lúc dùng bth CHỈ LÚC GỌI THÔI ko biết máy ai cũng vậy hay mỗi mình , ko biết bảo hành cứu được ko nữa","0"
"Máy cug tạm ổnNhưng điện call video là tiếng mất tiếng có Rất khó chịu","0"
"Rất tệ.điện thoại mà chức năng nghe gọi còn không thụce hiện được","0"
"Mình mua ngày 29/6/2025 nhưng về sử dụng thấy các ứng dụng không được phù hợp với nhu cầu cá nhân, bây giờ đổi trả lại mất bao nhiêu tiền phí ạ. Hay là chuyển sang máy cũ cùng tầm giá khác được không ạ","0"
"Vẻ ngoài đẹp so với giá tiền, tặng ốp lưng trong suốt, 3 tháng đầu xài rất ổn nhưng sau đó có wifi nhưng không kết nối internet được, xem youtube mà cứ xoay vòng vòng.","0"
"Mình mới mua t9 2024 giờ muốn paass lại đt hơi vỡ kính màn có thu lại k ạ","1"
"Máy sài oki la lun","1"
"Máy pin dùng ổn, tác vụ cũng oke, chỉ là sóng chập chờn quá. Cả 4G cả wifi. T muốn đổi sang máy khác ạ","0"
"Máy không có nút home nút bấm trở về nhờ hướng dẫn dùm phải làm sao để có được nút home bấm trở về, không có rất khó xài","0"
"Nhân viên thấy khách cứ đơ đơ đã bận còn không mở dùm cái cửa , đưa sản phẩm thì sai mã mất thời gian. Nói chung ngơ ngác kiểu gì","0"
"Ep kinh bên mình hỗ trợ hết bn v","1"
"Máy chạy ổn định, pin xài từ 7h sáng đến 21h vẫn còn khoảng 20% 4g + WiFi, liên tục, độ sáng màn hình 50% loa ngoài khá lớn nhưng không hay ,kết nối WiFi khá kém, trong phòng một mình một cục WiFi mà đôi lúc quay mòng mòng","0"
"Máy siêu tệ ai chơi game đừng mua.Văng game như cơm bữa một ngày phải hai ba lần.Thêm cả ram ảo rồi vẫn văng như thường cực kì ức chế","0"
"Ổn hết. Mà sao pin nó tuột hơn tuột quần. Trong khi đó nhắn mess mà nó rớt pin thấy ham","1"
"Đã mua ....... Sài mượt hơn mấy con 4..5 triệu của xiaomi","1"
"Mình dùng thấy quá ngon so với giá. Đầy đủ tính năng. Loa kép , màn lớn , pin trâu , sạc nhanh , vân tay cạnh viền , kháng nước kháng bụi , camera trước nốt ruồi . Sài android go. Nên mượt. Đôi khi khựng nhẹ do ứng dụng quá nặng . Cam chống mù. Nhưng đủ sáng cũng tạm chấp nhận. Mình ko chơi game. Ít chụp ảnh. Nói chung tác vụ thường ngày là quá ổn so với giá. Đầy đủ ốp lưng sạc cáp nữa. Dán sẵn màn hình. Tiếc là tgdd ko có bản 4gh ram. Nên mình đành phải lấy 3gh ram. Mình mua 2 con . Vk ck mỗi người 1 con sài làm máy chính","1"
"Mình dùng con máy này làm máy phụ, máy chính hiện tại dùng SS Note 20 5G nhưng máy đời cũng lâu nên pin hẹo. Mua thêm con máy phụ chia pin để dùng được thoải mái hơn. Chủ yếu mình dùng con này để phát wifi cho máy chính dùng lướt TikTok, xem YouTube quá quá thoải mái. Loa to, pin trâu, sạc tương đối mình không cần sạc nhanh. Dùng 34 ngày mới sạc vì chủ yếu mình dùng máy chính, máy này nghe gọi, dùng cơ bản khi máy chính đang sạc Nói trước với mọi người là camera con này rất xấu y chang kiểu chống mù chớ cam xấu điên. Nhưng với mình không quan trọng, vì đã có máy chính quay chụp. Phần mềm xài cũng ổn, lâu lâu lag lag nhưng với mình không quan trọng vì là máy phụ chỉ cần thế là được. Phù hợp làm máy phụ, cho người lớn tuổi dùng, loa to, màn lớn, pin trâu. Sóng sánh mình thấy oke, nghe gọi chưa bị lỗi gì, phát mạng 100đ chưa lỗi bao giờ. Vì máy khá yếu nên dùng cơ bản, lâu lâu chơi liên quân setting trung bình không chê điểm nào chả thấy lag gì cả, các ứng dụng lâu lâu bị văng nhẹ. Đáng mua làm máy phụ. Người dùng thật, công tâm, đánh giá dựa trên nhu cầu bản thân. Còn bị lỗi gì mọi người cứ đem đi bảo hành, chớ máy tôi xài không chê chỗ nào quá phù hợp với nhu cầu máy phụ nhé","1"
"Mới mua gởi về quê cho mẹ, cái đầu gọi zalo fb tiếng được, tiếng mất. Đổi cái mới về wifi ko connect nổi luôn","0"
"dùng ổn, loa sủ dụng khả thích tải tuy vậy khả năng bắt wifi còn khá kém và vì ram 3 gb nên ảnh hưởng tới trải nghiệm đôi chút nhưng vì máy phụ nên thoải mái","1"
"Với mức giá thế này là quá ok luôn,pin trâu bò","1"
"Máy đc áp mà giảm còn 1tr1 phải nói quá OK, pin trâu màn OK loa to còn có cả chống nước nữa tuyệt vời","1"
"Máy quá ngon , mình dùng check mail , lướt web , xem tiktok giải trí và vài con game nhẹ như boom beach và nông trại hayday . Nói chung trong tầm giá này là ngon nhất rồi , thiết kế thì cũng đẹp hiện đại , giá 1tr8 ngon , hợp lí . Mình đã xem rất nhiều review và mất thời gian để tìm 1 con máy giá rẻ , phù hợp với nhu cầu trên , b nào nhu cầu dùng máy như mình thì mua luôn không phải lăn tăn , pin cũng rất trâu nữa.","1"
"Điện thoại rất tốt so với giá, nhà sản xuất đã làm tôi ngạc nhiên vì cho máy một miếng dán màn hình đã được dán sẵn rất đẹp, xài cơ bản rất mượt, bắt sóng mạnh, âm thanh to nhờ loa kép, có vân tay cạnh viền luôn quá xịn, ít hao pin, chơi game 5v5 đồ họa thấp mượt mà hơn cả mong đợi dù lâu lâu có hơi khựng xíu, tôi thực sự rất hài lòng với máy.","1"
"Tôi mua 20/10,sóng ảo ,4g kém,nhiều khi đầy sóng nhưng ko goi ko ntin ko nhân đc cuộc gọi ko truy cập đc mạng","0"
"vô cùng hối hận khi mua, m cũng tham khảo đánh giá của các bạn, thấy khen nhiều nên mua cho mẹ dùng zalo nghe gọi, về sử dụng wifi nhà m cực mạnh, mà đứng ngay cục phát wifi mà vào zalo ko đc, cứ báo wifi yếu, vô google thì chạy chậm như rùa luôn, chắc chắn không sử dụng được rồi","0"
"Gọi Zalo bên kia hầu như ko nghe luôn .mọi thứ điều ổn. Shop tư vấn ạk","1"
"Xoai rât oke san phâm tôt moi ngươi nên mua","1"
"Tôi mua lúc 15/1/2025. Xài ok, nhanh, nhạy, và pin cực kỳ trâu, mở rộng gam 3 +3 lên nữa chạy cực kỳ đã. Chỉ có 1890k. Xài ngon vãi. Chơi mấy game cờ bạc ko hề bị lag mặc dù chơi wifi luôn. Tính sắm thêm cái màu đen cho được 1 cặp. 5 sao. Dt ngon.","1"
"Máy rất OK trong tầm giá,do sản phẩm thương hiệu new nên nhìu người chưa biết đến,pin trâu,tác vụ nhanh,so với các dòng 3tr đến 4tr ko hề thua kém là bao,mua máy tại TGDD Lý Thường Kiệt Q10 rất là OK.Mong nhà sản xuất thương hiệu này ra nhìu dòng máy tương tự để phục vụ nhu cầu người lao động rất nhìu.","1"
"Sao 3 ngày trải nghiệm thì mượt thật sự tầm giá này vượt xa những chiếc tầm 4tr trở lại màng hình to Vân tay nhạy 1 chạm dán sẵn màng hình có sẵn ốp lưng kiểu dáng sang trọng chắc tay k bị trơn vì mặt lưng nhám có ánh kim như xe máy lun nha quý vị nói chung đáng trải nghiệm đó nhaa","1"
"Đặt cọc trước nhận hàng hôm 4/1/2025 cảm nhận đến giờ, máy dùng rất oke, dùng làm máy phụ quá lý tưởng, fb, zalo, tiktok, youtube,...mượt không lag, loa kép to nữa","1"
"Mua tối ngày 612025 về test thấy êm test game cửu âm game hơn nặng nhưng cũng oke ko đến nỗi ... còn như lướt face xem video hay game liên quân thì mượt như gái 18+ pin trâu nữa ... tuy nhiều chức năng sẽ ít hơn hàng cao cấp nhưng giá này mà mua đc 1 con smarfone thế này là ngon rồi hơn mấy cái đời trước 4 5m .","1"
"Vải đạn thiệt, mới mua bữa trước bữa sau giảm 100k","0"
"Cho em hỏi máy tecno spark go 1 . Em mới mua được 2 ngày .. mà lên youtube xem phim bật âm lượng to mà khoảng 5 phút sao tự nhiên âm lượng nó nhỏ ạ","1"
"Máy Sài OK loa to lướt web nhanh","1"
"Ô sờ kê tui cày cả liên quân mà thấy mượt đáo để.","1"
"Giá này là quá hời, mình không chơi game, chỉ lướt wed, pin 5000mah trâu lắm","1"
"Tôi khẳng định không có điện thoại nào giá 3trieu mà hơn con này cả, thiết kế đẹp,màn HD nhưng sắc nét, đèn pin siêu sáng,loa to trong trẻo, màn 120zh, loa kép, kết nối mạng tốt,pin trâu ko ảo, mượt mà, chíp này mạnh mượt hơn chíp g36 trên đt giá 3trieu nhiều, nói chung điện thoại này giá quá hời trong tầm giá","1"
"Mình mới mua lúc chiều ở tgdd mỏ cày nam Bến Tre. Nếu bạn nào mua làm máy phụ rất ok nhé. Loa to sóng khỏe. Kiểu dáng sang đẹp. Giá 1990k mà ngon hơn những dòng máy hãng khác tầm 3 cũ và hơn 3 cũ á.","1"
"Ngon bổ rẻ.","1"
"Ok ngon trong tầm giá","1"
"Mua go 2024 xài OK pin trâu,giờ mua thêm go 1.","1"
"","1"
"","1"
