"data","label"
"Mấy mới dùng thây ok lắm","1"
"Sử dụng được 4th đã lỗi màn hình sọc, màn hình ngược, bàn phím không ăn, người già sử dụng đã khó còn bị lỗi....đánh giá 1 cho nhà sx.","0"
"Sau khi đổi phôi sim thì dịch vụ dữ liệu tắt rồi không bị bật nữa anh quản lý kêu làm và mình đã làm thì ổn áp","1"
"phong","1"
"Mua 2 con này. 1 xanh 1 đen hồi tháng 10. Con đen xài chừng 3 tuần hư màn hình, bàn phím lờn, sau đó thay cái mới free ok cũng ổn.Con xanh xài 2 tháng sau hư màn hình, sửa lần 1, tầm 1 tháng sau hư tiếp. Vừa sửa xong hồi 9/1/25 nay lại hư màn hình tiếp. Lần đầu tiên tôi thấy thất vọng như vầy","0"
"Máy sử dụng 1 tuần,rất tốt","1"
"Không như quảng cáo không xem được video mp4 dù ở mức phân giải thấp nhất","0"
"Điểm cộng Nhẹ, màn hình rõ, bàn phím đẹp dễ bấm, loa to rõ, pin lâu . Điểm trừ nắp đậy ít khít với thân máy, camera vô dụng nên bỏ, không điều chỉnh âm lượng được. Mới mua được 17 ngày,sau này sẽ ý kiến tiếp .","1"
"Mình mua xài gần 1 tháng pin nghe gọi bình thường cũng khoảng 5 ngày mới hết pin có điều cột pin sạc đầy xuống khoảng 87 phần trăm pin rất nhanh giống như cột pin ảo nói chung xài cũng OK còn về lâu dài thì chưa biết","1"
"Qua sử dụng thực tế điện thoại nghe gọi ít + xài đèn pin mỗi ngày phút pin được 1 tuần . Khi đi ngoài trời nắng màn hình ở mức sáng tối đa thì dễ nhìn .Chất lượng pin thì xài lâu mới biết.","1"
"","1"
