"data","label"
"Sài tới nay cũng được hơn sáu tháng và đây là cảm nhận của mình Ưu điểm, màng hình khá đẹp và sáng mình sử dụng ngoài trời nắng gắt vẩn nhìn thấy đc, thiết kế đẹp và khá mỏng, con máy này pin trâu cầm pin rất ok mình sử dụng các tát vụ như lướt mạng xã hội, gọi video call, có sử dụng wifi lẫn 4g hỗn hợp pin tầm khoản 1,5 ngày, còn chơi game thì tầm một ngày là cùng, bắt sóng wifi và 4g rất ok, loa nghe khá lớn, chụp hình đẹp, giao diện người dùng mượt. Nhược điểm loa nghe lớn nhưng chỉ có loa đơn nên bạn nào hay nghe nhạc bằng điện thoại thì nên cân nhắt, giao diện người dùng tuy mượt ít hay bị giật lag nhưng bị cắt giảm hiệu ứng animation khi mở các app nhìn không thích mắt lắm, camera không có chống rung quang học OIS chỉ có chống rung điện tử nên chụp ảnh hay bị nhoè, quay phim bị cắt giảm khá nhiều bật chống rung thì không quay được 1080p 60sps và ngược lại, quay 4k 30sps vẫn không bật đc chống rung, nhưng đc cái là quay cam trước đc độ phân giải 4k 30sps, chip snap 6 gen 1 thiên về cầm pin hơn nhưng hiệu năng máy khi chơi không đc mượt cho lắm nên mọi người chơi nên để mức đồ hoạ tầm trung bình thôi máy vẫn chơi đc. Đây là cảm nhận riêng của mình về điện thoại Vivo v30e này sau 6 tháng sử dụng","1"
"các bạn nhân viên rất nhiệt tình. Mình may mắn khi mua đc máy vs giá khá hời nhờ sự giúp đỡ nhiệt tình của các bạn. Máy xài rất tốt","1"
"Thái độ từ nhân viên đến quản lý đều rất tốt. chất lượng thì để thời gian kiểm chứng nhưng thái độ như vậy là rất ưng cái bụng rồi. ko như hãng e s nào đó","1"
"tôi dùng thì oke nhưng về gói bảo hành phục vụ khách thiếu chuyên nghiệp cần khác phục còn k thì gói bảo hành nên bỏ đi","0"
"Dùng OK","1"
"Cửa hành lấy máy cũ","0"
"nhân viên tư vấn nhiệt tình. vui vẻ cảm ơn","1"
"Sài ngày đầu cảm thấy rất mượt nhưng mà vài ngày về sau không sài gì đã hao pin cực kì, tới ngày thứ 3 máy bắt đầu lag, chậm chậm nhắn tin không theo kịp chữ và càng ngày càng hao pin. Càng ngày càng lag và chậm.","0"
"Máy rất mượt, chơi đc liên quân đồ hoạ full hd vs mấy game khác","1"
"Sản phẩm rất tốt, pin trâu và sạc nhanh. Đặc biệt có nhiều tính năng hỗ trợ tốt cho nhu cầu dùng và làm việc của mình.","1"
"Nhân viên hỗ trợ kỹ, không biết hết các chức năng của điện thoại, chẳng hạn như, chức năng của NFC","0"
