"data","label"
"Cảm ơn nhân viên ttdd đường 3 tháng 2 sản phẩm chất lượng đáng mua","1"
"Mọi thứ đều ok và đẹp, mượt tuy nhiên k quét chip cccd đc bất tiện cho người chuyên dùng ck ngân hàng","1"
"Tụt pin nhanh. Hồi mới mua cũng đã thấy pin không quá trâu rồi, rồi cứ tụt pin nhanh dần. Hôm nay mới để ý, t chỉ dùng chatgpt có 1h40 phút, mà tụt 30% pin, không xem phim nghe nhạc hay game mà đã tụt nhanh vậy rồi Pin tụt nhanh ngang thậm chí hơn con máy đã sài 5 năm chai pin của t nữa Hơn nữa call điện thoại 1 lúc là máy nóng ran luônChụp ảnh thì chán, có thêm cái zeiss cũng k đẹp hơn bn, chụp đồ ăn cũng k đẹp, quay vid hay chụp bằng cam sau cũng không nét. Con máy phí tiền thực sự, giờ bán lại giá bn","0"
"Camera tệ lắm luôn, chụp hình bắt khoảng khắc chậm, chụp bị nhoè, màu xấu, quay cũng mờ. Cam thua cả mấy con dòng cũ. Chụp cận cảnh thì k bắt được nét, chụp xa thì nhoè. Cam gì tệ chán hết biết.","0"
"Đã dùng hơn 1 tháng, không có gì để chê","1"
"K hiểu sao tin nhắn họ gửi tới mà mình k nhận dc,xài dc khoảng 20 ngày,1 lần shiper đã gửi tin nhắn mình k biết,họ gọi lại mình mới biết, cứ nghĩ có khi họ nhớ nhầm nhưng hôm nay shiper đã gửi 2 lần mà mình vẫn k nhận dc mới thấy vấn đề, cần 1 lời giải đáp bên phía tgdd","0"
"Mình cũng vừa mới mua ngày hôm qua thấy xài cũng OK để xem xài thời gian sau như thế nào.","1"
"quá tệ lag khoá luôn 2 tk ngân hàng","0"
"Mới mua hôm qua....hok thể chê được...mọi thứ đều tốt...thank nhiều nhân viên 171 nguyễn sơn tân phú hồ chí minh nhé","1"
"Rất tốt, mua được 3 ngày thấy mượt, cam đẹp, pin trâu sạc nhanh, máy hơi trơn thôi còn lại không có gì để chê","1"
"Để một ngày khoảng 1213 tiếng không xài gì mà tụt pin 23% liệu có ổn không","0"
"Xài mi9 đổi qua, lúc đầu tính lấy máy reno13f 10tr sau đc tv con v40 này thêm ít tiền mà máy xịn hơn Mình cảm nhận máy mượt màn đẹp pin xài ổn Nhân viên vui vẻ","1"
"Dùng gần 1 tháng thấy mượt màn hình nhìn đẹp sang vãi, không giật lag pin trâu dùng từ sáng đến tối vẫn còn pin, mê nhất cái camera Zeiss chụp rất tự nhiên. Nói chung là ngon chất lượng","1"
"V20 vừa đổi qua con này Xịn xò mượt Pin sạc nhanh đầy Ảnh sắc nét Nhân viên tv nhiệt tình","1"
"Hơn 1 tháng sử dụng thì thấy khá OK chưa có lỗi lầm gì cả","1"
"Nhà xài toàn vivo từ đời V7 tới giờ rất ưng, máy bền pin lâu con này còn kháng đc nước nữa quá ok","1"
