"data","label"
"Máy ram 8 khá chậm so với những dòng sản phẩm khác cùng tầm giá, thua cả Redmine note 10 pro","0"
"Mọi người không nên mua","0"
"Máy sài thời gian đầu tưởng chưng chậm do mạng lag nhưng sài và theo dõi gần 3 tháng nay thì do máy chậm. Đơ máy k mượt như quảng cáo.","0"
"Quá tệ,chụp hình kém,chạy chậm như rùa thua oppo mua 5tr ,các bạn nên so sánh kỹ trước khi mua.mở chụp hình lên room hết cỡ vỡ hình xấu lắm","0"
"Máy dùm rất tệ lướt Tik Tok hay bị đơ camera xấu thua cả mấy con 5tr tui sẽ không bao h mua vivo nữa","0"
"Xin chào, tôi mua chiếc này cũng hơn 3 tháng rồi, khi tôi tháo lớp keo ra để dán kính cường lực thì cửa hàng báo là màn hình bị lõm 1 phần sọc dài ở giữa không dán được, xin hỗ trợ ạ bảo hành ạ","1"
"Camera rất tệ.pin ổn.ko nên mua.","0"
"Xoá vật thể AI xài đc vài tháng bjo xoá k đc. Cần hổ trợ","1"
"Mình dùng kiểu nó kết nối chậm nhỉ, mạng rất mạnh như vào ứng dụng chậm, ở ngoài màn hình lướt mượt, nhưng vào ứng dụng lướt bị delay nhìu","0"
"Mọi người ko nên mua mk đang dùng phải chấp nhận Mua ở HP được 1 tuần về NB kiểm tra pin xem Youtube 6p tốn 1%pin . Vì Pìn mới đc như vậy là tệ. Và ko cho mình đổi pin khác . Chăm sóc khách hàng như vậy là kém","0"
"Con này ok","1"
"Đã mua mới.tại TGDD và đánh giá sau 3 tháng sử dụng thì nó rất tệ , tệ từ camera và độ trễ của camera rất lag khi chụp hình và quay phim . Hình ảnh chụp xong màu rất xấu so với thực tế bên ngoài .chỉ có pin trâu , xài không nóng máy , mạng 4G khá tốt. Đã mua tại TGDD đối diện Aeon Mall Canaray Vsip1 bình dương. Tầm giá 9 cũ mà như này thì vứt.","0"
"S pin nó tụt nhanh dữ vậy. Mới mua được 2 ngày mà pin tụt nhanh trong khi chỉ lướt FB Zalo YouTube thôi mà","0"
"Thời gian đầu qin bền,nay mới dùng được 2 tháng mà sao nhanh hết pin vậy e","0"
"Máy đơ lag ,giật , nói chung phân khúc tầm trung tệ hơn cả mấy con đt giá tầm thấp nữa,mình muốn đổi sang sảng phẩm khác đc không ạ","0"
"Mình mua cho người nhà đánh giá là loa ngoài rất to nhưng ko bị rè , người cao tuổi nên ko chơi games , con chip có hơi thấp nhưng các tác vụ giải trí cơ bản vẫn mượt mà, màn hình hiển thị to rõ chữ , mọi thứ điều ok với các tác vụ thông thường","1"
"Mới mua như nếu ra Oppo Reno 13 đổi con mát vivo v40 lite này lấy con Oppo reno 13 được không. Đổi tốn bao nhiêu","0"
"Hôm qua ra thế giới Di Động mua 8trieu 4 sao trên này giá khác","0"
"Muốn dùng bàn phím VNI mà sao máy này ko có, tìm hoài ko thấy lun","0"
"Oki đó ae ...sóng mạnh","1"
"Đã sài dc 1 tháng không chơi game sài zalo tiktok fb yt máy đơ lag còn 4g sim mobi thì mạng cực kỳ kém lần đầu mua vivo cũng như lần cuối ko bao giờ mua vivo nữa...trải nghiệm quá tệ.","0"
"Mình vừa mua hôm 14/11/2024 tại Siêu thị TGDĐ của huyện Yên Lập, tỉnh Phú Thọ, mới đầu dùng thấy cũng mượt. nhưng nay về xem giá trên trang wep của TGDĐ là 8.190.000đ. nhưng hôm qua mình mua lại là 8.440.000 đ. được 1 phiếu mua hàng 200.000đ thì mua 1 cái chảo thấy ghi giá 180.000đ nhưng bạn bán hàng lại báo 190.000đ và miếng dán lưng lúc đầu bảo được tặng kèm, sau lại bảo 70.000 đ và mình bù thêm 60.000đ. Nên xem lại và làm rõ hơn để bảo vệ quyền lợi cho khách hàng cũng như uy tín của shop vì từ năm 2016 đến giờ mình luôn tin dùng và mua các mặt hàng của TGDĐ","0"
"Em mua con này được 4 ngày rồi. Em muốn bán lại máy này thì sao ạ","0"
"","1"
