"data","label"
"mình mới nhận đt hôm qua nhưng ko ưng mình có thể đổi đt khác ko ạ","0"
"LagLỗi nhiềuDễ bị nóng","0"
"Thất vọng quá trả dt","0"
"Shop cho hỏi mình mua máy vivo đc 1 tuần mà chỉ để ko dùng mà nhanh hết điện giờ mình muốn đổi sang máy khác đc ko","0"
"Cho em hỏi em mua máy đầu tháng 11 giờ muốn đổi dòng máy khác thì mất bao nhiêu phần trăm","0"
"Máy hay đơ lag lắm luôn ý nói chung tệ Ai chơi game thì k nên mua","0"
"Sản phẩm OK","1"
"Tạm ổn","0"
"Mới mua thấy tạm ổn trong tầm giá","1"
"ok","1"
"","0"
"","1"
"","1"
"","1"
"","1"
